candidate_id	study	repository_or_source	initial_reason_for_interest	full_text_obtained	molecular_data	therapeutic_RAI_variable	RAI_uptake_variable	RAI_response_variable	RAI_refractory_variable	repository_accession	decision	exclusion_reason	evidence_file	review_date
EXC-01	Rodriguez-Lloveras H et al., Thyroid 2025;35(5):494-507 (PMID 40045915, doi 10.1089/thy.2024.0303)	University of Groningen repository via CORE (core.ac.uk/download/686443202.pdf)	An ETA-meeting abstract was reported to describe EPIC-array thyroid samples including radioiodine-avid and refractory metastatic disease; flagged as the only plausible methylome x RAI-avidity x prognosis cohort	yes	EPIC methylation array, 97 discovery + 30 validation	no	no	no	no	none	EXCLUDED	Full-text review confirmed the study reports no patient-level radioiodine treatment, uptake, response or refractoriness variable, and no public molecular-data accession. Term counts in the full text: radioiodine 1 (introduction background only), RAI 0, refractory 0, accession 0, deposit 0, GSE 0, repository 0. The design contrasts metastatic versus non-metastatic differentiated thyroid cancer, not iodine handling.	/data/rai_atlas/external/rodriguez2025/rll2025.pdf	2026-08-06
EXC-02	Morton LM et al., Science 2021 (Chernobyl radiation-related PTC)	dbGaP phs001134.v1.p1	Large thyroid cohort (n=440) with WGS, RNA-seq, miRNA-seq, SNP array and EPIC methylation; assumed to carry iodine-related treatment records	phenotype variable dictionaries only	WGS, RNA-seq, miRNA-seq, SNP array, methylation	no	no	no	no	phs001134	EXCLUDED	Phenotype dictionaries (pht011227, pht011228) contain seven subject variables only: ID, exposure status, sex, age at surgery, age at exposure, fallout dose, diagnosis. The cohort records radiation EXPOSURE dose, not therapeutic radioiodine. No treatment, staging, recurrence or vital-status variable exists.	agent report 2026-08-06	2026-08-06
EXC-03	Chernobyl Tissue Bank	chornobyltissuebank.cancer.gov	Tissue resource behind the Chernobyl genomic studies	no (portal data dictionary reviewed)	tissue only	no	no	no	no	none	EXCLUDED	Data dictionary limited to age, sex, age at operation, oblast and I-131 fallout exposure dose. No therapeutic radioiodine, treatment, recurrence or follow-up fields.	agent report 2026-08-06	2026-08-06
EXC-04	Fukushima Health Management Survey thyroid sub-studies (Mitsutake 2015; Iyama 2017; Iwadate 2020)	no repository	Exposed-population thyroid cohort with molecular sub-studies	abstracts only	targeted mutation / fusion panels	no	no	no	no	none	EXCLUDED	Surgical case series reporting driver mutations; no radioiodine treatment or outcome variable in any abstract; no deposited dataset found in GEO or the Japanese archives.	agent report 2026-08-06	2026-08-06
EXC-05	Marshall Islands and Nevada Test Site downwinder cohorts	no repository	Fallout-exposed thyroid disease cohorts	abstracts only	none	no	no	no	no	none	EXCLUDED	Epidemiological and dosimetry cohorts with no tumour molecular characterisation at all.	agent report 2026-08-06	2026-08-06
EXC-06	TCGA-THCA imaging collection	The Cancer Imaging Archive	Imaging-genomics route to post-therapy radioiodine scans	collection metadata	CT and FDG-PET	no	no	no	no	TCGA-THCA (TCIA)	EXCLUDED	Six patients, CT and FDG-PET only. No I-131 whole-body scan or I-124 PET series exists in TCIA, and no public collection pairs radioiodine imaging with molecular data.	agent report 2026-08-06	2026-08-06
EXC-07	Industry IPD platforms (Vivli, CSDR, YODA) for SELECT, DECISION, COSMIC-311, LIBRETTO-001, ARROW, NAVIGATE	vivli.org / clinicalstudydatarequest.com	Large RAI-refractory trial cohorts with biomarker sub-studies	sponsor policy pages	trial clinical data only	partly (refractory status is an eligibility criterion)	no	trial response	eligibility only	none shareable	EXCLUDED for molecular use	Lilly and Roche state explicitly that genomic, imaging and exploratory biomarker data are excluded from shareable packages; Roche additionally prohibits linking shared data to external genomic repositories. Exelixis has no IPD-sharing commitment. Only clinical datasets are obtainable.	agent report 2026-08-06	2026-08-06
EXC-08	Thyroid DNA-methylation series in GEO (GSE97466, GSE107738, GSE86961, GSE121377, GSE233560, GSE256293, GSE312914/296440/312587, GSE51090, GSE72729/72730 and others)	GEO	Methylation is the proposed silencing mechanism for the eight-gene panel	series metadata	450K / EPIC / RRBS	no	no	no	no	various	EXCLUDED	Every thyroid methylation series retrieved by E-utilities carries only histology, stage, demographic or driver-genotype fields. No series exposes any radioiodine-related characteristic. This is a confirmed absence, not a search gap.	agent report 2026-08-06	2026-08-06
EXC-09	Thyroid cancer cell lines with radioiodide uptake assays (DepMap / CCLE linkage)	DepMap, CCLE, literature	Functional iodide uptake as a mechanistic readout for the panel	published panel survey	transcriptomes exist	n/a	assays exist per paper	n/a	n/a	none joinable	EXCLUDED	No public table of measured radioiodide uptake across thyroid lines exists. More fundamentally, 60 authenticated thyroid cancer lines are profoundly dedifferentiated in culture regardless of derivation (Saiselet et al., PMC6522280), so panel-gene variation needed for the correlation is absent by construction.	agent report 2026-08-06	2026-08-06
EXC-10	cBioPortal thyroid studies (thyroid_mskcc_2016, thyroid_gatci_2024, thca_tcga*, thpa_tcga_gdc)	cBioPortal	Obvious first place to look for RAI annotation	clinical attribute lists	panel and array genomics	no	no	no	no	various	EXCLUDED	Complete clinical-attribute enumeration for every thyroid study shows no radioiodine field. Note this is why the TCGA radiation records were missed for the life of the project: they exist only in the GDC BCR Biotab layer, not in the curated cBioPortal view. The study id thyroid_mskcc_2022 does not exist.	agent report 2026-08-06	2026-08-06
