dataset_id,local_path,source_url,assay_type,sample_count,phenotype_labels,allowed_analysis,forbidden_analysis,manual_review_required,notes
BR_GSE138198,project/data/external/gse138198/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138198,Bulk expression (verify),NEEDS_MANUAL_REVIEW,HT + PTC + PTC+HT + mPTC + normal,Bridge expression hypothesis only,HLA allele claim or cancer susceptibility,YES,[VERIFIED-OK] Bridge zone — expression only
BR_GSE163203,project/data/external/gse163203/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163203,scRNA-seq,NEEDS_MANUAL_REVIEW,PTC+HT,Immune-context cell-type mapping,HLA allele claim or cancer susceptibility from bridge alone,YES,Verify cell annotations
BR_GSE230424,project/data/external/gse230424/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230424,Visium / spatial,NEEDS_MANUAL_REVIEW,HT + PTC+HT,Spatial immune-context only,HLA allele claim,YES,Verify spatial platform
BR_GSE29315,project/data/external/gse29315/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29315,Microarray (verify),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Bridge expression hypothesis only,HLA allele claim,YES,[VERIFIED-OK] Manual phenotype review required before inclusion
BR_GSE6339,project/data/external/gse6339/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6339,Microarray (verify),NEEDS_MANUAL_REVIEW,AITD vs control (verify),Immune context only,Cancer susceptibility claim,YES,[VERIFIED-OK] Verify exact phenotype labels
BR_GSE71956,project/data/external/gse71956/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71956,Methylation + ChIP-seq (verify),NEEDS_MANUAL_REVIEW,GD,Immune / epigenetic context,PTC claim,YES,[VERIFIED-OK] GD-specific — do not generalize to PTC
BR_GSE136709,project/data/external/gse136709/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136709,Verify,NEEDS_MANUAL_REVIEW,GD,Immune context only,Cancer claim,YES,[VERIFIED-OK] Verify assay before inclusion
BR_E_MEXP_2612,project/data/external/e_mexp_2612/ (planned),https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MEXP-2612,Microarray (verify),NEEDS_MANUAL_REVIEW,AITD tissue,Immune context only,Cancer claim,YES,Verify sample count and labels
BR_GSE54958_HTPTC,project/data/external/gse54958_htptc/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54958,Methylation array,NEEDS_MANUAL_REVIEW,Thyroid + HT-overlap (verify),Bridge methylation HT/PTC,Cancer susceptibility claim,YES,Filter HT-overlap subset only
BR_PRJCA_TBD,project/data/external/ngdc_htptc/ (planned),https://ngdc.cncb.ac.cn/gsa/,sc/spatial,NEEDS_MANUAL_REVIEW,HT + PTC,Bridge candidate,HLA allele claim,YES,Search NGDC for HT-PTC scRNA accessions
BR_E_MTAB_AITD,project/data/external/arrayexpress_aitd/ (planned),https://www.ebi.ac.uk/biostudies/arrayexpress,Microarray,NEEDS_MANUAL_REVIEW,AITD,Bridge AITD-tissue context,Cancer claim,YES,Curate by query at ArrayExpress
BR_GSE45498_HT,project/data/external/gse45498_ht/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45498,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,HT (verify),Bridge HT context only,Cancer susceptibility claim,YES,Verify HT subset; cross-link with P1_GSE45498
BR_GSE35570,project/data/external/gse35570/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35570,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Mixed thyroid (verify),Bridge expression hypothesis,Cancer claim,YES,[VERIFIED-OK] Verify exact phenotype labels
BR_PRJEB_HTPTC_TBD,project/data/external/ena_htptc/ (planned),https://www.ebi.ac.uk/ena/browser/home,Mixed,NEEDS_MANUAL_REVIEW,HT + PTC,Bridge candidate,HLA allele claim,YES,Search ENA for HT/PTC studies
BR_GSE227010_HT,project/data/external/gse227010_ht/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227010,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,HT + PTC (verify),Bridge HT-PTC context,Cancer susceptibility claim,YES,Filter HT subset; cross-link with P1_GSE227010
BR_GSE194152_HT,project/data/external/gse194152_ht/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194152,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,HT + PTC (verify),Bridge HT-PTC context,Cancer susceptibility claim,YES,Filter HT subset; cross-link with P1_GSE194152
BR_GSE258089_HT,project/data/external/gse258089_ht/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE258089,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,HT + PTC (verify),Bridge HT-PTC context,Cancer susceptibility claim,YES,Filter HT subset
BR_E_MTAB_HT_PTC,project/data/external/arrayexpress_ht_ptc/ (planned),https://www.ebi.ac.uk/biostudies/arrayexpress,Mixed,NEEDS_MANUAL_REVIEW,HT + PTC,Bridge HT-PTC context,Cancer susceptibility claim,YES,Search ArrayExpress for HT-PTC studies
BR_GSE234057_HT,project/data/external/gse234057_ht/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234057,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,HT + PTC (verify),Bridge HT-PTC context,Cancer susceptibility claim,YES,Filter HT subset; cross-link with P1_GSE234057
BR_GSE193437_HT,project/data/external/gse193437_ht/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193437,scRNA-seq,NEEDS_MANUAL_REVIEW,HT + PTC (verify),Bridge HT-PTC scRNA,Cancer susceptibility claim,YES,Filter HT subset
