sample_id	condition	source_niche	neighbor_niche	observed_edges	source_edges	observed_neighbor_fraction	expected_slide_label_fraction	log2_enrichment_proxy	binomial_z_proxy_not_independent	claim_boundary
GSM7980860_N-1	normal	RAI-restorable niche	RAI-restorable niche	27	228	0.11842105263157894	0.011299435028248588	3.3894875479267315	15.303254113624508	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	RAI-low dedifferentiated niche	0	228	0.0	0.0005947071067499256	-9.218459360223866	-0.3683393904749042	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	HLA-visible inflamed niche	16	228	0.07017543859649122	0.08415105560511447	-0.2620117792213549	-0.7601454589817119	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	HLA-low invisible tumor niche	0	228	0.0	0.0020814748736247396	-11.024083373330619	-0.6896130437997705	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	CD8-excluded / myeloid-CAF niche	78	228	0.34210526315789475	0.15640796907523044	1.1291212721408348	7.71928945481902	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	APC-rich niche	41	228	0.17982456140350878	0.18584597085935176	-0.04751706563248777	-0.23374144281473902	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	Drug-delivery failure proxy niche	35	228	0.15350877192982457	0.25007433838834375	-0.7040322949044293	-3.3670226990440018	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-restorable niche	Mixed/Other	31	228	0.13596491228070176	0.3095450490633363	-1.1869090434877896	-5.669409728638801	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-low dedifferentiated niche	RAI-restorable niche	0	12	0.0	0.011299435028248588	-13.464090692102854	-0.3703280399090206	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
GSM7980860_N-1	normal	RAI-low dedifferentiated niche	RAI-low dedifferentiated niche	0	12	0.0	0.0005947071067499256	-9.218459360223866	-0.08450285157923557	Proxy adjacency enrichment; spots are not independent biological replicates and p-values are not claimed.
