axis	variable	test	effect	p	n	note	fdr
rai_differentiation_score	age_at_initial_pathologic_diagnosis	spearman	-0.02748742725338801	0.537703900017502	505	exploratory	0.6990150700227526
rai_differentiation_score	age_at_diagnosis	spearman	-0.047245619374479964	0.29561780776583846	492	exploratory	0.4715488625206747
rai_differentiation_score	os_days	spearman	-0.10563739387604	0.017677437666491314	504	exploratory	0.08207381773728109
rai_differentiation_score	OS.time	spearman	-0.10291683188154513	0.020712622284853013	505	exploratory	0.08975469656769638
rai_differentiation_score	PFI.time	spearman	-0.052154992405201765	0.24202928124277256	505	exploratory	0.40949326806845565
rai_differentiation_score	ajcc_pathologic_tumor_stage	kruskal	27.837283129586694	1.3456745922206985e-05	501	exploratory	0.00014578141415724232
rai_differentiation_score	stage	kruskal	29.629947042157028	1.6509071378589762e-06	455	exploratory	3.576965465361115e-05
rai_differentiation_score	vital_status	mann_whitney_median_delta	-0.02602698712510309	0.6464095421022935	505	exploratory	0.7511252918168227
rai_differentiation_score	tumor_status	mann_whitney_median_delta	0.008309569453388857	0.8631009853724642	493	exploratory	0.9151712961224963
rai_differentiation_score	gender	mann_whitney_median_delta	-0.03784980015749175	0.5854227183389238	505	exploratory	0.7412600808095487
immune_visibility_score	age_at_initial_pathologic_diagnosis	spearman	-0.0641029713427465	0.15030780422669007	505	exploratory	0.31516152499144695
immune_visibility_score	age_at_diagnosis	spearman	-0.03929959162509819	0.38439556857327883	492	exploratory	0.5678570899377983
immune_visibility_score	os_days	spearman	0.003233737993083827	0.9422699219960434	504	exploratory	0.9569928895272316
immune_visibility_score	OS.time	spearman	0.010531442004659473	0.8133668688172639	505	exploratory	0.8811474412187026
immune_visibility_score	PFI.time	spearman	-0.019925053870412237	0.6550955358175719	505	exploratory	0.7511252918168227
immune_visibility_score	ajcc_pathologic_tumor_stage	kruskal	28.602041913397215	9.41598857534602e-06	501	exploratory	0.00014578141415724232
immune_visibility_score	stage	kruskal	25.642712629594826	1.1329715343380008e-05	455	exploratory	0.00014578141415724232
immune_visibility_score	vital_status	mann_whitney_median_delta	0.741127715171682	0.0900997092360282	505	exploratory	0.2169067074200679
immune_visibility_score	tumor_status	mann_whitney_median_delta	0.6442990258975957	0.029710794689128933	493	exploratory	0.12070010342458629
immune_visibility_score	gender	mann_whitney_median_delta	0.21794748903124736	0.593008064647639	505	exploratory	0.7412600808095487
cd8_exclusion_proxy	age_at_initial_pathologic_diagnosis	spearman	0.04101997800841519	0.3576186054595322	505	exploratory	0.5405862640667347
cd8_exclusion_proxy	age_at_diagnosis	spearman	0.05243329403864597	0.2456959608410734	492	exploratory	0.40949326806845565
cd8_exclusion_proxy	os_days	spearman	0.03694153970765467	0.4079204252409716	504	exploratory	0.5764092965361555
cd8_exclusion_proxy	OS.time	spearman	0.045764615758166545	0.3046931111672052	505	exploratory	0.4715488625206747
cd8_exclusion_proxy	PFI.time	spearman	0.03520722883443474	0.42983839115049655	505	exploratory	0.5820728213496308
cd8_exclusion_proxy	ajcc_pathologic_tumor_stage	kruskal	26.176953026350475	2.9148143981272752e-05	501	exploratory	0.0002368286698478411
cd8_exclusion_proxy	stage	kruskal	21.166519109992578	9.72171172008973e-05	455	exploratory	0.0006319112618058325
cd8_exclusion_proxy	vital_status	mann_whitney_median_delta	-0.18958342772815906	0.2148020822682506	505	exploratory	0.3878370929843413
cd8_exclusion_proxy	tumor_status	mann_whitney_median_delta	-0.2646338425835939	0.16153166885313286	493	exploratory	0.3281112023579261
cd8_exclusion_proxy	gender	mann_whitney_median_delta	-0.28244228770426666	0.4234095448507882	505	exploratory	0.5820728213496308
drug_delivery_failure_proxy	age_at_initial_pathologic_diagnosis	spearman	0.00662869215372537	0.8818741458103392	505	exploratory	0.9151712961224963
drug_delivery_failure_proxy	age_at_diagnosis	spearman	0.019963864471262822	0.6586791020547522	492	exploratory	0.7511252918168227
drug_delivery_failure_proxy	os_days	spearman	0.07965393252970787	0.07399798053249522	504	exploratory	0.19547591571393955
drug_delivery_failure_proxy	OS.time	spearman	0.08753053357400158	0.04930966777724482	505	exploratory	0.16923190931608936
drug_delivery_failure_proxy	PFI.time	spearman	0.04634297288494795	0.2986156884668996	505	exploratory	0.4715488625206747
drug_delivery_failure_proxy	ajcc_pathologic_tumor_stage	kruskal	37.560418673644335	1.3806690817673191e-07	501	exploratory	6.029819840070578e-06
drug_delivery_failure_proxy	stage	kruskal	34.1350175489863	1.855329181560178e-07	455	exploratory	6.029819840070578e-06
drug_delivery_failure_proxy	vital_status	mann_whitney_median_delta	-1.3208701637130271	0.07912132031165371	505	exploratory	0.19780330077913427
drug_delivery_failure_proxy	tumor_status	mann_whitney_median_delta	-0.36915827010288876	0.12203006703404647	493	exploratory	0.26439847857376736
drug_delivery_failure_proxy	gender	mann_whitney_median_delta	-0.19290662816308535	0.5126071703502437	505	exploratory	0.6799891035258335
aggressive_dedifferentiation_score	age_at_initial_pathologic_diagnosis	spearman	-0.11332901394357674	0.01081384659752796	505	exploratory	0.0540692329876398
aggressive_dedifferentiation_score	age_at_diagnosis	spearman	-0.09179933682846077	0.04181790600147558	492	exploratory	0.15989199353505368
aggressive_dedifferentiation_score	os_days	spearman	0.11379042163717917	0.0105714605071718	504	exploratory	0.0540692329876398
aggressive_dedifferentiation_score	OS.time	spearman	0.1135568718694689	0.010654982101756003	505	exploratory	0.0540692329876398
aggressive_dedifferentiation_score	PFI.time	spearman	0.06065796876374161	0.17351562733733814	505	exploratory	0.3317210522625582
aggressive_dedifferentiation_score	ajcc_pathologic_tumor_stage	kruskal	24.47416528207532	6.416450003642774e-05	501	exploratory	0.000463410278040867
aggressive_dedifferentiation_score	stage	kruskal	24.075106679482587	2.409411031840853e-05	455	exploratory	0.00022373102438522208
aggressive_dedifferentiation_score	vital_status	mann_whitney_median_delta	0.07499698073149305	0.7427754617074724	505	exploratory	0.8324207760514778
