panel	group	subtitle	genes	d	auc	r	tso	ihc	n	lrp	hr	coxp
Full 8-gene	A	★ 기준	DIO1 · FOXE1 · NKX2-1 · PAX8 · SLC5A5 · TG · TPO · TSHR	1.6428551305150838	0.9346421609579505	1.0	3	3	8	0.007554261962425043	0.6628271735381578	0.012639596250276506
TSO500-3 (DNA panel native)	A	표준 NGS	TSHR · PAX8 · NKX2-1	0.5579470117607251	0.7599415204678361	0.6719630171784794	3	2	3	0.30133518892017663	0.80629842843453	0.13520696069958624
IHC routine 3 (병리)	A	IHC 3-plex	TG · PAX8 · NKX2-1	0.8947371624900207	0.7557261208576997	0.7347064782914079	2	3	3	0.0001653158904993454	0.6473442812140165	0.00441988744647704
IHC 4 (+TPO)	A	IHC 4-plex	TG · PAX8 · NKX2-1 · TPO	1.916891835780924	0.9215364800891116	0.816516979486879	2	3	4	0.001970876334511496	0.6731552253298881	0.02195984479090956
RT-qPCR 4 (minimal)	A	RT-qPCR	PAX8 · NKX2-1 · TPO · DIO1	1.786173643015893	0.9361772486772487	0.890242368648192	2	2	4	0.25735140927649486	0.8251556940959435	0.2661626576211398
Compact 5 (TSO500 + TPO + DIO1)	A	★ dual assay	PAX8 · NKX2-1 · TSHR · TPO · DIO1	1.7043234246941603	0.9402499303815093	0.9166631214691143	3	2	5	0.8566700513772162	0.8156158446264724	0.22783914253828347
TF axis only 3	B	PAX8+NKX2-1+FOXE1	PAX8 · NKX2-1 · FOXE1	0.406795895013277	0.6813596491228071	0.6215384239492892	2	2	3	0.005689829145014741	0.7846338170473812	0.06929609883818498
RAI machinery 5	B	TSHR+NIS+TPO+TG+DIO1	TSHR · SLC5A5 · TPO · TG · DIO1	1.8107318120341065	0.9363686995265944	0.9772064011343976	1	1	5	0.009217262141338134	0.6551618554541498	0.020630773025898788
Effector only 4	B	TG+TPO+NIS+DIO1	TG · TPO · SLC5A5 · DIO1	1.8200566283347515	0.9334203564466723	0.9146202353549039	0	1	4	0.013767340292545456	0.6713231021952358	0.024759220851656372
Landa 5-overlap	C	Landa 2016 silenced ∩ 8	TG · TSHR · TPO · DIO1 · SLC5A5	1.8107318120341065	0.9363686995265944	0.9772154865872401	1	1	5	0.009217262141338134	0.6551618554541495	0.020630773025898635
Compact 6 (drop FOXE1+NIS)	D	안전 축소	PAX8 · NKX2-1 · TG · TPO · TSHR · DIO1	1.7924648940073502	0.9342209690893901	0.9730893763021997	3	3	6	0.01835933033917104	0.711068318441772	0.03642709351134489
Compact 4 (TF-2 + effector-2)	D	최소 viable	PAX8 · NKX2-1 · TPO · DIO1	1.786173643015893	0.9361772486772487	0.890242368648192	2	2	4	0.25735140927649486	0.8251556940959435	0.2661626576211398
Top-5 by per-gene d	D	effector-rich	TPO · DIO1 · TSHR · PAX8 · TG	1.8945462957304817	0.933925090504038	0.9631004236364809	2	2	5	0.03913972367050183	0.705016755124051	0.04577528022763523
Top-4 by per-gene d	D	aggressive top	TPO · DIO1 · TSHR · PAX8	1.8140999518400098	0.9398635477582846	0.9029067244857122	2	1	4	0.8009951494095315	0.8419134140914378	0.33199456049177456
