stratum	endpoint	panel	n	ev	n_hi	n_lo	ev_hi	ev_lo	logrank_p	hr	hr_lo	hr_hi	cox_p
Full cohort	PFI	TSO500-3	477	49	159	159	20	14	0.2289857848226472	1.0862064824955262	0.8330732233266359	1.4162554858070433	0.5413033368681102
Full cohort	PFI	Full-8	477	49	159	159	18	9	0.06565058385574075	1.236258107856847	0.9191749902864342	1.6627237744638057	0.16073467141022452
Full cohort	OS	TSO500-3	477	14	159	159	7	4	0.3313003339804043	1.1665446830394721	0.6998693398538736	1.9444007903129328	0.5545487887573228
Full cohort	OS	Full-8	477	14	159	159	6	5	0.8053004670541558	0.8967873467722786	0.5255070515097185	1.530383927333447	0.6895292133665489
BRAF V600E+	PFI	TSO500-3	289	34	97	96	12	9	0.4700412430037352	1.2201739792876205	0.9206338191897846	1.6171734175927248	0.16617800402340951
BRAF V600E+	PFI	Full-8	289	34	97	96	14	4	0.00836200983255372	1.488725905005766	1.0827480841487929	2.0469256447381246	0.014312400110764768
BRAF V600E+	OS	TSO500-3	289	7	97	96	3	2	0.6452234981432987	1.0034120327088851	0.4723912823350431	2.1313596271467166	0.9929293919074086
BRAF V600E+	OS	Full-8	289	7	97	96	2	3	0.7124483355783278	1.087063664090365	0.49949549705574076	2.3658019276472046	0.8333521418364354
Stage III/IV	PFI	TSO500-3	140	19	47	47	4	6	0.46819181227698925	0.76510077830345	0.42952997669285076	1.3628366650161399	0.3633541363681916
Stage III/IV	PFI	Full-8	140	19	47	47	5	5	0.8215545545782653	1.1639164784672626	0.7345507149894936	1.844258730136843	0.5180559468323409
Stage III/IV	OS	TSO500-3	140	8	47	47	6	0					
Stage III/IV	OS	Full-8	140	8	47	47	5	2	0.334344838775088	1.727929969964693	0.6961309577366849	4.289052150201251	0.23836591912104305
TERT-positive	PFI	TSO500-3	36	10	12	12	2	4	0.23610039538645627	0.4800116407689106	0.18004773319434422	1.2797227223347212	0.14238091011104004
TERT-positive	PFI	Full-8	36	10	12	12	4	5	0.3501145356952391	0.63326362612764	0.32282923116961965	1.2422134721921247	0.18384096736587527
TERT-positive	OS	TSO500-3	36	6	12	12	3	1					
TERT-positive	OS	Full-8	36	6	12	12	3	1					
Age > 55	PFI	TSO500-3	146	23	51	49	8	8	0.7753577866176629	0.7385745506338287	0.43837028539442247	1.2443643764612302	0.25489057069950155
Age > 55	PFI	Full-8	146	23	49	49	5	6	0.6323548685572069	0.9225406954327039	0.6138745746859937	1.3864091621074195	0.6980678632170148
Age > 55	OS	TSO500-3	146	12	51	49	6	2	0.17090209074046211	1.1708623004368564	0.7007883915215103	1.9562517632574221	0.5469598985689315
Age > 55	OS	Full-8	146	12	49	49	5	4	0.9754980809742846	0.924787278547435	0.5200202728877358	1.6446118644836032	0.790082058128238
BRAF+ & (StgIII/IV or TERT+)  ★ RAI-risk pool	PFI	TSO500-3	110	15	37	37	3	4	0.4266375778090584	0.8553811917024617	0.5119471258046236	1.4292042014462962	0.550888977213035
BRAF+ & (StgIII/IV or TERT+)  ★ RAI-risk pool	PFI	Full-8	110	15	37	37	4	2	0.3781668190613898	1.1627191290066934	0.7289987543288922	1.8544829671247407	0.5267697805680787
BRAF+ & (StgIII/IV or TERT+)  ★ RAI-risk pool	OS	TSO500-3	110	6	37	37	3	1					
BRAF+ & (StgIII/IV or TERT+)  ★ RAI-risk pool	OS	Full-8	110	6	37	37	2	2	0.6582707807140777	1.083990539223018	0.4744153362598628	2.4768075551448425	0.8482960426381283
