claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite,topical_relevance,new_score
8-gene / driver-excluded PTC stratification,10.3892/ol.2020.11781,openalex,1,10.3892/ol.2020.11781,Potential five‑mRNA signature model for the prediction of prognosis in patients with papillary thyroid carcinoma,2020.0,,Zhong,15.0,0.0,135.0,0.1111693430732032,23.889523029560102
8-gene / driver-excluded PTC stratification,10.1038/s41467-021-26343-3,openalex,1,10.1038/s41467-021-26343-3,Single-cell transcriptomic analysis of the tumor ecosystems underlying initiation and progression of papillary thyroid carcinoma,2021.0,,Pu,273.0,0.0,394.0,0.07178811571457824,22.791939677845896
8-gene / driver-excluded PTC stratification,10.21037/tcr-24-2124,europepmc_fulltext,1,10.21037/tcr-24-2124,Development and validation of a necroptosis-related gene signature for predicting prognosis and immune infiltration in papillary thyroid cancer.,2025.0,,,0.0,0.0,125.0,0.11111288408933677,21.111288408933675
8-gene / driver-excluded PTC stratification,10.7150/jca.129191,europepmc_fulltext,1,10.7150/jca.129191,Integrative analysis of lysosome-dependent cell death related molecular subtypes and prognosis prediction in papillary thyroid carcinoma.,2026.0,,,0.0,0.0,126.0,0.1000354752196855,20.00354752196855
8-gene / driver-excluded PTC stratification,integrative single‐cell and machine learning analysis identi|2026,europepmc_fulltext,1,,Integrative Single‐Cell and Machine Learning Analysis Identifies an EMT‐Associated Prognostic Signature for Papillary Thyroid Cancer,2026.0,,,0.0,0.0,126.0,0.09573670751626365,19.573670751626366
8-gene / driver-excluded PTC stratification,10.1016/j.gendis.2022.02.007,openalex,1,10.1016/j.gendis.2022.02.007,"Cancer chemotherapy and beyond: Current status, drug candidates, associated risks and progress in targeted therapeutics",2022.0,,Anand,1578.0,0.0,622.0,0.0,17.364547014255642
8-gene / driver-excluded PTC stratification,10.1080/2162402x.2021.1964189,openalex,1,10.1080/2162402x.2021.1964189,Characterization of immune landscape in papillary thyroid cancer reveals distinct tumor immunogenicity and implications for immunotherapy,2021.0,,Sun,46.0,0.0,167.0,0.03273983213710896,17.124130815420955
8-gene / driver-excluded PTC stratification,10.1016/j.annonc.2021.02.006,openalex,1,10.1016/j.annonc.2021.02.006,High tumor mutation burden fails to predict immune checkpoint blockade response across all cancer types,2021.0,,McGrail,1039.0,0.0,621.0,0.0,16.946975992135417
8-gene / driver-excluded PTC stratification,10.1038/s41598-026-43501-z,europepmc_fulltext,1,10.1038/s41598-026-43501-z,The key m6A methylation regulator IGF2BP1 possesses potential prognostic value in papillary thyroid carcinoma.,2026.0,,,0.0,0.0,126.0,0.0689027182866084,16.89027182866084
8-gene / driver-excluded PTC stratification,10.1038/s41568-020-00313-1,openalex,1,10.1038/s41568-020-00313-1,Advances in bladder cancer biology and therapy,2020.0,,Tran,779.0,0.0,620.0,0.0,16.659293919683638
8-gene / driver-excluded PTC stratification,10.1007/s11033-020-05435-1,openalex,1,10.1007/s11033-020-05435-1,Role of PI3K/AKT pathway in cancer: the framework of malignant behavior,2020.0,,Jiang,570.0,0.0,620.0,0.0,16.34738920965601
8-gene / driver-excluded PTC stratification,10.1038/s41388-019-0872-9,openalex,1,10.1038/s41388-019-0872-9,Mechanisms underlying the activation of TERT transcription and telomerase activity in human cancer: old actors and new players,2019.0,,Yuan,460.0,0.0,579.0,0.0,16.13339804299665
8-gene / driver-excluded PTC stratification,10.1158/2159-8290.cd-20-0655,openalex,1,10.1158/2159-8290.cd-20-0655,Tumor-Infiltrating Natural Killer Cells,2020.0,,Cózar,459.0,0.0,579.0,0.0,16.13122648948314
8-gene / driver-excluded PTC stratification,10.1002/cac2.12012,openalex,1,10.1002/cac2.12012,Emerging role of deep learning‐based artificial intelligence in tumor pathology,2020.0,,Jiang,423.0,0.0,543.0,0.0,16.04973345523196
8-gene / driver-excluded PTC stratification,10.2147/ijn.s272378,openalex,1,10.2147/ijn.s272378,&lt;p&gt;Cancer-Derived Exosomes: Their Role in Cancer Biology and Biomarker Development&lt;/p&gt;,2020.0,,Kok,384.0,0.0,504.0,0.0,15.953243334287784
