drug_classes,n_trials
"BRAF_inhibitor,MEK_inhibitor",10
RET_inhibitor,4
"anti-PD1,multi_TKI",3
"BRAF_inhibitor,MEK_inhibitor,RET_inhibitor,multi_TKI",3
"BRAF_inhibitor,MEK_inhibitor,anti-PD1",3
"anti-CTLA4,anti-PD1",2
"RAI,RET_inhibitor",2
"BRAF_inhibitor,MEK_inhibitor,anti-PDL1",2
"anti-CTLA4,anti-PD1,multi_TKI",1
"BRAF_inhibitor,MEK_inhibitor,RAI",1
multi_TKI,1
"BRAF_inhibitor,MEK_inhibitor,multi_TKI",1
"BRAF_inhibitor,FAK_inhibitor,MEK_inhibitor,anti-PD1",1
"VEGFR_inhibitor,anti-PD1",1
anti-PD1,1
MEK_inhibitor,1
"TIL_therapy,anti-CTLA4,anti-PD1",1
