claim,n_sources,year,first_author,title,cited_by,influential,doi
8-gene / driver-excluded PTC stratification,1,2022.0,Anand,"Cancer chemotherapy and beyond: Current status, drug candidates, associated risks and progress in targeted therapeutics",1578.0,0.0,10.1016/j.gendis.2022.02.007
8-gene / driver-excluded PTC stratification,1,2021.0,McGrail,High tumor mutation burden fails to predict immune checkpoint blockade response across all cancer types,1039.0,0.0,10.1016/j.annonc.2021.02.006
8-gene / driver-excluded PTC stratification,1,2020.0,Jiang,Role of PI3K/AKT pathway in cancer: the framework of malignant behavior,570.0,0.0,10.1007/s11033-020-05435-1
8-gene / driver-excluded PTC stratification,1,2020.0,Tran,Advances in bladder cancer biology and therapy,779.0,0.0,10.1038/s41568-020-00313-1
8-gene / driver-excluded PTC stratification,1,2019.0,Yuan,Mechanisms underlying the activation of TERT transcription and telomerase activity in human cancer: old actors and new players,460.0,0.0,10.1038/s41388-019-0872-9
BCR repertoire / TLS in thyroid cancer,1,2023.0,Sun,T cells in health and disease,874.0,0.0,10.1038/s41392-023-01471-y
BCR repertoire / TLS in thyroid cancer,1,2023.0,Pisetsky,Pathogenesis of autoimmune disease,573.0,0.0,10.1038/s41581-023-00720-1
BCR repertoire / TLS in thyroid cancer,1,2022.0,Wang,Therapeutic peptides: current applications and future directions,1890.0,0.0,10.1038/s41392-022-00904-4
BCR repertoire / TLS in thyroid cancer,1,2021.0,Zhu,Combination strategies to maximize the benefits of cancer immunotherapy,645.0,0.0,10.1186/s13045-021-01164-5
BCR repertoire / TLS in thyroid cancer,1,2020.0,Jin,The updated landscape of tumor microenvironment and drug repurposing,1218.0,0.0,10.1038/s41392-020-00280-x
BRAF/RAS-negative ('dark matter') PTC subtypes,1,2023.0,Bahar,Targeting the RAS/RAF/MAPK pathway for cancer therapy: from mechanism to clinical studies,723.0,0.0,10.1038/s41392-023-01705-z
BRAF/RAS-negative ('dark matter') PTC subtypes,1,2023.0,Glaviano,PI3K/AKT/mTOR signaling transduction pathway and targeted therapies in cancer,1787.0,0.0,10.1186/s12943-023-01827-6
BRAF/RAS-negative ('dark matter') PTC subtypes,1,2020.0,Jiang,Role of PI3K/AKT pathway in cancer: the framework of malignant behavior,570.0,0.0,10.1007/s11033-020-05435-1
BRAF/RAS-negative ('dark matter') PTC subtypes,1,2020.0,Yoo,Glutamine reliance in cell metabolism,961.0,0.0,10.1038/s12276-020-00504-8
BRAF/RAS-negative ('dark matter') PTC subtypes,1,2020.0,Degirmenci,Targeting Aberrant RAS/RAF/MEK/ERK Signaling for Cancer Therapy,531.0,0.0,10.3390/cells9010198
HLA-II PTC autoimmunity (DPB1*05:01 etc.),1,2025.0,Bryliński,Effects of Trace Elements on Endocrine Function and Pathogenesis of Thyroid Diseases—A Literature Review,24.0,0.0,10.3390/nu17030398
HLA-II PTC autoimmunity (DPB1*05:01 etc.),1,2021.0,Mikosch,Hashimoto’s thyroiditis and coexisting disorders in correlation with HLA status—an overview,26.0,0.0,10.1007/s10354-021-00879-x
HLA-II PTC autoimmunity (DPB1*05:01 etc.),1,2023.0,Xiong,"How does SARS‐CoV‐2 infection impact on immunity, procession and treatment of pan cancers",16.0,0.0,10.1002/jmv.28487
HLA-II PTC autoimmunity (DPB1*05:01 etc.),1,2019.0,Lu,The Major Histocompatibility Complex Class II–CD4 Immunologic Synapse in Alcoholic Hepatitis and Autoimmune Liver Pathology,17.0,0.0,10.1016/j.ajpath.2019.09.019
HLA-II PTC autoimmunity (DPB1*05:01 etc.),1,2023.0,Ding,"Unveiling the mystery of Riehl's melanosis: An update from pathogenesis, diagnosis to treatment",13.0,0.0,10.1111/pcmr.13108
Hashimoto-like signature & PTC outcomes,1,2022.0,Kłubo-Gwieździńska,"Hashimoto thyroiditis: an evidence-based guide: etiology, diagnosis and treatment",181.0,0.0,10.20452/pamw.16222
Hashimoto-like signature & PTC outcomes,1,2023.0,Zeng,Understanding tumour endothelial cell heterogeneity and function from single-cell omics,172.0,0.0,10.1038/s41568-023-00591-5
Hashimoto-like signature & PTC outcomes,2,2021.0,Pan,Papillary Thyroid Carcinoma Landscape and Its Immunological Link With Hashimoto Thyroiditis at Single-Cell Resolution,42.0,0.0,10.3389/fcell.2021.758339
Hashimoto-like signature & PTC outcomes,1,2021.0,Romei,A Narrative Review of Genetic Alterations in Primary Thyroid Epithelial Cancer,89.0,0.0,10.3390/ijms22041726
Hashimoto-like signature & PTC outcomes,1,2021.0,Menicali,Immune Landscape of Thyroid Cancers: New Insights,87.0,0.0,10.3389/fendo.2020.637826
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),1,2018.0,Rojas,Molecular mimicry and autoimmunity,597.0,0.0,10.1016/j.jaut.2018.10.012
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),1,2017.0,Matzaraki,The MHC locus and genetic susceptibility to autoimmune and infectious diseases,597.0,0.0,10.1186/s13059-017-1207-1
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),1,2016.0,Yazdani,"Selective IgA Deficiency: Epidemiology, Pathogenesis, Clinical Phenotype, Diagnosis, Prognosis and Management",197.0,0.0,10.1111/sji.12499
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),1,2018.0,Tye–Din,"Celiac Disease: A Review of Current Concepts in Pathogenesis, Prevention, and Novel Therapies",193.0,0.0,10.3389/fped.2018.00350
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),1,2023.0,Vargas‐Uricoechea,Molecular Mechanisms in Autoimmune Thyroid Disease,178.0,0.0,10.3390/cells12060918
Single-cell PTC progression,1,2023.0,Glaviano,PI3K/AKT/mTOR signaling transduction pathway and targeted therapies in cancer,1787.0,0.0,10.1186/s12943-023-01827-6
Single-cell PTC progression,1,2022.0,Anand,"Cancer chemotherapy and beyond: Current status, drug candidates, associated risks and progress in targeted therapeutics",1578.0,0.0,10.1016/j.gendis.2022.02.007
Single-cell PTC progression,1,2022.0,Li,Lactate metabolism in human health and disease,1243.0,0.0,10.1038/s41392-022-01151-3
Single-cell PTC progression,1,2022.0,Tong,"Targeting cell death pathways for cancer therapy: recent developments in necroptosis, pyroptosis, ferroptosis, and cuproptosis research",803.0,0.0,10.1186/s13045-022-01392-3
Single-cell PTC progression,1,2021.0,Dhatchinamoorthy,Cancer Immune Evasion Through Loss of MHC Class I Antigen Presentation,1003.0,0.0,10.3389/fimmu.2021.636568
TIERA-like Korean PTC molecular cohort,1,2020.0,Aaltonen,Pan-cancer analysis of whole genomes,3240.0,0.0,10.1038/s41586-020-1969-6
TIERA-like Korean PTC molecular cohort,1,2020.0,Yang,Brief introduction of medical database and data mining technology in big data era,592.0,0.0,10.1111/jebm.12373
TIERA-like Korean PTC molecular cohort,1,2018.0,Si,The roles of metallothioneins in carcinogenesis,442.0,0.0,10.1186/s13045-018-0645-x
TIERA-like Korean PTC molecular cohort,1,2018.0,Patel,Performance of a Genomic Sequencing Classifier for the Preoperative Diagnosis of Cytologically Indeterminate Thyroid Nodules,375.0,0.0,10.1001/jamasurg.2018.1153
TIERA-like Korean PTC molecular cohort,1,2019.0,Abdullah,Papillary Thyroid Cancer: Genetic Alterations and Molecular Biomarker Investigations,354.0,0.0,10.7150/ijms.29935
