panel	n_panel	TCGA_AUC	TCGA_ARI	K2_n260_RAI8_AUC	K2_n260_RAI8_coverage	K2_n23_full_AUC	K2_n23_full_ARI	K2_n23_full_coverage	GSE286332_AUC	GSE286332_ARI	AUC_min_DM	AUC_geomean_DM	direction_consistent	n_eval_DM_cohorts
NONOVERLAP_8	8	0.877	0.179		PARTIAL(0/8)	0.595	-0.028	FULL	0.877	0.414	0.595	0.722	True	2
TF_4_backbone	4	0.795	0.021		PARTIAL(3/4)	0.587	-0.044	FULL	0.975	0.414	0.587	0.683	True	2
TF_3_within_RAI8	3	0.784	-0.013	0.738	FULL	0.54	-0.044	FULL	0.938	0.414	0.54	0.679	True	3
TF_3 + iodide (NIS+TPO+TG+SLC26A4+IYD)	8	0.866	0.243		PARTIAL(6/8)	0.532	-0.028	FULL	0.877	0.41	0.532	0.679	True	2
TDS-16 (full)	16	0.882	0.199		PARTIAL(8/16)	0.516	0.049	FULL	0.889	0.414	0.516	0.675	True	2
RAI_8 + NONOVERLAP_8 (16)	16	0.882	0.199		PARTIAL(8/16)	0.516	0.049	FULL	0.889	0.414	0.516	0.675	True	2
TIERA TDS-extended 12	12	0.917	0.301		PARTIAL(8/12)	0.444	-0.028	FULL	0.877	0.414	0.444	0.638	False	2
Iodide-handling 6	6	0.828	-0.01		PARTIAL(2/6)	0.437	-0.046	FULL	0.84	0.41	0.437	0.602	False	2
RAI_8 + HHEX (9)	9	0.868	0.209		PARTIAL(8/9)	0.381	0.049	FULL	0.901	0.41	0.381	0.575	False	2
RAI_8 + TF_4 (12 unique)	9	0.868	0.209		PARTIAL(8/9)	0.381	0.049	FULL	0.901	0.41	0.381	0.575	False	2
TF_4 + RAI_5 (9)	9	0.868	0.209		PARTIAL(8/9)	0.381	0.049	FULL	0.901	0.41	0.381	0.575	False	2
Lineage TF + Effector minimal 4	4	0.872	0.327	0.598	FULL	0.325	-0.043	FULL	0.951	0.41	0.325	0.553	False	3
RAI_8 (canonical)	8	0.861	0.22	0.652	FULL	0.31	0.049	FULL	0.877	0.41	0.31	0.558	False	3
Lineage TF + Effector minimal 6	6	0.893	0.41	0.483	FULL	0.246	0.399	FULL	0.938	0.41	0.246	0.473	False	3
Mechanism arm 5 (STAT3+AP1+DNMT)	5	0.171	0.5		PARTIAL(0/5)	0.595	-0.028	FULL	0.296	0.268	0.171	0.319	False	2
RAI_5_effectors_only	5	0.843	0.151	0.446	FULL	0.135	0.526	FULL	0.753	0.41	0.135	0.37	False	3
