source_dataset,validation_level,test_set_safety,n
BigMHC_example1,LEVEL_1_BINDING_ASSAY,DEMO_ONLY,9
CEDAR,LEVEL_1_BINDING_ASSAY,PARTIAL_OVERLAP,14
CEDAR,LEVEL_2_MS_ELUTED_LIGAND,PARTIAL_OVERLAP,4747
CEDAR,LEVEL_4_TCELL_ASSAY,PARTIAL_OVERLAP,37
CEDAR,LEVEL_5_PATIENT_MATCHED_TCELL,PARTIAL_OVERLAP,136
CEDAR,LEVEL_7_TCR_PMHC_STRUCTURE,PARTIAL_OVERLAP,3
IEDB_tcell_v3,LEVEL_4_TCELL_ASSAY,TRAINING_OVERLAP,62376
NeoRanking_Gartner_nmers_ranking,LEVEL_5_PATIENT_MATCHED_TCELL,EXTERNAL_TEST,26
TESLA_mmc4,LEVEL_5_PATIENT_MATCHED_TCELL,EXTERNAL_TEST,605
TESLA_mmc7_validation,LEVEL_5_PATIENT_MATCHED_TCELL,EXTERNAL_TEST,310
TSNAdb_predicted_Fusion_Pancreas,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,161
TSNAdb_predicted_Fusion_Skin,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,918
TSNAdb_predicted_Fusion_Thyroid,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,247
TSNAdb_predicted_INDEL_Pancreas,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,789
TSNAdb_predicted_INDEL_Skin,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,2374
TSNAdb_predicted_INDEL_Thyroid,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,1561
TSNAdb_predicted_SNV_Pancreas,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,3938
TSNAdb_predicted_SNV_Skin,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,19820
TSNAdb_predicted_SNV_Thyroid,LEVEL_0_PREDICTED_ONLY,PREDICTED_ONLY,1175
TSNAdb_validated,LEVEL_4_TCELL_ASSAY,HELD_OUT,83
