method	n_context_rows	total_scored	datasets_with_auroc	mean_context_AUROC	best_context_AUROC	min_context_AUROC	claim_use
RF_biophys	8	3816.0	4	0.8914	0.9731	0.7531	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
PRIME	8	3839.0	4	0.6691	0.8054	0.5673	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
ESM2_Bayesian	1	311.0	1	0.7841	0.7841	0.7841	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
MHCflurry	8	3578.0	4	0.696225	0.7564	0.6367	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
BigMHC_IM	5	2318.0	2	0.645	0.7477	0.5423	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
TransPHLA	8	3587.0	4	0.681	0.7281	0.5797	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
DeepImmuno	1	319.0	1	0.7019	0.7019	0.7019	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
Structure_LR	1	311.0	1	0.6894	0.6894	0.6894	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
VQC	1	319.0	1	0.5985	0.5985	0.5985	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
GP_quantum	1	319.0	1	0.587	0.587	0.587	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
NetMHCpan_4.1	1	319.0	1	0.5669	0.5669	0.5669	context-only, AUROC-only in this repo; do not use as locked same-board AUPRC unless rescored
