call_rule	called_positive	TP	TN	FP	FN	precision	recall	specificity	FPR	F1	enrichment_over_prevalence	stage1_n	stage2_n	stage3_n	source_tcr_n	paired_tcr_n	tcr_supported_n	baker_supported_n	md_supported_n	class_i_min_len	class_i_max_len	other_min_len	other_max_len	main_dl	ensemble_upper	pmhc	bayes_mean	perturb_prob	bayes_upper	robust_bayes	robust_perturb	robust_main	dropout_sens	perturb_width	min_tcr_evidence	min_paired_tcr	min_cancer_context	max_pathogen_context	tcr_branch	tcr_rescue	tcr_rescue_bayes_upper	min_baker_structural	min_md_structural	min_live_completion
wetlab_shortlist	1	1	488	0	160	1.0	0.006211180124223602	1.0	0.0	0.01234567901234568	4.0310559006211175	280	97	97	90	9	18	1	1	8	11	9	25	0.45	0.75	0.65	0.5	0.5	0.7	0.55	0.7	0.75	0.12	0.45	1	1	1	0	0.65	0.85	0.5	0.7	0.45	0.9
md_escalation	2	2	488	0	159	1.0	0.012422360248447204	1.0	0.0	0.024539877300613494	4.0310559006211175	280	97	97	90	9	18	1	1	8	11	9	25	0.45	0.75	0.65	0.5	0.5	0.7	0.55	0.7	0.75	0.12	0.45	1	1	1	0	0.65	0.85	0.5	0.7	0.45	0.9
md_escalation	3	3	488	0	158	1.0	0.018633540372670808	1.0	0.0	0.03658536585365854	4.0310559006211175	426	191	178	21	8	6	1	1	9	11	12	25	0.5549631744516639	0.46954039233943534	0.607689799348619	0.2979487559205283	0.10647597399824674	0.813726109286625	0.4140879726171513	0.7906291088084118	0.6696617290650063	0.16076017374500004	0.40491439641145976	1	1	5	0	0.7039419928734632	0.4606320962403627	0.3325178692646204	0.04311522882204876	0.5431083361039354	0.9361272411001131
tcr_supported	4	4	488	0	157	1.0	0.024844720496894408	1.0	0.0	0.04848484848484848	4.0310559006211175	238	84	84	16	4	4	1	1	8	12	12	20	0.42307080885012216	0.9533260148606966	0.8083529315737645	0.6719501323560169	0.3581865952689541	0.7002761431689388	0.6171998451472134	0.6573286276211495	0.8192294548865695	0.15982789862122057	0.6850296250905861	5	1	1	0	0.2834468263462366	0.5507774612748441	0.34074081825594726	0.7036210149814783	0.159644246566024	0.3852629019188608
tcr_supported	5	5	488	0	156	1.0	0.031055900621118012	1.0	0.0	0.060240963855421686	4.0310559006211175	287	211	194	10	5	5	2	2	8	11	9	20	0.40862397643977977	0.7573993844505065	0.8006718576580127	0.7334719702860726	0.3821559364689392	0.5749211392794871	0.4020774978407583	0.5248759846086042	0.7545430150659977	0.16097660131684216	0.48674621677691265	10	5	5	20	0.3930331608443285	0.6727644120030593	0.7793966702312844	0.5365120864084005	0.4156229510603102	0.4353924772190679
tcr_supported	6	6	488	0	155	1.0	0.037267080745341616	1.0	0.0	0.0718562874251497	4.0310559006211175	426	191	178	21	8	6	1	1	9	11	12	25	0.5549631744516639	0.46954039233943534	0.607689799348619	0.2979487559205283	0.10647597399824674	0.813726109286625	0.4140879726171513	0.7906291088084118	0.6696617290650063	0.16076017374500004	0.40491439641145976	1	1	5	0	0.7039419928734632	0.4606320962403627	0.3325178692646204	0.04311522882204876	0.5431083361039354	0.9361272411001131
md_escalation	7	7	488	0	154	1.0	0.043478260869565216	1.0	0.0	0.08333333333333333	4.0310559006211175	251	137	137	27	27	7	1	1	8	11	12	15	0.4176943704653776	0.8600528575571575	0.8893374621297014	0.5089717221271128	0.45331334331189566	0.6372589135640233	0.4227814809579823	0.8136455061926873	0.8323738056629799	0.2419316907265877	0.6137524626006697	5	0	1	1	0.25672388693750536	0.6637119142665933	0.6375142815859998	0.7806366568579861	0.8839925721478514	0.6687221694641352
tcr_supported	8	8	488	0	153	1.0	0.049689440993788817	1.0	0.0	0.09467455621301774	4.0310559006211175	414	196	196	35	4	8	2	2	9	12	8	30	0.3759390647591285	0.48724261797980406	0.4182647577600939	0.49892137024924504	0.3058819551218751	0.58076047787381	0.37134112206489567	0.5408022638126158	0.8258583953412175	0.09306286092991545	0.4969191937706334	5	10	2	0	0.2506163061623629	0.6393232129511038	0.799563097576561	0.358669651814647	0.23721975479446925	0.4049367034860121
md_escalation	9	9	488	0	152	1.0	0.055900621118012424	1.0	0.0	0.10588235294117647	4.0310559006211175	382	316	145	20	20	6	1	1	8	11	10	25	0.6458001600248098	0.5507231423144808	0.48186362435555025	0.4244252904047245	0.7985243111285514	0.4875536696394552	0.6135741006610764	0.5029746791075365	0.655133287309099	0.29102588035948135	0.4481731663474815	2	0	5	1	0.29199302077210093	0.4545309422799722	0.4647987142886207	0.6578838686623476	0.10901301558512454	0.1879477751791034
tcr_supported	10	10	488	0	151	1.0	0.062111801242236024	1.0	0.0	0.11695906432748539	4.0310559006211175	359	207	207	37	3	10	2	2	8	11	8	20	0.7270359276164763	0.6816469930156205	0.3132777643683457	0.6012523008178482	0.8000999227217653	0.8074046727904662	0.6190893335006029	0.32213548985722523	0.457871846981575	0.10846598498024895	0.43547285805611724	5	10	0	5	0.38737125548527385	0.4264156976849194	0.7241374903798832	0.6842015959139218	0.8727874444440478	0.6165779956497575
md_escalation	11	11	488	0	150	1.0	0.06832298136645963	1.0	0.0	0.12790697674418605	4.0310559006211175	249	198	197	34	34	7	1	1	8	10	8	25	0.5071199025053625	0.8712837456328417	0.454180824383293	0.2617499828125859	0.3184952497546199	0.7941023864697327	0.4656030931301932	0.7529750497116496	0.45198938767741254	0.08217682073575881	0.5286973424317306	5	0	2	100	0.887765879901592	0.4009064023534445	0.5131996523458651	0.5643996927412662	0.13265841209953136	0.5872341162647849
md_escalation	13	13	488	0	148	1.0	0.08074534161490683	1.0	0.0	0.14942528735632182	4.0310559006211175	218	129	62	12	12	4	0	0	9	10	8	25	0.7559952067861684	0.8005585671650806	0.5906841905356941	0.3230613102202251	0.05345445041956999	0.7068812766384562	0.4356665328335251	0.4510614598724097	0.5864299792457357	0.14239718615519062	0.17266594930961587	5	0	1	100	0.8276505828978351	0.4048917398845561	0.4551519592488344	0.27429889955692616	0.4445907896180392	0.8144036224386253
non_culled	15	14	487	1	147	0.9333333333333333	0.08695652173913043	0.9979508196721312	0.0020491803278688526	0.1590909090909091	3.76231884057971	310	33	33	22	3	2	0	0	8	10	8	25	0.5498485724921498	0.7186670935410189	0.440472361282781	0.6535071096120658	0.09872589139757251	0.7490914006194247	0.5249513222602074	0.9239166951690414	0.8998920366163656	0.2299126434637084	0.38689929787300237	2	1	1	1	0.6747464464776955	0.763580892599885	0.31657240350430993	0.8687007372157731	0.5718395900896259	0.38936348784858826
non_culled	17	15	486	2	146	0.8823529411764706	0.09316770186335403	0.9959016393442623	0.004098360655737705	0.16853932584269662	3.55681402995981	194	40	40	30	30	7	0	0	8	9	9	20	0.6132750917477365	0.7239048570125775	0.5652395907325884	0.6348497493541251	0.2958480586781911	0.7339700611060934	0.7508314600827515	0.3492567191118091	0.7462865310391167	0.27220897526249876	0.6557606823739727	1	0	2	20	0.46775762216276984	0.8797599671270865	0.4603010639890877	0.8356898100135942	0.012700856037464282	0.8132497759041013
non_culled	19	17	486	2	144	0.8947368421052632	0.10559006211180125	0.9959016393442623	0.004098360655737705	0.1888888888888889	3.6067342268715263	265	36	36	23	0	3	0	0	8	11	10	20	0.432314752222441	0.8287339103333626	0.5129445635552069	0.7426792021267103	0.6735459043941686	0.7445804619480889	0.5991092482318513	0.6452024957891463	0.9491065080906954	0.2889749120948272	0.48710766830556385	1	10	2	500	0.9556632556336682	0.8567043588135896	0.4061187963667698	0.5377458401356756	0.725584476920199	0.2875524481720761
non_culled	20	18	486	2	143	0.9	0.11180124223602485	0.9959016393442623	0.004098360655737705	0.19889502762430938	3.6279503105590063	121	39	39	25	4	6	1	1	9	10	10	35	0.643859536599988	0.9378400098800121	0.725354724425045	0.6267807266823531	0.8951514607751836	0.7374394282265873	0.5898404221300451	0.4495549633266659	0.8903900712707478	0.12895201093190875	0.6653302270617805	1	1	2	5	0.5477630723684666	0.4390787216772083	0.7611522322396355	0.8975539928746716	0.11104532031549659	0.504633492166894
