panel	n_genes	model	auc_mean	bacc	f1	mcc	fold_aucs
TDS16	16	LogReg_l2	0.9078862314156432	0.8207821590174531	0.8848920863309353	0.5716608244211561	[0.9115168539325842, 0.9433317049340498, 0.8357007575757576, 0.8986742424242424, 0.9512310606060606]
TDS16	16	RandomForest	0.9148351648351648	0.7424046541693601	0.9210810810810811	0.5728417968600955	[0.9197097378277153, 0.9440644846116267, 0.8771306818181818, 0.8877840909090909, 0.9483901515151516]
TDS16	16	GradientBoosting	0.9094167078596144	0.8044602456367163	0.9251396648044693	0.6313704121227839	[0.908941947565543, 0.9560332193453835, 0.8238636363636364, 0.896780303030303, 0.9616477272727274]
BRS_proxy	71	LogReg_l2	0.9155861439598464	0.8671622495151907	0.9121140142517815	0.6636356368888764	[0.9133895131086143, 0.9208597948216902, 0.852746212121212, 0.9403409090909091, 0.9498106060606061]
BRS_proxy	71	RandomForest	0.9299022776531427	0.8434065934065934	0.9357384441939121	0.6932888894140274	[0.910814606741573, 0.9386907669760626, 0.8558238636363636, 0.9580965909090909, 0.9753787878787878]
BRS_proxy	71	GradientBoosting	0.9135898703372752	0.8396897220426632	0.9283276450511946	0.6693379613789063	[0.9119850187265917, 0.9130434782608695, 0.8413825757575757, 0.9427083333333333, 0.9644886363636364]
TierA67	66	LogReg_l2	0.8878284345412373	0.8131868131868132	0.9063583815028902	0.5945773373888852	[0.8871722846441947, 0.9027845627747924, 0.837121212121212, 0.8712121212121212, 0.9346590909090908]
TierA67	66	RandomForest	0.9282006920415224	0.7925016160310279	0.9295154185022027	0.6376584510658581	[0.9311797752808988, 0.9489496824621397, 0.8631628787878788, 0.9242424242424242, 0.9704071969696969]
TierA67	66	GradientBoosting	0.9087988136431044	0.8251454427925016	0.9265536723163842	0.6523030596894166	[0.9204119850187266, 0.908646800195408, 0.8451704545454545, 0.9133522727272727, 0.9659090909090909]
Intermediate32	32	LogReg_l2	0.8976006692269668	0.8236910148674854	0.8959810874704491	0.5895284201719844	[0.9012172284644194, 0.9438202247191012, 0.8058712121212122, 0.9204545454545454, 0.9232954545454546]
Intermediate32	32	RandomForest	0.9248735693372372	0.7852294764059471	0.9286498353457738	0.6298377408859185	[0.9290730337078652, 0.95847581827064, 0.8314393939393939, 0.9296874999999999, 0.9604640151515151]
Intermediate32	32	GradientBoosting	0.9237423476177802	0.7955720749838396	0.9293598233995585	0.6390475204218331	[0.9307116104868913, 0.9618954567659991, 0.8352272727272727, 0.9365530303030303, 0.9535984848484849]
ThyroSeq112_surrogate	112	LogReg_l2	0.9129054336666794	0.8181965093729799	0.9046511627906977	0.5969718636339134	[0.8796816479400749, 0.9364924279433317, 0.8868371212121212, 0.9176136363636364, 0.9360795454545455]
ThyroSeq112_surrogate	112	RandomForest	0.9354348074071257	0.831447963800905	0.94	0.6999686913107516	[0.9239232209737828, 0.940400586223742, 0.8809185606060607, 0.9486268939393939, 0.9734848484848485]
ThyroSeq112_surrogate	112	GradientBoosting	0.9240655538233392	0.8422753716871364	0.9345372460496614	0.6888201544978457	[0.9110486891385767, 0.9360039081582805, 0.8896780303030303, 0.931344696969697, 0.9630681818181818]
