dataset	modality	normal_vs_tumor	histology_subtype	molecular_subtype	n
GSE126698	bulk RNA-seq	normal	normal	unknown	6
GSE126698	bulk RNA-seq	tumor	ATC	dedifferentiated	10
GSE126698	bulk RNA-seq	tumor	FTC	RAS_like	6
GSE126698	bulk RNA-seq	tumor	cPTC	BRAF_like	6
GSE213647	bulk RNA-seq	normal	ATC	dedifferentiated	11
GSE213647	bulk RNA-seq	normal	PDTC	dedifferentiated	3
GSE213647	bulk RNA-seq	normal	cPTC	BRAF_like	230
GSE213647	bulk RNA-seq	normal	unknown	unknown	7
GSE213647	bulk RNA-seq	tumor	ATC	dedifferentiated	16
GSE213647	bulk RNA-seq	tumor	PDTC	dedifferentiated	5
GSE213647	bulk RNA-seq	tumor	cPTC	BRAF_like	349
GSE213647	bulk RNA-seq	unknown_due_to_mislabel	FTC	RAS_like	11
GSE27155	microarray	normal	unknown	unknown	4
GSE27155	microarray	tumor	FTC	RAS_like	13
GSE27155	microarray	tumor	MTC	BRAF_like	2
GSE27155	microarray	tumor	cPTC	BRAF_like	44
GSE27155	microarray	tumor	cPTC	RAS_like	7
GSE27155	microarray	unknown	unknown	BRAF_like	2
GSE27155	microarray	unknown	unknown	RAS_like	3
GSE27155	microarray	unknown	unknown	unknown	24
GSE76039	microarray	tumor	ATC	dedifferentiated	20
GSE76039	microarray	tumor	PDTC	dedifferentiated	17
GSE97466	methylation	normal	normal	unknown	50
GSE97466	methylation	normal	unknown	unknown	17
GSE97466	methylation	tumor	unknown	unknown	74
TCGA-THCA	bulk RNA-seq	normal	FVPTC	RAS_like	7
TCGA-THCA	bulk RNA-seq	normal	cPTC	BRAF_like	49
TCGA-THCA	bulk RNA-seq	normal	cPTC	RAS_like	1
TCGA-THCA	bulk RNA-seq	normal	normal	BRAF_like	1
TCGA-THCA	bulk RNA-seq	normal	normal	unknown	1
TCGA-THCA	bulk RNA-seq	tumor	FVPTC	BRAF_like	11
TCGA-THCA	bulk RNA-seq	tumor	FVPTC	RAS_like	91
TCGA-THCA	bulk RNA-seq	tumor	cPTC	BRAF_like	363
TCGA-THCA	bulk RNA-seq	tumor	cPTC	RAS_like	17
TCGA-THCA	bulk RNA-seq	tumor	unknown	BRAF_like	18
TCGA-THCA	bulk RNA-seq	tumor	unknown	RAS_like	3
TCGA-THCA	bulk RNA-seq	tumor	unknown	unknown	10
