gene	mean_abs_shap
CEACAM6	1.176651785597963
DMBX1	1.1451165700418753
BRINP2	1.1403512079833544
PNPLA5	1.0360676328850218
AL096865.1	1.0141865660205627
SPRY4	0.967074306124295
THRA	0.9321826617136844
PIK3CA	0.9257919978541245
INAVA	0.8504172803190322
ACTBL2	0.843631121215032
NTRK3	0.7806372575407791
ST6GALNAC5	0.7358374311431929
ELFN2	0.7331109237730677
AC004847.1	0.6716616704674484
SNAI2	0.6679626858862717
SIGLEC6	0.6677942238492246
LINC02408	0.664695588924056
CDKN2B	0.6060738949780868
WNT10A	0.5868847098605955
VGLL1	0.5851583826068523
SLC26A4	0.5749064566590857
FOXP3	0.5654908426368596
KCNN4	0.5469262449782071
SDR16C5	0.5404794672625158
TMPRSS11E	0.5239106402728966
DIO2	0.5184047531373461
RPS29P11	0.5164916899199431
SLC5A5	0.4871334282075803
NKX2-1	0.47468445116803665
LINC00607	0.4580986849251574
LOX	0.4524808669769695
AC002401.4	0.45128479949054306
KLK10	0.44001912366822815
WARS1P1	0.4254955305156966
STAC	0.41427481852860515
CDH2	0.393526237134566
AP002358.1	0.38723384424614216
BEND6	0.38576507693016887
EIF1AX	0.38286737268142146
MET	0.3716462855092824
ZEB2	0.34126952585270864
SLC5A8	0.3381811630515752
HLA-DRA	0.33227087528998384
CTNNB1	0.33185453477742927
CRLF2	0.3276779826734201
CDKN2A	0.3256163442946582
CDH1	0.32200371546719875
ZEB1	0.31843736032784137
FOSL1	0.3178699313225488
APC	0.3169438448168123
GLIS3	0.2993740401402807
C16ORF89	0.28231718171926884
TWIST1	0.2808718665777183
HLA-G	0.2804970477561271
DUOX1	0.26877396935791614
AC009549.1	0.25966804956582523
VTCN1	0.25961979719723727
CD8A	0.2520837373154352
KRAS	0.25127140044612867
CD274	0.24947011560891624
ETV4	0.24524008849050116
THRB	0.24359086174955585
AKT1	0.24079516058441383
PTEN	0.2399818274436839
IDO1	0.23550514989340585
NRAS	0.2349117063927753
PPARG	0.2345623290090993
TMEM92	0.22710595318074178
SNAI1	0.22351647588103732
IVL	0.21855359920249395
TSHR	0.2067701724600845
MSH2	0.19877083435345094
DUSP4	0.19384419925919913
RNF183	0.18968530113918258
SYT12	0.18929947596775631
FOXE1	0.18924628395690404
TG	0.16193299879420178
SYT1	0.16165875821349018
DUSP6	0.15787288631140986
PAX8	0.1536763006731083
NTRK1	0.14883264874413044
FGFBP1	0.13879484414687115
ATM	0.12158440148427728
CST5	0.11959448085370752
MGAT3	0.11601028037874402
CLDN10	0.10856888209382498
ALK	0.10344962892258465
AL137026.1	0.09752777395500807
IGFL2	0.09739149367910634
VIM	0.0922368352040639
HRAS	0.09076872374586785
DIO1	0.08777318812488864
ARSI	0.08732464006362198
ETV5	0.078483905492253
DUSP5	0.07277397712469458
THADA	0.05544167815285548
TERT	0.054693179630389326
SPRY2	0.051711962887948125
MMP9	0.05106582022854973
SPRY1	0.05038602659349022
RET	0.050059256640595615
BNC1	0.04162882335556538
BRAF	0.028883195845792325
DUOX2	0.027080310430613368
KLK7	0.025348353121738654
LY6G6C	0.02317605661683776
SLC25A47P1	0.01963641644996829
KLK6	0.014431547794969853
IYD	0.013161366949666332
PHLDA1	0.009109736119627211
TP53	0.005831538928821113
TPO	0.0031349269803871965
