module	gene_symbol	notes
HLA_class_I	HLA-A	core
HLA_class_I	HLA-B	core
HLA_class_I	HLA-C	core
HLA_class_I	B2M	core_obligate
HLA_class_I	TAP1	processing
HLA_class_I	TAP2	processing
HLA_class_I	NLRC5	master_regulator_class_I
HLA_class_I	PSMB8	immunoproteasome
HLA_class_I	PSMB9	immunoproteasome
HLA_class_II	HLA-DRA	core
HLA_class_II	HLA-DRB1	core
HLA_class_II	HLA-DPA1	core
HLA_class_II	HLA-DPB1	core
HLA_class_II	HLA-DQA1	core
HLA_class_II	HLA-DQB1	core
HLA_class_II	CD74	invariant_chain
HLA_class_II	CIITA	master_regulator_class_II
IFNG_T_cell_inflamed	CXCL9	chemokine
IFNG_T_cell_inflamed	CXCL10	chemokine
IFNG_T_cell_inflamed	CXCL11	chemokine
IFNG_T_cell_inflamed	IFNG	cytokine_core
IFNG_T_cell_inflamed	STAT1	signaling
IFNG_T_cell_inflamed	IRF1	signaling
IFNG_T_cell_inflamed	GZMB	effector_T
IFNG_T_cell_inflamed	PRF1	effector_T
IFNG_T_cell_inflamed	CD8A	CD8_lineage
IFNG_T_cell_inflamed	CD8B	CD8_lineage
TLS_CXCL13_like	CXCL13	chemokine_TLS_anchor
TLS_CXCL13_like	MS4A1	B_cell_CD20
TLS_CXCL13_like	CD79A	B_cell_BCR
TLS_CXCL13_like	CD79B	B_cell_BCR
TLS_CXCL13_like	MZB1	plasma_cell
TLS_CXCL13_like	JCHAIN	plasma_IgA_IgM
TLS_CXCL13_like	LTB	lymphotoxin
TLS_CXCL13_like	CCL19	HEV_chemokine
TLS_CXCL13_like	CCL21	HEV_chemokine
checkpoint_exhaustion	PDCD1	PD_1_target
checkpoint_exhaustion	CD274	PD_L1
checkpoint_exhaustion	PDCD1LG2	PD_L2
checkpoint_exhaustion	CTLA4	checkpoint
checkpoint_exhaustion	LAG3	checkpoint
checkpoint_exhaustion	TIGIT	checkpoint
checkpoint_exhaustion	HAVCR2	TIM3
checkpoint_exhaustion	TOX	exhaustion_TF
myeloid_suppressive	CD68	pan_macrophage
myeloid_suppressive	CD163	M2_marker
myeloid_suppressive	MRC1	M2_marker
myeloid_suppressive	CSF1R	macrophage_signaling
myeloid_suppressive	ITGAM	myeloid_lineage
myeloid_suppressive	CXCL8	IL8_neutrophil
myeloid_suppressive	IL10	immunosuppressive
myeloid_suppressive	TGFB1	immunosuppressive
thyroid_differentiation	SLC5A5	NIS_iodine_uptake
thyroid_differentiation	TPO	thyroid_peroxidase
thyroid_differentiation	TSHR	TSH_receptor
thyroid_differentiation	TG	thyroglobulin
thyroid_differentiation	PAX8	transcription_factor
thyroid_differentiation	NKX2-1	TTF1
thyroid_differentiation	DIO1	deiodinase
thyroid_differentiation	DIO2	deiodinase
