sample_id	n_spots_post_qc	RAI_8_n	TDS_like_n	CAF_ECM_n	EMT_n	Hypoxia_n	Proliferation_n	Epithelial_n	RAI_8_genes	TDS_like_genes	CAF_ECM_genes	EMT_genes	Hypoxia_genes	Proliferation_genes	Epithelial_genes
GSM7980860_N-1	3395	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980861_N-2	3780	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980862_N-3	4538	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980863_N-4	3027	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980864_PTC-1	2262	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980865_PTC-2	4947	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980866_PTC-3	4516	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980867_PTC-4	4498	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980868_LPTC-1	1520	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
GSM7980869_LPTC-2	4071	8	6	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2
