gene	target_ATC4	others_mean	log2FC
SLC34A2	2.646270990371704	0.0028865436712900796	9.411802442656576
S100A1	1.995173454284668	0.0020684154393772283	9.345527545796447
NKX2-1	0.8458693027496338	0.0005239301923817644	9.118198707621756
RAB25	0.6213827133178711	0.0001395189513762792	9.093233261484997
PCP4	0.7725632786750793	0.0005149627492452661	8.996093180627852
IYD	0.9221088290214539	0.000812455492753846	8.992411364533078
SFTPA1	0.43290960788726807	0.0	8.761250721303549
CLDN3	1.1781808137893677	0.0018285165618484218	8.703523622165028
SFTA3	0.441656231880188	0.0002445779585589965	8.474386320734634
PCSK2	0.9995421171188354	0.0020705875164518752	8.348051459731082
SCEL	0.33639368414878845	0.00011435983469709754	8.242073992706734
CEACAM6	0.2835308611392975	0.0	8.1524413301729
KCNJ16	0.36134326457977295	0.0003115287593876322	8.109963823229975
CDH1	0.9753199815750122	0.0025772538501769304	8.092357748647041
MYH14	0.591753363609314	0.0012038287629062931	8.071276003030368
SFTPB	1.8424110412597656	0.006229418097063899	7.994282553743752
LCN12	0.4751340448856354	0.0009662038161574552	7.919811100186799
ATP13A4	0.26798054575920105	0.00020682376149731377	7.80014301470473
GABRB2	0.3110933005809784	0.0004129178705625236	7.787155970562502
S100A14	0.9201613068580627	0.0032131055680414042	7.772425936096833
AC008397.1	0.23537488281726837	0.00012744260796656212	7.711878937222373
PLA2G2A	0.3409580588340759	0.0006381722826821109	7.705588489383936
ZCCHC12	0.32350191473960876	0.0006140063827236494	7.651436896832196
BMP7	0.2863893210887909	0.00045856604507813853	7.622311930266477
SLC22A31	0.37482166290283203	0.000928854919038713	7.606159784392191
AL035661.1	0.21870161592960358	0.00016449323932950696	7.559699407002929
CLDN4	1.3472157716751099	0.006303885136730969	7.5281716148134095
LRP2	0.1960470974445343	0.00010250189613240461	7.4816155511335385
TSHR	0.4258621633052826	0.0014838676434010267	7.4250381793354165
AP003498.2	0.16717416048049927	0.0	7.393812246079009
ITGB6	0.3124992549419403	0.000915305397938937	7.3547437540222
TG	3.0563364028930664	0.018727555482958753	7.2759192951736384
SFTPA2	0.16017456352710724	4.5864658507828913e-05	7.267784096526135
CITED1	0.6627289652824402	0.003343208304916819	7.255689277269014
AC127526.5	0.13981257379055023	0.0	7.137632354256612
TMPRSS4	0.18708446621894836	0.00034960999619215727	7.122694327829341
TCERG1L	0.18284976482391357	0.0003208616787257294	7.120904126085348
HPN	0.21873949468135834	0.0005971149851878484	7.10418220021719
ESRP1	0.22146563231945038	0.0006398921250365674	7.083837752853244
C16orf89	0.26067477464675903	0.0010490320079649489	6.996688524695932
PRR15L	0.12534262239933014	0.0	6.98119761235853
GGT2	0.12348955869674683	0.0	6.959880934091206
VSTM2L	0.17930063605308533	0.0004582451074384153	6.950027442231237
MUC15	0.14476336538791656	0.00018326868303120136	6.944706661929771
PDE8B	0.3355240523815155	0.001817588151122133	6.900105064738197
CRB3	0.17171375453472137	0.0004624954502408703	6.883807033660908
ELF3	0.5959170460700989	0.004276200973739226	6.821887124198251
SSX1	0.10905034095048904	0.0	6.782019804670872
GAL3ST3	0.10842683911323547	0.0	6.773822821019199
BSPRY	0.17516349256038666	0.0006743075306682537	6.717206625315428
TMEM125	0.11855681240558624	0.00016138391220010817	6.685707572939803
LONRF2	0.14055491983890533	0.00040563009679317474	6.654001094548631
ZBTB7C	0.18489126861095428	0.0009278932217663775	6.591290048928146
MMP7	0.35121670365333557	0.0026540610512408116	6.590818781066513
ZBTB16	0.282266229391098	0.001941329430943976	6.589546429507623
C7	0.6138983964920044	0.005650302783275644	6.530784207466809
DUOXA1	0.12887725234031677	0.0004081501198622088	6.527203813642426
CBLN1	0.08916780352592468	0.0	6.494540473096868
GABBR2	0.24989917874336243	0.0018011593298676114	6.4849398920212495
CST2	0.14118926227092743	0.0006863009960701069	6.397806637692361
WFDC2	1.5401724576950073	0.01748199698825677	6.381763849663369
SCX	0.5935636758804321	0.006271698356916507	6.353395160877868
COMP	0.8834728598594666	0.01003731352587541	6.324356905321599
TJP3	0.10730857402086258	0.000359166040046451	6.316281934079287
SLC30A2	0.1570899784564972	0.0009923550921181838	6.310127307925405
EPCAM	1.071729063987732	0.01262157604408761	6.299248298888039
LIPH	0.25153034925460815	0.0022352324643482766	6.2864435927154005
ENPP5	0.2306065410375595	0.0019672900865164897	6.286386214665345
DUOX2	0.08201203495264053	6.807054160162807e-05	6.280241671981457
C2CD4C	0.13798631727695465	0.0008225900043422977	6.25280899093879
TENM1	0.088724784553051	0.0001798609155230224	6.248817847040919
AP1M2	0.4861588180065155	0.005466298355410497	6.235308294841606
