mod_a	mod_b	n_slides	median_same_spot	median_lag_sym	q10_lag	q90_lag
CAF	M1_M2	16	0.25235605239868164	0.2775316461920738	0.13060192950069904	0.48381248116493225
Bplasma	TLS	16	0.21614080667495728	0.26185737922787666	0.07678617909550667	0.5186376944184303
CD8_Teff	M1_M2	16	0.1812024861574173	0.2511365935206413	0.07180545618757606	0.45386719703674316
CD8_Teff	TLS	16	0.1898360252380371	0.23748331516981125	0.0550779125187546	0.36925721168518066
Bplasma	M1_M2	16	0.19288522750139236	0.21321944519877434	0.058294120244681835	0.3578759729862213
M1_M2	TLS	16	0.1759459152817726	0.20753401145339012	0.0856455760076642	0.3475823551416397
IFN_gamma	M1_M2	16	0.14756648242473602	0.20228451862931252	0.04963797517120838	0.3388751819729805
Bplasma	CD8_Teff	16	0.14198731631040573	0.20147621259093285	0.06297874450683594	0.33609364181756973
Bplasma	CAF	16	0.16034190356731415	0.17691456153988838	0.09835693053901196	0.44529251009225845
CAF	Endothelial	16	0.17865873128175735	0.17186491563916206	-0.014574230881407857	0.28945378586649895
CAF	CD8_Teff	16	0.10366038978099823	0.15515714138746262	0.016130499017890543	0.3084046468138695
CAF	EMT	16	0.1340186707675457	0.15226564556360245	-0.0573242362588644	0.334112711250782
CD8_Teff	IFN_gamma	16	0.152332603931427	0.13267466984689236	0.043959641829133034	0.34574856609106064
IFN_gamma	TLS	16	0.11303241550922394	0.11955396272242069	0.018123082001693547	0.2749648839235306
CAF	TLS	16	0.10449181869626045	0.11885731667280197	0.04608534602448344	0.3243890628218651
Bplasma	Endothelial	16	0.08679327368736267	0.11120863631367683	0.030935884453356266	0.2076062150299549
Endothelial	M1_M2	16	0.125967837870121	0.11033647879958153	0.030388751532882452	0.2670021243393421
EMT	IFN_gamma	16	0.06734000332653522	0.10601827315986156	-0.013533464632928371	0.25482286512851715
Endothelial	TLS	16	0.06590213067829609	0.09695236943662167	0.011920254095457494	0.16454652324318886
EMT	Endothelial	16	0.0795874074101448	0.09689498320221901	-0.04180903173983097	0.1790102981030941
EMT	M1_M2	16	0.08177582174539566	0.09500607661902905	-0.03381126653403044	0.23508954420685768
CD8_Teff	Endothelial	16	0.07991155609488487	0.09065648727118969	0.037954735569655895	0.20746169239282608
CAF	IFN_gamma	16	0.055670611560344696	0.08243389055132866	-0.06802501063793898	0.2731357626616955
Endothelial	IFN_gamma	16	0.08119647949934006	0.08018260821700096	0.017058015277143568	0.17649928852915764
IFN_gamma	RAI_lineage	16	0.04552835784852505	0.06987511646002531	-0.09622431732714176	0.21626056358218193
Bplasma	IFN_gamma	16	0.064938148483634	0.06048910319805145	-0.025062238331884146	0.2562872841954231
CD8_Teff	EMT	16	0.012488498818129301	0.02365658665075898	-0.07757513225078583	0.16824564710259438
Endothelial	RAI_lineage	16	-0.011542174499481916	0.02174330735579133	-0.2326674535870552	0.2741592340171337
EMT	TLS	16	0.007973318919539452	0.021599038183921948	-0.09017663449048996	0.09324229694902897
Bplasma	EMT	16	-0.02368452027440071	-0.0028415715787559748	-0.17358734086155891	0.07964613940566778
CD8_Teff	RAI_lineage	16	-0.02602741913869977	-0.006091706029110355	-0.18821538239717484	0.05579501297324896
EMT	RAI_lineage	16	0.0008134390227496624	-0.011309247696772218	-0.16528531908988953	0.20778417214751244
RAI_lineage	TLS	16	-0.07688061892986298	-0.0947932843118906	-0.28716425970196724	0.019757683156058192
Bplasma	RAI_lineage	16	-0.09331917390227318	-0.0976085439324379	-0.4199638217687607	-0.012558169662952423
M1_M2	RAI_lineage	16	-0.13735251128673553	-0.11856886744499207	-0.271122582256794	0.023854300379753113
CAF	RAI_lineage	16	-0.21754328906536102	-0.27418332919478416	-0.4915291741490364	-0.0021036346442997456
