sample_id	stage	module	cohen_d_top25_vs_bot25	n_top	n_bot
GSM7980860_N-1	PT	CD8_Teff	-0.07063885778188705	849	849
GSM7980860_N-1	PT	Bplasma	0.10296925902366638	849	849
GSM7980860_N-1	PT	IFN_gamma	-0.18171323835849762	849	849
GSM7980860_N-1	PT	M1_M2	0.07168477028608322	849	849
GSM7980860_N-1	PT	TLS	-0.12588271498680115	849	849
GSM7980860_N-1	PT	RAI_lineage	-4.418007850646973	849	849
GSM7980861_N-2	PT	CD8_Teff	0.010807031765580177	945	945
GSM7980861_N-2	PT	Bplasma	0.14045128226280212	945	945
GSM7980861_N-2	PT	IFN_gamma	-0.26718786358833313	945	945
GSM7980861_N-2	PT	M1_M2	0.0959165170788765	945	945
GSM7980861_N-2	PT	TLS	0.1256866157054901	945	945
GSM7980861_N-2	PT	RAI_lineage	-4.231192111968994	945	945
GSM7980862_N-3	PT	CD8_Teff	0.13347505033016205	1135	1135
GSM7980862_N-3	PT	Bplasma	0.33962926268577576	1135	1135
GSM7980862_N-3	PT	IFN_gamma	-0.06529354304075241	1135	1135
GSM7980862_N-3	PT	M1_M2	0.23306924104690552	1135	1135
GSM7980862_N-3	PT	TLS	0.18058116734027863	1135	1135
GSM7980862_N-3	PT	RAI_lineage	-3.569960832595825	1135	1135
GSM7980863_N-4	PT	CD8_Teff	0.0736025795340538	757	757
GSM7980863_N-4	PT	Bplasma	0.4479433596134186	757	757
GSM7980863_N-4	PT	IFN_gamma	0.019483977928757668	757	757
GSM7980863_N-4	PT	M1_M2	0.3904229402542114	757	757
GSM7980863_N-4	PT	TLS	0.08216807246208191	757	757
GSM7980863_N-4	PT	RAI_lineage	-3.165297746658325	757	757
GSM7980864_PTC-1	PTC	CD8_Teff	-0.16030625998973846	566	566
GSM7980864_PTC-1	PTC	Bplasma	0.01713504269719124	566	566
GSM7980864_PTC-1	PTC	IFN_gamma	-0.022244829684495926	566	566
GSM7980864_PTC-1	PTC	M1_M2	-0.10882128030061722	566	566
GSM7980864_PTC-1	PTC	TLS	0.03869561105966568	566	566
GSM7980864_PTC-1	PTC	RAI_lineage	-3.929748773574829	566	566
GSM7980865_PTC-2	PTC	CD8_Teff	0.21259276568889618	1237	1237
GSM7980865_PTC-2	PTC	Bplasma	0.9963101148605347	1237	1237
GSM7980865_PTC-2	PTC	IFN_gamma	0.03983955457806587	1237	1237
GSM7980865_PTC-2	PTC	M1_M2	0.615208089351654	1237	1237
GSM7980865_PTC-2	PTC	TLS	0.35048484802246094	1237	1237
GSM7980865_PTC-2	PTC	RAI_lineage	-4.108015060424805	1237	1237
GSM7980866_PTC-3	PTC	CD8_Teff	-0.017303448170423508	1129	1129
GSM7980866_PTC-3	PTC	Bplasma	0.19320698082447052	1129	1129
GSM7980866_PTC-3	PTC	IFN_gamma	-0.1577819585800171	1129	1129
GSM7980866_PTC-3	PTC	M1_M2	0.39847099781036377	1129	1129
GSM7980866_PTC-3	PTC	TLS	0.12324485927820206	1129	1129
GSM7980866_PTC-3	PTC	RAI_lineage	-2.8643131256103516	1129	1129
GSM7980867_PTC-4	PTC	CD8_Teff	0.15681365132331848	1125	1125
GSM7980867_PTC-4	PTC	Bplasma	0.3372804522514343	1125	1125
GSM7980867_PTC-4	PTC	IFN_gamma	-0.19663172960281372	1125	1125
GSM7980867_PTC-4	PTC	M1_M2	0.3903181254863739	1125	1125
GSM7980867_PTC-4	PTC	TLS	0.28378674387931824	1125	1125
GSM7980867_PTC-4	PTC	RAI_lineage	-3.6368374824523926	1125	1125
GSM7980868_LPTC-1	LPTC	CD8_Teff	0.24103914201259613	380	380
GSM7980868_LPTC-1	LPTC	Bplasma	0.3010919392108917	380	380
GSM7980868_LPTC-1	LPTC	IFN_gamma	0.2116365134716034	380	380
GSM7980868_LPTC-1	LPTC	M1_M2	0.6044990420341492	380	380
GSM7980868_LPTC-1	LPTC	TLS	0.4330442547798157	380	380
GSM7980868_LPTC-1	LPTC	RAI_lineage	-3.2506465911865234	380	380
GSM7980869_LPTC-2	LPTC	CD8_Teff	0.4065231680870056	1018	1018
GSM7980869_LPTC-2	LPTC	Bplasma	1.0158452987670898	1018	1018
GSM7980869_LPTC-2	LPTC	IFN_gamma	-0.14477820694446564	1018	1018
GSM7980869_LPTC-2	LPTC	M1_M2	0.5384208559989929	1018	1018
GSM7980869_LPTC-2	LPTC	TLS	0.4961687922477722	1018	1018
GSM7980869_LPTC-2	LPTC	RAI_lineage	-4.138744831085205	1018	1018
GSM7980870_LPTC-3	LPTC	CD8_Teff	-0.0851043164730072	834	834
GSM7980870_LPTC-3	LPTC	Bplasma	0.06028691306710243	834	834
GSM7980870_LPTC-3	LPTC	IFN_gamma	-0.5199036002159119	834	834
GSM7980870_LPTC-3	LPTC	M1_M2	0.22336435317993164	834	834
GSM7980870_LPTC-3	LPTC	TLS	0.2339075803756714	834	834
GSM7980870_LPTC-3	LPTC	RAI_lineage	-3.533867359161377	834	834
GSM7980871_LPTC-4	LPTC	CD8_Teff	0.2865990698337555	1177	1177
GSM7980871_LPTC-4	LPTC	Bplasma	1.031840205192566	1177	1177
GSM7980871_LPTC-4	LPTC	IFN_gamma	-0.45314109325408936	1177	1177
GSM7980871_LPTC-4	LPTC	M1_M2	0.7860375642776489	1177	1177
GSM7980871_LPTC-4	LPTC	TLS	0.40610939264297485	1177	1177
GSM7980871_LPTC-4	LPTC	RAI_lineage	-4.303719997406006	1177	1177
GSM7980872_ATC-1	ATC	CD8_Teff		0	1180
GSM7980872_ATC-1	ATC	Bplasma		0	1180
GSM7980872_ATC-1	ATC	IFN_gamma		0	1180
GSM7980872_ATC-1	ATC	M1_M2		0	1180
GSM7980872_ATC-1	ATC	TLS		0	1180
GSM7980872_ATC-1	ATC	RAI_lineage		0	1180
GSM7980873_ATC-2	ATC	CD8_Teff		0	2354
GSM7980873_ATC-2	ATC	Bplasma		0	2354
GSM7980873_ATC-2	ATC	IFN_gamma		0	2354
GSM7980873_ATC-2	ATC	M1_M2		0	2354
GSM7980873_ATC-2	ATC	TLS		0	2354
GSM7980873_ATC-2	ATC	RAI_lineage		0	2354
GSM7980874_ATC-3	ATC	CD8_Teff		0	1621
GSM7980874_ATC-3	ATC	Bplasma		0	1621
GSM7980874_ATC-3	ATC	IFN_gamma		0	1621
GSM7980874_ATC-3	ATC	M1_M2		0	1621
GSM7980874_ATC-3	ATC	TLS		0	1621
GSM7980874_ATC-3	ATC	RAI_lineage		0	1621
GSM7980875_ATC-4	ATC	CD8_Teff	0.23312075436115265	647	647
GSM7980875_ATC-4	ATC	Bplasma	0.4435705542564392	647	647
GSM7980875_ATC-4	ATC	IFN_gamma	0.31414496898651123	647	647
GSM7980875_ATC-4	ATC	M1_M2	0.7385382652282715	647	647
GSM7980875_ATC-4	ATC	TLS	0.31260183453559875	647	647
GSM7980875_ATC-4	ATC	RAI_lineage	-3.875802993774414	647	647
