sample_id	n_spots	stage	ridge_R2	spearman_pred_vs_obs
GSM7980860_N-1	189	PT	0.12250187533023515	0.35850619456442523
GSM7980861_N-2	200	PT	0.14905957963367145	0.3420295507387685
GSM7980862_N-3	200	PT	0.05335514793130769	0.18595814895372387
GSM7980863_N-4	200	PT	0.05302130093138313	0.14901522538063455
GSM7980864_PTC-1	199	PTC	0.08135878656061113	0.27340151997399703
GSM7980865_PTC-2	199	PTC	0.29152978528988116	0.5042515608344754
GSM7980866_PTC-3	200	PTC	0.011864593829008507	0.09949527469260233
GSM7980867_PTC-4	199	PTC	0.18334057144134464	0.3645856016230839
GSM7980868_LPTC-1	189	LPTC	0.07385412267721536	0.25146198830409355
GSM7980869_LPTC-2	191	LPTC	0.10650290412861918	0.30619397694853995
GSM7980870_LPTC-3	195	LPTC	0.2936406419561284	0.6076541495505703
GSM7980871_LPTC-4	191	LPTC	0.30277878380115564	0.4995377943036571
GSM7980872_ATC-1	200	ATC	0.015093803696281771	0.173606978230735
GSM7980873_ATC-2	197	ATC	0.018989255553366058	0.19027771321235343
GSM7980874_ATC-3	200	ATC	0.029218920112791813	0.13886778204595002
GSM7980875_ATC-4	200	ATC	0.06712903589096719	0.26747248718437994
