sample_id	feature	gene	spearman
GSM7980860_N-1	B1_stromal_encased_thyrocyte_idx	BRI3	-0.23411004739541533
GSM7980860_N-1	B1_stromal_encased_thyrocyte_idx	CLTC	0.2295548685295287
GSM7980860_N-1	B1_stromal_encased_thyrocyte_idx	IGFBP4	0.20423476619337363
GSM7980860_N-1	B1_stromal_encased_thyrocyte_idx	JUN	0.20111914955501128
GSM7980860_N-1	B1_stromal_encased_thyrocyte_idx	GPX4	0.2005772454928726
GSM7980860_N-1	B3_nuclear_eccentricity_var	TPO	-0.2506000262237751
GSM7980860_N-1	B3_nuclear_eccentricity_var	NOP53	-0.1907519848000753
GSM7980860_N-1	B3_nuclear_eccentricity_var	SLC26A7	-0.18758355224215809
GSM7980860_N-1	B3_nuclear_eccentricity_var	ATP5F1B	-0.18442887605212788
GSM7980860_N-1	B3_nuclear_eccentricity_var	COX4I1	-0.18264078191439836
GSM7980860_N-1	B4_tumor_stroma_ratio	POLR2L	0.2869710458068662
GSM7980860_N-1	B4_tumor_stroma_ratio	FCGRT	0.26886709952317644
GSM7980860_N-1	B4_tumor_stroma_ratio	HBA2	-0.2550551694691886
GSM7980860_N-1	B4_tumor_stroma_ratio	CD24	0.23617276167387136
GSM7980860_N-1	B4_tumor_stroma_ratio	PPP2R1A	0.22434202243258936
GSM7980860_N-1	C2_spatial_celltype_entropy	FCGRT	0.252955248375272
GSM7980860_N-1	C2_spatial_celltype_entropy	POLR2L	0.23157519545613428
GSM7980860_N-1	C2_spatial_celltype_entropy	IGFBP7	-0.22512222398250314
GSM7980860_N-1	C2_spatial_celltype_entropy	PPP2R1A	0.21162801645492288
GSM7980860_N-1	C2_spatial_celltype_entropy	HBA2	-0.206595600434615
GSM7980860_N-1	B5_thyrocyte_cluster_med	CIRBP	0.2752439927156391
GSM7980860_N-1	B5_thyrocyte_cluster_med	MT-ND4L	-0.2572032593110055
GSM7980860_N-1	B5_thyrocyte_cluster_med	ERGIC3	0.2559102337185998
GSM7980860_N-1	B5_thyrocyte_cluster_med	RHOC	0.24083957196887967
GSM7980860_N-1	B5_thyrocyte_cluster_med	GADD45GIP1	0.22254941576394444
GSM7980860_N-1	n_thy	HBA2	-0.4748628391320284
GSM7980860_N-1	n_thy	GADD45GIP1	0.3176707109092827
GSM7980860_N-1	n_thy	HBA1	-0.3174619657952117
GSM7980860_N-1	n_thy	PDIA3	0.2758152411199166
GSM7980860_N-1	n_thy	LIPG	0.2735125246039267
GSM7980860_N-1	n_fib	HBA2	-0.44009481236860754
GSM7980860_N-1	n_fib	HOPX	0.34447688271231747
GSM7980860_N-1	n_fib	MORF4L1	0.31703708363528443
GSM7980860_N-1	n_fib	HBA1	-0.31416081229601495
GSM7980860_N-1	n_fib	ALDH1A1	0.29140903550123565
GSM7980861_N-2	B1_stromal_encased_thyrocyte_idx	EFEMP1	0.20863825863998336
GSM7980861_N-2	B1_stromal_encased_thyrocyte_idx	RAC1	0.19830824774247652
GSM7980861_N-2	B1_stromal_encased_thyrocyte_idx	LAPTM4A	0.196593797397473
GSM7980861_N-2	B1_stromal_encased_thyrocyte_idx	COX6B1	0.18716228422549747
GSM7980861_N-2	B1_stromal_encased_thyrocyte_idx	RAP1GAP	0.18713618046744304
GSM7980861_N-2	B3_nuclear_eccentricity_var	SELENBP1	-0.18809607643146373
GSM7980861_N-2	B3_nuclear_eccentricity_var	CNDP2	0.18396299351008003
GSM7980861_N-2	B3_nuclear_eccentricity_var	PTMA	-0.1773224458365082
GSM7980861_N-2	B3_nuclear_eccentricity_var	NUPR1	-0.1671652447800647
GSM7980861_N-2	B3_nuclear_eccentricity_var	LAMTOR4	-0.16597101647408835
GSM7980861_N-2	B4_tumor_stroma_ratio	MZT2A	0.2932522191507848
GSM7980861_N-2	B4_tumor_stroma_ratio	ALDH1A1	0.2761749819912548
GSM7980861_N-2	B4_tumor_stroma_ratio	UQCRH	0.27353321930887725
GSM7980861_N-2	B4_tumor_stroma_ratio	SLC26A7	0.22995696937664847
GSM7980861_N-2	B4_tumor_stroma_ratio	NDUFB9	0.22740780629738383
GSM7980861_N-2	C2_spatial_celltype_entropy	ALDH1A1	0.23288152461404935
GSM7980861_N-2	C2_spatial_celltype_entropy	MZT2A	0.23223906300828792
GSM7980861_N-2	C2_spatial_celltype_entropy	NPM1	0.2248216119365419
GSM7980861_N-2	C2_spatial_celltype_entropy	ECI1	0.22270319819038525
GSM7980861_N-2	C2_spatial_celltype_entropy	UQCRH	0.22070075006126674
GSM7980861_N-2	B5_thyrocyte_cluster_med	MGST1	0.2610920069427585
GSM7980861_N-2	B5_thyrocyte_cluster_med	SLC26A7	0.23874678167723945
GSM7980861_N-2	B5_thyrocyte_cluster_med	APRT	0.21334284024580968
GSM7980861_N-2	B5_thyrocyte_cluster_med	SKP1	0.20556983974572532
GSM7980861_N-2	B5_thyrocyte_cluster_med	RPSA	0.20411037353216283
GSM7980861_N-2	n_thy	ALDH1A1	0.3734520386708486
GSM7980861_N-2	n_thy	NDUFB9	0.36509415604282364
GSM7980861_N-2	n_thy	UQCRH	0.32503633066870197
GSM7980861_N-2	n_thy	SLC26A7	0.3214723508861806
GSM7980861_N-2	n_thy	EIF4A2	0.30032828382188004
GSM7980861_N-2	n_fib	ARF1	0.3729140920997925
GSM7980861_N-2	n_fib	MT1X	0.32673615935231853
GSM7980861_N-2	n_fib	NDUFA4	0.3249107402700543
GSM7980861_N-2	n_fib	DUSP1	0.3199497523685179
GSM7980861_N-2	n_fib	SELENOH	0.30803161604893226
GSM7980862_N-3	B1_stromal_encased_thyrocyte_idx	CPQ	0.22541774661913672
GSM7980862_N-3	B1_stromal_encased_thyrocyte_idx	PRDX6	-0.22151722678009722
GSM7980862_N-3	B1_stromal_encased_thyrocyte_idx	SEC11C	0.2056339972436401
GSM7980862_N-3	B1_stromal_encased_thyrocyte_idx	TOMM20	0.19293838690075013
GSM7980862_N-3	B1_stromal_encased_thyrocyte_idx	BANF1	0.18986264852275644
GSM7980862_N-3	B3_nuclear_eccentricity_var	EIF4G2	-0.2282040211722623
GSM7980862_N-3	B3_nuclear_eccentricity_var	PABPC1	-0.19626133831846312
GSM7980862_N-3	B3_nuclear_eccentricity_var	DDX5	-0.17985309107958972
GSM7980862_N-3	B3_nuclear_eccentricity_var	NIBAN2	-0.17841850027452805
GSM7980862_N-3	B3_nuclear_eccentricity_var	HSPA8	0.1774577595154648
GSM7980862_N-3	B4_tumor_stroma_ratio	PLXNB2	0.2727131653396243
GSM7980862_N-3	B4_tumor_stroma_ratio	MRPL52	0.26430396848614235
GSM7980862_N-3	B4_tumor_stroma_ratio	UBE2D3	0.2415623231898033
GSM7980862_N-3	B4_tumor_stroma_ratio	AP2M1	0.22729722911030584
GSM7980862_N-3	B4_tumor_stroma_ratio	ANXA1	0.2255848705321382
GSM7980862_N-3	C2_spatial_celltype_entropy	UBE2D3	0.2641285651473556
GSM7980862_N-3	C2_spatial_celltype_entropy	PLXNB2	0.25340013256224236
GSM7980862_N-3	C2_spatial_celltype_entropy	ANXA1	0.24792557497654039
GSM7980862_N-3	C2_spatial_celltype_entropy	CD9	0.24317934062865834
GSM7980862_N-3	C2_spatial_celltype_entropy	MSRB2	0.23565848740827772
GSM7980862_N-3	B5_thyrocyte_cluster_med	DCN	-0.26016990669024637
