sample	mean	median	std	count	cv
ATC08				0	
ATC09				0	
ATC10				0	
ATC11				0	
ATC12				0	
ATC13				0	
ATC14				0	
ATC15				0	
ATC17				0	
ATC18				0	
NORM03	1.188229100230862	1.3135208487510681	0.9901207770623035	136	0.8332743044838172
NORM07	1.4262899190066307	1.4788691997528076	0.7746306497747549	123	0.543108830436285
NORM18	2.090122270874861	2.135690450668335	0.6518196022210678	123	0.3118571632406157
NORM19	1.0307819803898361	0.9790092706680298	0.6422253495358908	261	0.6230467370927504
NORM20	2.4063365161418915	2.069302797317505	1.2753066168928546	24	0.5299784998224476
NORM21	1.6365804746747017	1.7465864419937134	0.5501389965592383	8	0.336151509242824
PTC01				0	
PTC02				0	
PTC03				0	
PTC04				0	
PTC05				0	
PTC06				0	
PTC07	1.8178007256600164	1.402087926864624	1.2915319564661076	31	0.7104914957040583
