angle	test	n_A	n_B	median_A	median_B	cohens_d	mw_p	pos_pct_A	pos_pct_B	odds_ratio	p	yes_A	yes_B	yes_pct_A	yes_pct_B
score:tds_score	Mann-Whitney + Cohen's d	72	19	0.283	-1.026	2.479	2.4697094506477867e-11								
score:rai_score_v17	Mann-Whitney + Cohen's d	72	19	8.084	6.48	2.502	4.480179686256976e-11								
score:tds16_score_v17	Mann-Whitney + Cohen's d	72	19	7.201	5.891	2.479	2.4697094506477867e-11								
score:dedifferentiation_proxy_score	Mann-Whitney + Cohen's d	72	19	-0.283	1.026	-2.479	2.4697094506477867e-11								
age_at_dx	Mann-Whitney + Cohen's d	71	18	39.4	45.6	-0.285	0.1756232416594311								
stage_III_IV	Fisher exact	72	19					18.1	31.6	2.095	0.2143				
sex_male	Fisher exact	72	19					23.6	26.3	1.155	0.7715				
aggressive_flag	Fisher exact	72	19								1.0	0.0	0.0	0.0	0.0
HLA:HLA-I	Mann-Whitney + Cohen's d	124	22	0.415	0.313	-0.377	0.14686299963102473								
HLA:HLA-II	Mann-Whitney + Cohen's d	124	22	0.599	1.033	-0.374	0.09169119793451307								
