phenotype	comp	n_s1	n_s2	pct_s1	pct_s2	odds_ratio	p
Multifocality	BRAF-like vs NBNR	81	46	33.3	2.2	22.5	0.0
Multifocality	BRAF-like vs RAS-like	81	53	33.3	17.0	2.444	0.0464
Multifocality	NBNR vs RAS-like	46	53	2.2	17.0	0.109	0.0183
ETE	BRAF-like vs NBNR	67	28	53.7	10.7	9.677	0.0001
ETE	BRAF-like vs RAS-like	67	46	53.7	8.7	12.194	0.0
ETE	NBNR vs RAS-like	28	46	10.7	8.7	1.26	1.0
VascularInvasion	BRAF-like vs NBNR	81	27	0.0	11.1	0.0	0.0143
VascularInvasion	BRAF-like vs RAS-like	81	48	0.0	6.2	0.0	0.0495
VascularInvasion	NBNR vs RAS-like	27	48	11.1	6.2	1.875	0.6608
LymphInvasion	BRAF-like vs NBNR	80	27	5.0	0.0		0.5701
LymphInvasion	BRAF-like vs RAS-like	80	48	5.0	2.1	2.474	0.6497
LymphInvasion	NBNR vs RAS-like	27	48	0.0	2.1	0.0	1.0
DistantMets	BRAF-like vs NBNR	81	46	1.2	0.0		1.0
DistantMets	BRAF-like vs RAS-like	81	53	1.2	5.7	0.208	0.3001
DistantMets	NBNR vs RAS-like	46	53	0.0	5.7	0.0	0.2461
