expert	feature	weight
BigMHC_IM	hla_A	0.3055506725664585
BigMHC_IM	validation_unknown	0.21510045443915576
BigMHC_IM	length_sq_norm	0.210436014832428
BigMHC_IM	hla_other	0.19116291039353775
BigMHC_IM	seq_helper_prior	0.17443959334910222
BigMHC_IM	source_improve	0.09134806408154296
BigMHC_IM	source_other	0.07307439382830931
BigMHC_IM	charged_balance	0.07048370112256101
BigMHC_IM	source_cedar	0.054177285583343414
BigMHC_IM	bias	0.032039230293111065
BigMHC_IM	source_mcpas	0.015231730875631457
BigMHC_IM	hydrophobic	0.0
BigMHC_IM	validation_held_out	-0.003379235350052235
BigMHC_IM	length_norm	-0.006006502306116414
BigMHC_IM	helper_promiscuity_proxy	-0.010403552187853368
BigMHC_IM	source_dbpepneo2	-0.018048743816674758
BigMHC_IM	hla_C	-0.02419827715414884
BigMHC_IM	source_tesla	-0.09425258418434303
BigMHC_IM	slp_processability_proxy	-0.19635267138563212
BigMHC_IM	source_itsndb	-0.24437751090640036
BigMHC_IM	validation_partial_overlap	-0.2830061986685212
BigMHC_IM	aromatic	-0.3329634060546243
BigMHC_IM	seq_diversity	-0.4166583051789981
BigMHC_IM	seq_cytotoxic_prior	-0.4834073760217708
BigMHC_IM	validation_external_test	-0.5437450416229382
BigMHC_IM	hla_B	-0.6523351909714644
BigMHC_IM	source_neodb	-0.6836054636141417
BigMHC_IM	source_nepdb	-1.0942373893024533
BigMHC_IM	overlap_norm	-1.2950320456817246
BioDarwin_public_anchor_noEL_v4	helper_promiscuity_proxy	0.8676971011538672
BioDarwin_public_anchor_noEL_v4	seq_cytotoxic_prior	0.5528711106830133
BioDarwin_public_anchor_noEL_v4	hla_A	0.4279394287190043
BioDarwin_public_anchor_noEL_v4	bias	0.3360270544299808
BioDarwin_public_anchor_noEL_v4	source_cedar	0.31181843522531033
BioDarwin_public_anchor_noEL_v4	seq_helper_prior	0.27042711487907556
BioDarwin_public_anchor_noEL_v4	charged_balance	0.2590049827065174
BioDarwin_public_anchor_noEL_v4	source_improve	0.23019298381166495
BioDarwin_public_anchor_noEL_v4	hydrophobic	0.14502368584958997
BioDarwin_public_anchor_noEL_v4	source_dbpepneo2	0.09744877462262985
BioDarwin_public_anchor_noEL_v4	source_itsndb	0.07348062001257487
BioDarwin_public_anchor_noEL_v4	source_nepdb	0.058087048039771744
BioDarwin_public_anchor_noEL_v4	length_norm	0.055956852455815796
BioDarwin_public_anchor_noEL_v4	seq_diversity	0.04551934835110636
BioDarwin_public_anchor_noEL_v4	source_other	0.04449121507756796
BioDarwin_public_anchor_noEL_v4	validation_held_out	0.04198570841238584
BioDarwin_public_anchor_noEL_v4	source_mcpas	0.032194609317553774
BioDarwin_public_anchor_noEL_v4	hla_C	-0.005794859158540077
BioDarwin_public_anchor_noEL_v4	validation_unknown	-0.034404300941628906
BioDarwin_public_anchor_noEL_v4	length_sq_norm	-0.07139191430437165
BioDarwin_public_anchor_noEL_v4	source_tesla	-0.09083090000707175
BioDarwin_public_anchor_noEL_v4	validation_external_test	-0.0996734868834865
BioDarwin_public_anchor_noEL_v4	hla_B	-0.10594916651094075
BioDarwin_public_anchor_noEL_v4	hla_other	-0.19466718559719381
