split	algorithm	n	positives	positive_rate	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top24_precision	top24_hits
academic_train_sources	Current_mode_bank_v4	2285	1168	0.5111597374179431	0.9172135804416075	0.8982291117352008	1.0	5	1.0	10	1.0	24
academic_train_sources	Public_anchor_v3	2285	1168	0.5111597374179431	0.6863590195351217	0.6663116560993856	0.8	4	0.9	9	0.7083333333333334	17
academic_train_sources	RF_biophys	2285	1168	0.5111597374179431	0.9463481752723638	0.9436016083933236	1.0	5	1.0	10	1.0	24
academic_train_sources	RF_anchor_heuristic_v1	2285	1168	0.5111597374179431	0.8478731809769149	0.8535495180338725	1.0	5	1.0	10	1.0	24
academic_train_sources	Regime_router_v1	2285	1168	0.5111597374179431	0.9172135804416075	0.8982291117352008	1.0	5	1.0	10	1.0	24
academic_validation_like	Current_mode_bank_v4	430	11	0.02558139534883721	0.8863066757803602	0.97244521588197	1.0	5	0.9	9	0.4166666666666667	10
academic_validation_like	Public_anchor_v3	430	11	0.02558139534883721	0.3188402264384474	0.7977869385983943	0.6	3	0.4	4	0.25	6
academic_validation_like	RF_biophys	430	11	0.02558139534883721	0.3235053983133306	0.8904317639401171	0.4	2	0.3	3	0.16666666666666666	4
academic_validation_like	RF_anchor_heuristic_v1	430	11	0.02558139534883721	0.4017050252027736	0.9444564981557823	0.4	2	0.3	3	0.2916666666666667	7
academic_validation_like	Regime_router_v1	430	11	0.02558139534883721	0.8863066757803602	0.97244521588197	1.0	5	0.9	9	0.4166666666666667	10
industrial_locked_v0	Current_mode_bank_v4	25	9	0.36	0.6279786662139604	0.638888888888889	0.8	4	0.5	5	0.375	9
industrial_locked_v0	Public_anchor_v3	25	9	0.36	0.6279786662139604	0.638888888888889	0.8	4	0.5	5	0.375	9
industrial_locked_v0	RF_biophys	25	9	0.36	0.3164132136531966	0.35416666666666663	0.2	1	0.3	3	0.375	9
industrial_locked_v0	RF_anchor_heuristic_v1	25	9	0.36	0.4021107314585575	0.5069444444444444	0.4	2	0.4	4	0.375	9
industrial_locked_v0	Regime_router_v1	25	9	0.36	0.629765768001062	0.6458333333333334	0.8	4	0.4	4	0.375	9
