candidate_id	bma_context	barneo_bma_score	patient_gated_bma_score	posterior_uncertainty	expert_disagreement_range	bma_confidence_score	bma_confidence_bin	bma_abstain	bma_abstention_reason_primary	bma_abstention_reason_all	selected_method_count	selected_methods	bma_rank_global
CNV0_00538	default	0.9391450957228071	0.40687477660940563	0.02213009422730073	0.05372405372405398	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	1
CNV0_00350	default	0.9260687320071415	0.40496638624728215	0.0071788990714060355	0.01725403817914839	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	2
CNV0_00778	default	0.9329390302428886	0.40478600426659234	0.011957867195229855	0.02777777777777779	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	3
CNV0_00716	default	0.9426438800688799	0.403632511772745	0.005158195756660004	0.011304276010158376	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	4
CNV0_00692	default	0.9226059438633908	0.4027986580848936	0.005919064114790755	0.013687907252263987	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	5
CNV0_00539	default	0.9364937333955954	0.4021346639353956	0.001843933941102421	0.004314589271832148	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	6
CNV0_00717	default	0.926753059706974	0.401539193181139	0.0074182789329914145	0.01725403817914839	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	7
CNV0_00787	default	0.9399598951193882	0.4014474554237568	0.0031663437154934456	0.007150715071507219	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	8
CNV0_00158	default	0.9276974608301223	0.40113259533579987	0.0065457777434627185	0.014312665529876978	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	9
CNV0_00665	default	0.9270197901393396	0.4008993093991448	0.016608889880070983	0.0354900354900356	0.4	low	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; BAR-Neo abstention: High leakage risk invalidates clean benchmark claim	3	source_balanced_rf_train_prior_calibrated,source_balanced_plus_pu_rf_train_prior_calibrated,pu_weighted_rf_train_prior_calibrated	10
