method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	median_AUPRC	mean_AUROC	mean_top10_precision	mean_top20_precision	mean_ECE	mean_Brier	mean_abstention_rate	n_split_rows	n_total_scored	reviewer_safe_score
source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.8018477297085784	0.945436283259158	0.8684346041324927	0.7886734693877551	0.7446301661997151	0.1185004547209218	0.0884256384439848	0.9161786237915384	70	5305	0.9677323781140372
pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7856412585510668	0.9282869672048596	0.8273384288327287	0.7786734693877552	0.7446301661997151	0.1299403753005572	0.0938118545182808	0.9161786237915384	70	5305	0.9483819148985622
source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7835661250612553	0.935428178544354	0.842814544733564	0.7801020408163266	0.7460587376282866	0.1274281647560252	0.0925155595139846	0.9161786237915384	70	5305	0.9468437167489182
W7A_full	classical_biophysical	internal_candidate	False	True	True	0.7105353164970405	0.6657139834439223	0.760384292496489	0.8177083333333334	0.782907196969697	0.2583388533028453	0.2311536466603129	0.7308114958250319	32	886	0.8682430978334227
W7A_QK_only	qk_fallback	bounded_fallback	False	True	True	0.7185594821534456	0.7047619047619047	0.7431347167244804	0.8020833333333334	0.789157196969697	0.2501888880379391	0.2272991055205062	0.7308114958250319	32	886	0.8539572600163183
W7B_stacked	ensemble_or_fusion	internal_candidate	False	True	True	0.6905238146782089	0.6429313251390525	0.7218141665250791	0.8083333333333333	0.779782196969697	0.2251069620054684	0.2149079016054801	0.7308114958250319	32	886	0.8496797851443287
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.6055242272347535	0.7420424498048128	0.7899999999999999	0.735250626566416	0.1573594162403874	0.1909593534982951	0.6566127175244798	30	1213	0.8446498858561731
sourceheld_counterfactual_rf	internal_baseline	internal_candidate	False	True	True	0.6960135224342753	0.8766666666666667	0.7526545886494268	0.7601020408163265	0.7210587376282865	0.2653308668472999	0.1739577590674132	0.9161786237915384	70	5305	0.8415008439128107
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	True	0.6557758318401355	0.7305555555555555	0.7433748057220568	0.7958333333333333	0.773532196969697	0.2344317982906944	0.2231322129414442	0.7308114958250319	32	886	0.8114993186777328
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	True	0.6547226088365166	0.6812368216659963	0.7117900418327132	0.7927083333333333	0.782907196969697	0.2193157684849198	0.2346034313567379	0.7308114958250319	32	886	0.8113326986546913
D_positive_class_reweighting	classical_biophysical	internal_candidate	False	True	True	0.6611072491150088	0.8104411764705881	0.7121867703864457	0.7429591836734695	0.7082015947711436	0.2171551280337486	0.1683806049938589	0.9161786237915384	70	5305	0.8079835730463278
anchor_rf_retrained_cf	internal_baseline	anchor	False	True	True	0.6338654497872817	0.7435897435897436	0.7433649769461703	0.7443877551020408	0.7039158804854294	0.2757104258121499	0.2089841099937251	0.9161786237915384	70	5305	0.7951719582264749
decoy_focal_positive_pattern	classical_biophysical	internal_candidate	False	True	True	0.6449232670520787	0.7222222222222222	0.7461312277812584	0.6875992063492063	0.6858611995947522	0.2667324431132048	0.2098073789057644	0.8543224747088763	72	7008	0.7757698640105996
anchor_rf	internal_baseline	anchor	False	True	True	0.6145059707030316	0.6928571428571428	0.6889733923695271	0.7098214285714285	0.6789167551503078	0.2820268271796063	0.209643499857655	0.8543224747088763	72	7008	0.7682675736993567
Stack_median_E2	ensemble_or_fusion	internal_candidate	False	True	True	0.6129595859237941	0.6085650464522606	0.650252562818221	0.7770833333333333	0.773532196969697	0.212227512713173	0.2422122288218582	0.7308114958250319	32	886	0.7671535013191434
kNN	classical_biophysical	internal_candidate	False	True	True	0.61054647575326	0.6007936507936508	0.662201689886976	0.7958333333333333	0.781344696969697	0.2317392558323434	0.2476912919307545	0.7308114958250319	32	886	0.7665392168366923
pu_weighted_rf	classical_biophysical	internal_candidate	False	True	True	0.6170767212758665	0.7345238095238095	0.6756344712048312	0.7472448979591837	0.7110587376282865	0.2607044440225224	0.1981677321380755	0.9161786237915384	70	5305	0.7604552564654511
E_pu_style_conservative_ranker	classical_biophysical	internal_candidate	False	True	True	0.6140849306469575	0.7397621649450293	0.7212613691488489	0.7343877551020408	0.707487309056858	0.2791739561937449	0.2154725609239848	0.9161786237915384	70	5305	0.7530450860479913
MultiTask_A_only	classical_biophysical	internal_candidate	False	True	True	0.5977420282156533	0.5055555555555555	0.6123000613412224	0.7955555555555556	0.7555555555555556	0.2551142092116616	0.2540192438447279	0.7123909413197463	30	866	0.7513417184055982
sourceheld_prespecified_late_fusion_w0.5	ensemble_or_fusion	internal_candidate	False	True	True	0.600567101061887	0.6489207639004645	0.6723564869968954	0.7458163265306123	0.7153444519140008	0.2653642112091404	0.2143896242744488	0.9161786237915384	70	5305	0.7431939452470955
source_balanced_rf	classical_biophysical	internal_candidate	False	True	True	0.6050674042912851	0.7095479319722015	0.7167362609902619	0.7129591836734694	0.6846301661997151	0.2664328190782101	0.2086461579789367	0.9161786237915384	70	5305	0.741015959118158
MultiTask_AC	classical_biophysical	internal_candidate	False	True	True	0.5871865189717569	0.5049603174603174	0.607698892028171	0.7755555555555556	0.7505555555555555	0.2640872360557301	0.2635297354103806	0.7123909413197463	30	866	0.735888906477295
Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5640159289183905	0.5582130788018536	0.6117625107712066	0.821875	0.7790178571428571	0.1485123384602096	0.2083155168562811	0.6786163420960505	32	1233	0.7335396950723696
MultiTask_AD	classical_biophysical	internal_candidate	False	True	True	0.5797043746351314	0.4961640211640212	0.592398536324955	0.7688888888888888	0.7422222222222222	0.2566161871378952	0.2579945753911577	0.7123909413197463	30	866	0.7278205336991197
MultiTask_AB	classical_biophysical	internal_candidate	False	True	True	0.5835678346621742	0.5166666666666667	0.5960854866052359	0.7555555555555556	0.7522222222222222	0.2875542267151386	0.2632222639676878	0.7123909413197463	30	866	0.7259235231017716
MultiTask_full	classical_biophysical	internal_candidate	False	True	True	0.5772751480756398	0.5160714285714285	0.583052082585579	0.7722222222222223	0.7522222222222222	0.273669372896072	0.2703671723762937	0.7123909413197463	30	866	0.7243526552304771
GP_quantum	qk_fallback	bounded_fallback	False	True	True	0.5946414016568287	0.5659008438250187	0.593609283972986	0.7677083333333333	0.765719696969697	0.2394369858773386	0.2415805061335842	0.7308114958250319	32	886	0.7242393697357615
RF_biophys	internal_baseline	internal_candidate	False	True	True	0.5706072727927642	0.4933862433862434	0.5793033068240423	0.7770833333333333	0.773532196969697	0.2498321400557297	0.2538152775171097	0.7308114958250319	32	886	0.7210407254538579
G_abstention_extreme_ood	classical_biophysical	internal_candidate	False	True	True	0.5729714704944949	0.6494642259133053	0.6290109982928159	0.7286734693877551	0.7032015947711436	0.2815238376023303	0.2400609471976716	0.9161786237915384	70	5305	0.710553780611813
source_prespecified_rf_qk_compact_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5814672387086828	0.6802197802197802	0.6352704277977554	0.7429591836734695	0.7117730233425722	0.2585463158064002	0.2124105930933817	0.9161786237915384	70	5305	0.7042044438627366
VQC	qk_fallback	bounded_fallback	False	True	True	0.5579112980450861	0.5575745910632186	0.5905376191455001	0.7833333333333333	0.775094696969697	0.1895985849127108	0.2321983987635399	0.7308114958250319	32	886	0.6956181062204816
H_anchor_rf_plus_qk_compact_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5687384291291067	0.6666666666666667	0.6251019353230881	0.7329591836734693	0.7039158804854294	0.2846466159564871	0.2305255591247267	0.9161786237915384	70	5305	0.6868656042681518
Wave8_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5251991143609056	0.5060506133332515	0.5788556017166452	0.7708333333333334	0.7532196969696969	0.1606261249407685	0.2297145159681995	0.7308114958250319	32	886	0.6833031685334955
Wave8_TCR_motif_only	tcr_aware	internal_candidate	False	True	True	0.5201255818036871	0.5402046783625731	0.6022486710289857	0.78125	0.7837053571428572	0.1381521783210339	0.2214282404416793	0.6786163420960505	32	1233	0.6825603639715837
BigMHC_IM	deep_immunogenicity	caveated_public_comparator	True	False	False	0.6217138229550467	0.6139313252808765	0.7482190744357309	0.771875	0.7352678571428571	0.2033580731624393	0.2050100223617397	0.6786163420960505	32	1233	0.6757530156388027
TENT	classical_biophysical	internal_candidate	False	True	True	0.5351319324833842	0.5029761904761905	0.5456380393672602	0.7355555555555555	0.7422222222222222	0.2684674147295188	0.2784400083037811	0.7123909413197463	30	866	0.6753963021215434
prespecified_lr_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5698246252535977	0.5527045699592192	0.7217843801253985	0.6209150326797386	0.550326797385621	0.2219834290443963	0.2227679652990438	0.0	17	1703	0.6718092888851057
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.4982942652735618	0.6216758151255434	0.6032679738562092	0.5179738562091503	0.1775082996033321	0.2203991639152991	0.0	17	1703	0.6690709305801377
MHCflurry	deep_immunogenicity	caveated_public_comparator	True	False	False	0.600867866897983	0.5865530588521137	0.6444481508582077	0.81875	0.7727678571428571	0.1558937282741515	0.2111660695894553	0.6786163420960505	32	1233	0.6690284940705679
Wave8_TCR_only	tcr_aware	internal_candidate	False	True	True	0.4996462215008605	0.5625007510425544	0.4769391952672255	0.7739583333333333	0.7844696969696969	0.1837537186360169	0.2437084440188771	0.7308114958250319	32	886	0.6560625163039255
rule_gated_C_QK_structure	qk_fallback	bounded_fallback	False	True	True	0.5519147906953146	0.5497004649451274	0.6847566204655644	0.5915032679738562	0.5532679738562091	0.1698331693661433	0.1887429764663263	0.0	17	1703	0.6532321273534715
prespecified_equal_weight_C_QK_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.5481642876965633	0.5275275530878093	0.689609383426319	0.5973856209150327	0.5238562091503267	0.1758674802404224	0.1813487583005925	0.0	17	1703	0.6500546638555277
Wave8_TCR_SelfSim_full	tcr_aware	internal_candidate	False	True	True	0.4843528280615256	0.532984807360311	0.5216406266457183	0.79375	0.7696428571428572	0.154846368922506	0.2191501444708477	0.6786163420960505	32	1233	0.647618191169275
MHCnuggets_2	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5800491446642597	0.6054671680098876	0.5992003231225547	0.7895833333333333	0.7610321969696969	0.1854257998228523	0.2339266742036739	0.7302352208854225	32	882	0.6394232313486411
F_topk_diversification_hla_cluster	classical_biophysical	internal_candidate	False	True	True	0.5044063414740251	0.4610847485847485	0.543644307840136	0.681530612244898	0.6796301661997151	0.2470699533145036	0.2356799335077122	0.9161786237915384	70	5305	0.6360054685915543
Wave8_SelfSim_full	tcr_aware	internal_candidate	False	True	True	0.4793055304135335	0.4791697976909055	0.5384133042120337	0.7552083333333334	0.736032196969697	0.171742431488504	0.244878378596636	0.7308114958250319	32	886	0.6331729539313498
ESM2_Bayesian	bayesian_uncertainty	uncertainty_only	False	True	True	0.5378305627750056	0.5549480653620475	0.6287095088710477	0.7466666666666666	0.725250626566416	0.2400467664091577	0.2504453983079902	0.6566127175244798	30	1213	0.6231592194674231
Stack_LR_OOF_E3b	ensemble_or_fusion	internal_candidate	False	True	True	0.5346310665904996	0.4381758676413836	0.5931301419485902	0.4823529411764705	0.4804566563467491	0.2825917058064106	0.2419589831205947	0.0	17	409	0.6228424842451526
sourceheld_qk_compact_gamma1	qk_fallback	bounded_fallback	False	True	True	0.5092857296574265	0.5192857142857142	0.5464536943870981	0.7029591836734693	0.687487309056858	0.2797246023945368	0.2418580492686336	0.9161786237915384	70	5305	0.6219051061526667
source_balanced_plus_pu_rf	classical_biophysical	internal_candidate	False	True	True	0.4902453697150267	0.4814814814814815	0.5514712242252552	0.6886734693877551	0.6832015947711436	0.2779338786976444	0.2475787596782982	0.9161786237915384	70	5305	0.6201866757228133
source_qk_compact_gamma1	qk_fallback	bounded_fallback	False	True	True	0.4958582825298849	0.4859523809523809	0.5607464132308322	0.7158163265306122	0.6967730233425722	0.2746558364877545	0.241986352089938	0.9161786237915384	70	5305	0.6115559641872319
TSCAPE_TITANiAN	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5597997370914287	0.5125224421655843	0.6008236291479251	0.7614583333333333	0.754782196969697	0.2068093391919312	0.2510681109628831	0.7308114958250319	32	886	0.6114104698389022
DeepImmuno	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5550511054984465	0.4814010729409104	0.6200337965762248	0.7802083333333333	0.7532196969696969	0.2581050237594454	0.2579635486608894	0.7308114958250319	32	886	0.6052822697891685
prespecified_rf_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5019037265468916	0.4667239225384496	0.6374412662808648	0.5797385620915033	0.5356209150326797	0.2029224297699629	0.2195981625216008	0.0	17	1703	0.5975591959881961
elastic_net_lr	classical_biophysical	internal_candidate	False	True	True	0.4827540835334972	0.4144426007465745	0.6154860566511872	0.538562091503268	0.4915032679738562	0.1740714295493914	0.2173621320467069	0.0	17	1703	0.5930593588792117
prespecified_C_0.5_QK_quantum_0.5	qk_fallback	bounded_fallback	False	True	True	0.4988849562031652	0.4540263294339148	0.6339548773958201	0.5562091503267974	0.5238562091503267	0.1913959948893525	0.2160977692506606	0.0	17	1703	0.5909871867795894
v0_fixed_late_fusion_C_QK_quantum	qk_fallback	bounded_fallback	False	True	True	0.4987288707365597	0.4539891287429219	0.6413206100038271	0.550326797385621	0.538562091503268	0.1935440809378029	0.2155846215390585	0.0	17	1703	0.5894398221199036
NetMHCstabpan	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5351922012486295	0.4566157222901111	0.5678926721430989	0.7583333333333333	0.7454071969696969	0.1836172970743769	0.2518358800331575	0.7308114958250319	32	886	0.5884971382078585
ESMFold_3D_CV_score	structure_proxy	internal_candidate	False	True	True	0.5028430277971025	0.3548782308377897	0.5924169272792538	0.4326797385620915	0.4280873753009975	0.2231688809614381	0.2142580842049302	0.0	17	347	0.5870620874133771
B_rank_normalization_hla_supertype_train_only	classical_biophysical	internal_candidate	False	True	True	0.4566358717292943	0.4444444444444445	0.5139885838455815	0.6786734693877552	0.6810587376282865	0.2728878216987849	0.2483999882279383	0.9161786237915384	70	5305	0.5850817834369669
C_source_balanced_training	classical_biophysical	internal_candidate	False	True	True	0.4579138546959085	0.4465690559440559	0.4399756301047598	0.6801020408163265	0.6760587376282865	0.2905099611577333	0.2510579766931521	0.9161786237915384	70	5305	0.5848832667434005
TransPHLA	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5350093380889892	0.4631400492560124	0.6038205973289267	0.7427083333333333	0.765719696969697	0.1917562246235845	0.2374282226502267	0.7302352208854225	32	883	0.5843753822932973
prespecified_lr_qk_no_anchor_w0.5	qk_fallback	bounded_fallback	False	True	True	0.4959900934072867	0.456174704644018	0.6383756775252433	0.538562091503268	0.5032679738562091	0.2109814904163695	0.2286641788638269	0.0	17	1703	0.5826043626663033
nested_learned_gate_C_QK_structure	qk_fallback	bounded_fallback	False	True	True	0.4944848041881513	0.4510116784704374	0.6778407827536925	0.4856209150326798	0.4973856209150327	0.1877979366937925	0.197754631561951	0.0	17	1703	0.572829193525308
A_score_standardization_train_only	classical_biophysical	internal_candidate	False	True	True	0.4450797771901458	0.4444444444444445	0.4517762643172259	0.6743877551020407	0.6682015947711436	0.2911929433098205	0.2473197783652466	0.9161786237915384	70	5305	0.570838033879572
PRIME	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5077576398636467	0.4300879226737442	0.6239662315875999	0.721875	0.7243303571428571	0.1829382156256713	0.2328888490190946	0.6786163420960505	32	1233	0.5538388183010796
nested_rf_qk_quantum_only_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4679665324103141	0.4397847471161593	0.6182705289948671	0.5150326797385621	0.4915032679738562	0.1784787562057855	0.2269354604209138	0.0	17	1703	0.5531251927374481
NetMHCpan_4.1	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5004061865943354	0.4238026523740809	0.5994382411636828	0.734375	0.7290178571428572	0.1775072322915368	0.2282310900311091	0.6786163420960505	32	1233	0.5495304633651816
prespecified_rf_qk_no_anchor_w0.5	qk_fallback	bounded_fallback	False	True	True	0.4593730962920596	0.4561341952166036	0.6106978958859853	0.526797385620915	0.526797385620915	0.1926477287186332	0.230552137718692	0.0	17	1703	0.5454678005443793
nested_lr_qk_quantum_only_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4583593245017353	0.4043028459567591	0.6248160062730191	0.526797385620915	0.526797385620915	0.2017527457433393	0.2370630672258654	0.0	17	1703	0.5435435270515845
v0_C_counterfactual_RF	internal_baseline	internal_candidate	False	True	True	0.4387272197550305	0.4101779419157234	0.6054945504177015	0.5032679738562091	0.4944444444444444	0.1708675757249617	0.2226988944829559	0.0	17	1703	0.5422940569537762
v0_fixed_late_fusion_C_QK_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.4539569437057641	0.4588902944846094	0.6063857849317622	0.515032679738562	0.526797385620915	0.1958967264158899	0.230896035252669	0.0	17	1703	0.5373738070118876
nested_lr_qk_no_anchor_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4490730811848039	0.44270745744077	0.5857905132337801	0.526797385620915	0.5032679738562091	0.2087094332799915	0.2402478050888208	0.0	17	1703	0.5335616149809876
qk_quantum_only	qk_fallback	bounded_fallback	False	True	True	0.4453381614243109	0.3731259094255653	0.6004323457637435	0.5117647058823529	0.4970588235294117	0.1727242342167048	0.2161405660392997	0.0	17	2015	0.5304186791791111
rule_gate_rf_qk_fallback_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4511283644634047	0.4154147090636382	0.6230619141678837	0.4797385620915032	0.5062091503267974	0.1808611585737402	0.2261836525847804	0.0	17	1703	0.5289899610243313
min_pLDDT_peptide	structure_proxy	internal_candidate	False	True	True	0.4473491882785721	0.3028267651888341	0.4957702743359206	0.4209150326797385	0.4251461988304093	0.2436600994398386	0.2188332151290889	0.0	17	347	0.527166184870536
interface_contacts_8A	classical_biophysical	internal_candidate	False	True	True	0.4369328429240434	0.2616266011227675	0.5617652857148586	0.4091503267973856	0.4251461988304093	0.1689069238730183	0.240342858788416	0.0	17	347	0.5218722158962188
nested_rf_qk_no_anchor_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4346894126653668	0.4264433435465812	0.5899411075405574	0.5032679738562091	0.5062091503267974	0.1942682962284694	0.2338256145478144	0.0	17	1703	0.5159161778137618
qk_quantum_only_gamma1	qk_fallback	bounded_fallback	False	True	True	0.431278368065646	0.3612277950212584	0.5800634917598461	0.5	0.4794117647058823	0.170665222309597	0.2156687560975583	0.0	17	2015	0.5142118458346864
v0_QK_quantum_only_fallback	qk_fallback	bounded_fallback	False	True	True	0.431278368065646	0.3612277950212584	0.5800634917598461	0.5	0.4794117647058823	0.170665222309597	0.2156687560975583	0.0	17	2015	0.5142118458346864
pairwise_positive_over_unlabeled	classical_biophysical	internal_candidate	False	True	True	0.4126829732621625	0.3291666666666666	0.5822271708088665	0.3801666666666666	0.3636631701631702	0.1465251198366204	0.1877328852761054	0.7618301365555817	50	5254	0.4940637946118338
mean_pLDDT_peptide	structure_proxy	internal_candidate	False	True	True	0.399944586155548	0.327141129032258	0.5153134101605521	0.4209150326797385	0.4398520811833505	0.1736954738324421	0.2385820586080768	0.0	17	347	0.4867580453082516
pu_logistic_weighted	classical_biophysical	internal_candidate	False	True	True	0.3875875948506161	0.2648119664012861	0.5570749520591782	0.3761666666666666	0.3666631701631702	0.1628613265055892	0.1918565833576032	0.7618301365555817	50	5254	0.4665347955333905
stacked_calibrated_meta_model_lowdim_only	ensemble_or_fusion	internal_candidate	False	True	True	0.366920003365823	0.3025500118845663	0.5080180228098634	0.4738562091503268	0.4444444444444444	0.1766270143297539	0.2211043070356736	0.0	17	1703	0.4640285437629129
peptide_helicity_proxy	classical_biophysical	internal_candidate	False	True	True	0.3799499183736777	0.3251475376475377	0.4041840536106331	0.4326797385620915	0.4280873753009975	0.2670875941882732	0.2496677106847173	0.0	17	347	0.4597771066672687
qk_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.3703926922118239	0.3307134240458292	0.5416559157819221	0.4764705882352941	0.4852941176470588	0.1817535399524862	0.2229045616832362	0.0	17	2015	0.4475114558636341
interface_contacts_10A	classical_biophysical	internal_candidate	False	True	True	0.3615586313775046	0.2631377760631724	0.4529127915081705	0.4091503267973856	0.4133814929480564	0.241142702810692	0.225801322648251	0.0	17	347	0.4392744264559125
qk_no_anchor_gamma1	qk_fallback	bounded_fallback	False	True	True	0.364254055021712	0.3299524544463174	0.5193384762993387	0.4647058823529412	0.4941176470588235	0.1836586647872279	0.2246776790339069	0.0	17	2015	0.4388293650135775
v0_QK_no_anchor_fallback	qk_fallback	bounded_fallback	False	True	True	0.364254055021712	0.3299524544463174	0.5193384762993387	0.4647058823529412	0.4941176470588235	0.1836586647872279	0.2246776790339069	0.0	17	2015	0.4388293650135775
xgboost_depth2	classical_biophysical	internal_candidate	False	True	True	0.3529231868786339	0.2984246844619935	0.505739086344243	0.3915032679738562	0.4091503267973856	0.1553768617232364	0.2163384613948812	0.0	17	1703	0.4356861543010815
calibrated_linear_svm	classical_biophysical	internal_candidate	False	True	True	0.3455865953043199	0.286938219801111	0.4696330317693444	0.4326797385620915	0.4179738562091503	0.1650398574189478	0.2270961917092505	0.0	17	1703	0.4356185572748434
rf_secondary	classical_biophysical	internal_candidate	False	True	True	0.3299086677543026	0.275224671431358	0.4930680423744557	0.4091503267973856	0.4209150326797385	0.1463743270122142	0.2165790682772342	0.0	17	1703	0.4171013004125583
radius_of_gyration_peptide	classical_biophysical	internal_candidate	False	True	True	0.3315897204475527	0.3233520021645022	0.3204322593397896	0.4326797385620915	0.4222050223598211	0.2179351073621437	0.245376292210832	0.0	17	347	0.4163321574237566
v0_Structure_baseline_RF	structure_proxy	internal_candidate	False	True	True	0.3203193848902968	0.275095975791559	0.4770121423602964	0.3973856209150326	0.4179738562091503	0.1818965212993526	0.229630968974576	0.0	17	1703	0.401606856943368
qk_clean_no_tcr_gamma1	tcr_aware	internal_candidate	False	True	True	0.3189728720500634	0.3049915572045643	0.5064840225391708	0.3823529411764705	0.4117647058823529	0.1447577352967335	0.2206254771511593	0.0	17	2015	0.4009676867556842
positive_only_centroid	classical_biophysical	internal_candidate	False	True	True	0.3268742573707666	0.2281794726764915	0.4808620258943393	0.3401666666666667	0.3416631701631701	0.1548870316576591	0.1923509498451724	0.7618301365555817	50	5254	0.399418887538334
bagging_pu_rf	classical_biophysical	internal_candidate	False	True	True	0.3022967174429875	0.2220893173441984	0.4615833517507078	0.3341666666666666	0.3356631701631701	0.1452690015217167	0.1927179770138733	0.7618301365555817	50	5254	0.3746031506241492
