candidate_id	exact_peptide_train_overlap	exact_peptide_hla_train_overlap	near_peptide_train_overlap	source_protein_window_train_overlap	study_train_overlap	patient_train_overlap	public_tool_training_overlap_any	public_tool_training_overlap_detail	leakage_risk_level
CNV0_00000	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00001	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00002	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00003	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00004	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00005	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00006	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00007	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00008	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00009	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00010	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00011	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00012	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00013	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00014	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00015	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00016	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00017	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00018	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00019	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00020	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00021	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00022	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00023	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00024	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00025	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
