feature_set	model_name	protocol	n_features	folds_used	oof_available	n_rows	n_pos	auprc	auroc	brier	ece	top10_precision	top20_precision
reference_stress_guarded_final_review_score	reference_not_refit	clean_subset_reference_not_refit	1	0	410	410	35	0.6577355444364779	0.9367619047619047	0.07799236116803449	0.1687563173051361	0.9	0.7
reference_bma_v2_discovery_score	reference_not_refit	clean_subset_reference_not_refit	1	0	410	410	35	0.619771740125358	0.8916571428571428	0.1583956861271526	0.3281886538667212	0.8	0.65
reference_stress_guarded_discovery_score	reference_not_refit	clean_subset_reference_not_refit	1	0	410	410	35	0.5908310085274217	0.9142095238095238	0.10976083375761161	0.23383034278007445	0.7	0.8
reference_stress_guarded_clean_score	reference_not_refit	clean_subset_reference_not_refit	1	0	410	410	35	0.5467089632173481	0.8988190476190476	0.10933061173692993	0.235454900944707	0.7	0.8
reference_bma_v2_claim_safe_score	reference_not_refit	clean_subset_reference_not_refit	1	0	410	410	35	0.5323711655238242	0.8980571428571428	0.12134518369646534	0.25912495105860167	0.7	0.65
stress_plus_components	logistic_C1.0	hla_heldout_oof	5	5	410	410	35	0.6976047994449285	0.902552380952381	0.08915606230240126	0.16492978947800568	0.8	0.75
stress_plus_components	logistic_C0.3	hla_heldout_oof	5	5	410	410	35	0.6770635090651222	0.901104761904762	0.10242769764979268	0.191940936719538	0.8	0.7
stress_plus_bma_v2	logistic_C1.0	hla_heldout_oof	15	5	410	410	35	0.6685500425160202	0.8822857142857142	0.09302330434766536	0.15555167845744683	1.0	0.75
stress_plus_components	logistic_C0.1	hla_heldout_oof	5	5	410	410	35	0.6479633353626372	0.9036952380952381	0.12004824734974931	0.22836163443406612	0.9	0.7
stress_only	logistic_C0.03	hla_heldout_oof	1	5	410	410	35	0.6452346052872262	0.9187047619047619	0.1498065937415956	0.30205950209476096	0.8	0.7
stress_only	logistic_C0.1	hla_heldout_oof	1	5	410	410	35	0.6429065392734926	0.9121523809523809	0.12559100591077713	0.2368324772894671	0.8	0.7
stress_only	logistic_C1.0	hla_heldout_oof	1	5	410	410	35	0.6427578573016989	0.8983619047619048	0.11493169933871163	0.18509196869258576	0.8	0.7
stress_only	logistic_C0.3	hla_heldout_oof	1	5	410	410	35	0.6421569710254433	0.9046095238095238	0.11756723851445587	0.20199468789084765	0.8	0.7
stress_plus_components	logistic_C0.03	hla_heldout_oof	5	5	410	410	35	0.631795726711109	0.9062095238095237	0.1467219135592726	0.286255520740852	0.9	0.7
stress_plus_bma_v2	logistic_C0.3	hla_heldout_oof	15	5	410	410	35	0.628436454879045	0.8846476190476191	0.10231080267812821	0.18205841051416555	0.9	0.75
stress_plus_bma_v2	logistic_C0.03	hla_heldout_oof	15	5	410	410	35	0.6041014569468143	0.8896761904761905	0.14575676912320407	0.27856511863875844	0.9	0.75
stress_plus_bma_v2	logistic_C0.1	hla_heldout_oof	15	5	410	410	35	0.6012874551154335	0.8902095238095239	0.1168965075690764	0.2182438775714053	0.9	0.7
stress_plus_components	gb_depth2_lr003	hla_heldout_oof	5	5	410	410	35	0.5784116759746468	0.8711999999999999	0.048272564888149835	0.034216294910048996	0.8	0.8
bma_v2_gates	rf_depth3	hla_heldout_oof	10	5	410	410	35	0.544358401676052	0.8367238095238095	0.08847459031976287	0.11971113077684102	0.8	0.7
stress_plus_bma_v2	rf_depth3	hla_heldout_oof	15	5	410	410	35	0.5378965135043848	0.8690666666666667	0.08510681073617415	0.10930179653983567	0.6	0.6
stress_only	extra_depth3	hla_heldout_oof	1	5	410	410	35	0.5238078392570503	0.8908190476190475	0.12752676176122166	0.2644589632520695	0.3	0.5
stress_plus_bma_v2	extra_depth3	hla_heldout_oof	15	5	410	410	35	0.5157085521836546	0.8774095238095239	0.11634605668794805	0.22915280629529247	0.5	0.55
bma_v2_gates	extra_depth3	hla_heldout_oof	10	5	410	410	35	0.5069590265708146	0.8582095238095238	0.12108045726151674	0.2407131109584741	0.5	0.7
bma_v2_gates	logistic_C0.03	hla_heldout_oof	10	5	410	410	35	0.4893323515279197	0.8687238095238093	0.15743890395781238	0.2921412442506156	0.7	0.7
stress_plus_components	rf_depth3	hla_heldout_oof	5	5	410	410	35	0.4851639572093532	0.8707047619047619	0.09649938356322704	0.11187692584608686	0.6	0.6
stress_only	gb_depth2_lr003	hla_heldout_oof	1	5	410	410	35	0.4803586557733468	0.8699809523809523	0.05682272670227683	0.03351640190310595	0.7	0.4
stress_only	rf_depth3	hla_heldout_oof	1	5	410	410	35	0.4768875597158516	0.8890666666666666	0.10396891338615138	0.11218225644282541	0.5	0.5
bma_v2_gates	logistic_C1.0	hla_heldout_oof	10	5	410	410	35	0.47566667952748587	0.8409904761904761	0.1219046045254061	0.19511264090542274	0.6	0.7
bma_v2_gates	logistic_C0.1	hla_heldout_oof	10	5	410	410	35	0.4695220823686818	0.8584380952380952	0.13484861049632432	0.23891878768395763	0.6	0.7
bma_v2_gates	logistic_C0.3	hla_heldout_oof	10	5	410	410	35	0.4627760501606325	0.8506666666666666	0.12497202303459615	0.20963145041139133	0.6	0.7
stress_plus_components	extra_depth3	hla_heldout_oof	5	5	410	410	35	0.4599478798992287	0.8777142857142856	0.12302023791625047	0.2504537729778707	0.6	0.45
stress_plus_bma_v2	gb_depth2_lr003	hla_heldout_oof	15	5	410	410	35	0.4251534586797957	0.8399238095238095	0.05959809330009937	0.025776783454727968	0.4	0.55
bma_v2_gates	gb_depth2_lr003	hla_heldout_oof	10	5	410	410	35	0.38850703505061623	0.7713904761904762	0.06454103527605683	0.032335513604183234	0.3	0.55
stress_only	logistic_C0.03	source_heldout_oof	1	3	410	410	35	0.6060069865903688	0.9216	0.19664989246305217	0.35558688021714296	0.9	0.65
stress_only	logistic_C0.1	source_heldout_oof	1	3	410	410	35	0.6052391615515046	0.9209904761904761	0.165616325743167	0.27265866776765546	0.9	0.65
stress_only	logistic_C0.3	source_heldout_oof	1	3	410	410	35	0.6040113855116905	0.9203809523809523	0.15852048673767766	0.2257367242914174	0.9	0.65
stress_only	logistic_C1.0	source_heldout_oof	1	3	410	410	35	0.602727148842756	0.9196952380952381	0.15862516836163948	0.20390611955263221	0.9	0.65
stress_plus_components	logistic_C0.03	source_heldout_oof	5	3	410	410	35	0.550353331876327	0.9020952380952381	0.1368411759938976	0.2900205163711785	0.7	0.65
stress_plus_components	logistic_C0.1	source_heldout_oof	5	3	410	410	35	0.5491999222383324	0.8820571428571429	0.10860706678051171	0.22600113015965528	0.8	0.65
stress_plus_components	logistic_C0.3	source_heldout_oof	5	3	410	410	35	0.5445149791981004	0.8359619047619048	0.0923234462932879	0.19113198927720748	0.8	0.7
stress_plus_components	logistic_C1.0	source_heldout_oof	5	3	410	410	35	0.5444959199376472	0.8015238095238095	0.08029865827506338	0.16243032628631726	0.7	0.7
stress_plus_bma_v2	rf_depth3	source_heldout_oof	15	3	410	410	35	0.45177196147827264	0.8681142857142857	0.1093961739498353	0.20523497231801788	0.4	0.6
