control_id	purpose	anchor_task	boundary_state	linked_tasks
claim_safety_ledger	allowed vs forbidden claims side by side	t12-23	locked	1
bench_printouts	bench-readable files for the next run	t12-14	active	1
reviewer_response_matrix	slide-by-slide objection responses	t12-19	active	1
failure_registry	five false positives turned into action items	t12-20	active	1
task_splitter	break work into smaller, owner-tagged pieces	t12-06	active	1
qa_one_pagers	single-page QA checklists	t12-33	active	1
deck_cuts	editor / reviewer / lab deck variants	t12-52	active	1
control_lock	controls clearly labeled active vs locked	t12-54	locked	1
external_validation	prospective pilot queue	t12-27	active	1
mosaic_bundle	single screenshot bundle	t12-53	active	1
risk_sum_lock	confirmatory risk sum remains fixed	t12-43	locked	1
order_line_trace	114-line execution trace	t12-15	active	1
