control_id	purpose	anchor_task	boundary_state	linked_tasks
claim_lock	allowed vs forbidden claims	t13-04	locked	1
bench_printout	bench-readable handoff files	t13-06	active	1
reviewer_matrix	objection-response matrix	t13-10	active	1
task_graph	dependency graph and owner map	t13-12	active	1
failure_registry	failure-action registry	t13-20	active	1
control_manifest	active vs locked controls	t13-05	locked	1
mosaic_bundle	single-screenshot bundle	t13-13	active	1
timeline	sequencing chart	t13-15	active	1
external_pilot	prospective pilot queue	t13-27	active	1
qa_pack	do-not-overcall checklist	t13-33	active	1
scoreboard	score comparison board	t13-23	active	1
claim_boundary	what is not claimed	t13-30	locked	1
risk_sum_lock	confirmatory risk sum fixed	t13-24	locked	1
figure_index	file anchors for all visuals	t13-21	active	1
deck_cut	editor/reviewer/lab cuts	t13-22	active	1
task_split	task granularity expansion	t13-01	active	1
