algorithm	algorithm_family	claim_track	all_AUPRC	all_AUROC	all_top96_hits	all_top96_precision	frozen_validation_AUPRC	frozen_validation_AUROC	frozen_top24_hits	frozen_top24_precision	low_medium_leakage_AUPRC	low_medium_leakage_AUROC	low_medium_top96_hits	v6_smoke_AUPRC	v6_smoke_AUROC	paperability_reward	neo_stack_AUPRC	neo_stack_AUROC	neo_precision20	neo_precision34	neo_patient_hit_rate34	clean_track_allowed	claim_boundary_note	neo_strict_AUPRC	neo_strict_AUROC	neo_patient_hit_rate20	patients_evaluated	headline_score	primary_disposition
KG_GA_evolved	new_ga_controller	production/experiment-priority	0.93341075942711	0.9434278475756293	96.0	1.0	0.9777495232040688	0.9993490995877632	11.0	0.4583333333333333	0.7570781942485161	0.968962962962963	36.0	0.8115951285220365	0.5714285714285714	0.9222						False						0.8403443885959446	CHAMPION for retrospective + validation-like + low-leakage benchmark; freeze before prospective wetlab
CROSS_claimsafe	claim_safe_crossneo	claim-safe prioritization	0.8608946268157798	0.8635882721939496	96.0	1.0	0.846480282703193	0.991972228249078	10.0	0.4166666666666667	0.6168454121398345	0.9377037037037036	34.0	0.7880839546557361	0.5882352941176471	0.7498049312310984						False						0.739784603848775	Claim-safe fallback when GA/RL proxy/product features are too risky
CROSS_integrated	fixed_integrated_crossneo	production/experiment-priority	0.8784219386501787	0.8958675696211479	96.0	1.0	0.7138411132584275	0.946192232588414	8.0	0.3333333333333333	0.5727702239995741	0.9122962962962964	29.0	0.7904919353918902	0.5966386554621849	0.7027330120774835						False						0.6995656440203208	Fixed integrated comparator; strong but less novel than KG-GA
CROSS_BMA	bayesian_internal	claim-safe prioritization	0.8605251415850119	0.8596544122844219	89.0	0.9270833333333334	0.6597609480858024	0.8674332827077457	7.0	0.2916666666666667	0.6356557775807816	0.8945925925925926	31.0	0.7668044808767176	0.453781512605042	0.6125051025658728						False						0.6792248571620475	Comparator or component
CROSS_stress	stress_guarded_internal	claim-safe prioritization	0.871904663770583	0.8733886856799548	91.0	0.9479166666666666	0.6507890517584681	0.8769798220872206	7.0	0.2916666666666667	0.6005887057161617	0.9162222222222222	32.0	0.7769582844865125	0.5210084033613446	0.616370167721342						False						0.6756280595716473	Comparator or component
CROSS_finetuned	finetuned_internal	experiment-priority	0.8413705671155969	0.8628781453208935	84.0	0.875	0.6056252886437907	0.8791494901280105	7.0	0.2916666666666667	0.6689250389708387	0.9385925925925926	33.0	0.6811424234115911	0.4201680672268908	0.5696603404675521						False						0.6514366667471251	Comparator or component
BigMHC_IM	public_immunogenicity	external comparator + strict no-overlap production	0.6716093050912753	0.7222909708969466	84.0	0.875	0.3337050077519977	0.8277283575612931	6.0	0.25	0.3736554400436685	0.8826666666666667	32.0	0.6723249645394974	0.453781512605042	0.3403205649894172			0.8			False		0.7765189797012297	0.7323186302633502	1.0	1.0	0.5035063888194404	External public comparator/component, not CROSS-Neo claim engine
BigMHC_EL	public_presentation	external comparator	0.6477273415081799	0.719209981092734	70.0	0.7291666666666666	0.3075901462458979	0.7146886526361468	5.0	0.2083333333333333	0.3062364715389855	0.7457037037037038	23.0	0.8655989677980208	0.6638655462184875	0.3211						False						0.4527117317340858	External public comparator/component, not CROSS-Neo claim engine
BAR-Neo_confidence	production_reliability_ranker	strict no-overlap production																	0.9			False		0.8569028593475232	0.9799403632420712	1.0	1.0	0.0514141715608513	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
BAR-Neo	production_reliability_ranker	strict no-overlap production																	0.8			False		0.8253183819027167	0.9788560585524532	1.0	1.0	0.049519102914163	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
BAR-Neo_patient_gated	production_reliability_ranker	strict no-overlap production																	0.8			False		0.8203330028237179	0.9784042649317792	1.0	1.0	0.049219980169423	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
BAR-Neo-X	production_reliability_ranker	strict no-overlap production																	0.85			False		0.7996378644930076	0.9661154784494445	1.0	1.0	0.0479782718695804	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
BAR-Neo-X_claim_safe	production_reliability_ranker	strict no-overlap production																	0.85			False		0.7996378644930076	0.9661154784494445	1.0	1.0	0.0479782718695804	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
RF_biophys	neoimmune_stack_baseline	strict no-overlap production																	0.9			False		0.7519070984866539	0.6852226834508903	1.0	1.0	0.0451144259091992	Comparator or component
MHCflurry_2.0_presentation	neoimmune_stack_baseline	strict no-overlap production																	1.0			False		0.7258412375505164	0.6206976717812631	1.0	1.0	0.0435504742530309	Comparator or component
clean_contextual_bma	neoimmune_stack_baseline	strict no-overlap production																	0.75			False		0.6990908990120128	0.9322309568988884	1.0	1.0	0.0419454539407207	Comparator or component
prespecified_equal_weight_C_QK_no_anchor	neoimmune_stack_baseline	strict no-overlap production																	0.5			False		0.6304855001198064	0.793010752688172	1.0	1.0	0.0378291300071883	Comparator or component
KG_GA_evolved_controller	new_ga_controller	production/experiment-priority + strict no-overlap production															0.8772785287882303	0.9102999342079804	1.0	1.0	0.9146341463414634	False	GA controller includes public predictor/product-value components; use as production/experiment-priority branch only.	0.6240744847718823	0.8970862875818413	0.9146341463414634	82.0	0.0374444690863129	Production GA/RL branch in NeoImmune stack; strong but not clean-track allowed
Wave8_TCR_SelfSim_no_exact	clean_local_tcr	strict no-overlap clean																	0.65			True		0.6194896890082798	0.7053571428571428	1.0	1.0	0.0371693813404967	Clean local TCR baseline; useful ablation/control
Wave8_TCR_motif_only	clean_local_tcr	strict no-overlap clean																	0.7			True		0.604454717946366	0.7454004329004329	1.0	1.0	0.0362672830767819	Clean local TCR baseline; useful ablation/control
Wave8_TCR_SelfSim_full	clean_local_tcr	strict no-overlap clean																	0.7			True		0.5819938248536238	0.6810064935064934	1.0	1.0	0.0349196294912174	Clean local TCR baseline; useful ablation/control
