hypothesis	feature_group	n_features	mean_missing_rate	split_name	C_AUPRC	F_CROSS_all_AUPRC	delta_all_minus_C	C_top10	F_top10	stratum	n	mean_feature_variance	label_rate
feature_group_dimensionality	C_counterfactual	80.0	0.0										
feature_group_dimensionality	QK_fixed	5.0	0.6485451197053407										
feature_group_dimensionality	structure_geometry	21.0	0.8321669736034377										
feature_group_dimensionality	retrieval	9.0											
branch_noise_overwhelms_counterfactual				exact_peptide_hla_holdout	0.525436253778695	0.398818930312349	-0.12661732346634597	0.6	0.4				
branch_noise_overwhelms_counterfactual				hla_stratified_group_5fold	0.5054898858953569	0.3419912360013456	-0.1634986498940113	0.6	0.4				
branch_noise_overwhelms_counterfactual				hla_supertype_heldout	0.4778842216998835	0.3589694734979025	-0.118914748201981	0.5	0.2				
branch_noise_overwhelms_counterfactual				near_peptide_cluster_holdout	0.4419260852577136	0.3410788439965995	-0.1008472412611141	0.5	0.4				
branch_noise_overwhelms_counterfactual				repeated_stratified_5x5_internal	0.4073845927175117	0.3160613300508482	-0.09132326266666352	0.5	0.3				
branch_noise_overwhelms_counterfactual				study_heldout	0.711111111111111	0.6192857142857143	-0.0918253968253967	0.5555555555555556	0.5555555555555556				
feature_variance_by_study										CEDAR	909.0	0.04965556988909075	0.9361936193619362
feature_variance_by_study										ITSNdb_Val	120.0	1.3371311353664312	0.058333333333333334
feature_variance_by_study										ITSNdb_main	199.0	3.726013797600937	0.6482412060301508
feature_variance_by_study										NEPdb	572.0	0.09970701475177254	0.263986013986014
feature_variance_by_study										TESLA_mmc4	605.0	0.04016256026319111	0.06115702479338843
feature_variance_by_study										TESLA_mmc7_validation	310.0	0.044158815296804974	0.012903225806451613
feature_variance_by_hla_supertype										A01	260.0	2.9398363724197654	0.1346153846153846
feature_variance_by_hla_supertype										A02	701.0	4.474530149087554	0.38088445078459343
feature_variance_by_hla_supertype										A03	149.0	3.7370021814106247	0.35570469798657717
feature_variance_by_hla_supertype										A11	146.0	0.17759380582518508	0.2876712328767123
feature_variance_by_hla_supertype										A23	104.0	0.05389729929980294	0.14423076923076922
feature_variance_by_hla_supertype										A24	81.0	3.8883188782051477	0.49382716049382713
feature_variance_by_hla_supertype										A25	3.0	0.20399353530220174	0.3333333333333333
feature_variance_by_hla_supertype										A26	102.0	2.5668313254479136	0.00980392156862745
feature_variance_by_hla_supertype										A29	10.0	0.08859218705275987	0.8
feature_variance_by_hla_supertype										A30	15.0	0.08628465175023718	0.8
feature_variance_by_hla_supertype										A31	13.0	0.05983217504609836	1.0
feature_variance_by_hla_supertype										A32	7.0	0.02133352491790794	1.0
feature_variance_by_hla_supertype										A33	109.0	0.04889240973571139	1.0
feature_variance_by_hla_supertype										A34	7.0	0.04106132118563718	1.0
feature_variance_by_hla_supertype										A66	4.0	0.04349739489860961	1.0
feature_variance_by_hla_supertype										A68	58.0	0.04712164670360805	0.5
feature_variance_by_hla_supertype										A74	5.0	0.022209739109592962	1.0
feature_variance_by_hla_supertype										B07	64.0	2.6941247967658453	0.453125
feature_variance_by_hla_supertype										B08	113.0	0.07278066791498555	0.07079646017699115
feature_variance_by_hla_supertype										B13	7.0	0.05129155768503191	0.2857142857142857
feature_variance_by_hla_supertype										B14	19.0	0.07073677979324951	0.8421052631578947
feature_variance_by_hla_supertype										B15	89.0	0.06550400503096811	0.4157303370786517
feature_variance_by_hla_supertype										B18	13.0	0.13002126530981123	0.6923076923076923
feature_variance_by_hla_supertype										B27	98.0	2.214874523984145	0.5714285714285714
feature_variance_by_hla_supertype										B35	33.0	0.05025956171647372	0.9393939393939394
feature_variance_by_hla_supertype										B37	12.0	0.03143452005152839	1.0
feature_variance_by_hla_supertype										B38	31.0	0.08212512305283604	0.8064516129032258
feature_variance_by_hla_supertype										B40	67.0	0.03556671631157144	0.9402985074626866
feature_variance_by_hla_supertype										B41	6.0	0.04261217145869168	1.0
feature_variance_by_hla_supertype										B42	4.0	0.018823080288192223	1.0
feature_variance_by_hla_supertype										B44	117.0	0.039207155854986325	0.37606837606837606
feature_variance_by_hla_supertype										B45	16.0	0.03705547059190469	1.0
feature_variance_by_hla_supertype										B46	3.0	0.018935766039501634	1.0
feature_variance_by_hla_supertype										B49	18.0	0.022203362825971948	1.0
feature_variance_by_hla_supertype										B51	14.0	0.021820318669845372	1.0
feature_variance_by_hla_supertype										B52	7.0	0.12142015598245585	0.7142857142857143
feature_variance_by_hla_supertype										B53	6.0	0.027800744369090222	1.0
feature_variance_by_hla_supertype										B54	10.0	0.03986471266337191	1.0
feature_variance_by_hla_supertype										B55	4.0	0.06572757759088486	1.0
feature_variance_by_hla_supertype										B56	3.0	0.08443949184977265	0.6666666666666666
feature_variance_by_hla_supertype										B57	19.0	0.0302940144328414	0.631578947368421
feature_variance_by_hla_supertype										B58	6.0	0.07100330987166326	0.8333333333333334
feature_variance_by_hla_supertype										C01	3.0	0.09585108445147246	0.6666666666666666
feature_variance_by_hla_supertype										C02	7.0	0.12845044892949642	0.42857142857142855
feature_variance_by_hla_supertype										C03	15.0	0.14309889006787369	0.6666666666666666
feature_variance_by_hla_supertype										C04	5.0	0.030319815943203494	1.0
feature_variance_by_hla_supertype										C05	22.0	0.08530076579501672	0.5
feature_variance_by_hla_supertype										C06	17.0	0.09960362922619229	0.47058823529411764
feature_variance_by_hla_supertype										C07	26.0	0.12760988023717298	0.15384615384615385
feature_variance_by_hla_supertype										C08	11.0	0.07851440664205274	0.7272727272727273
feature_variance_by_hla_supertype										C12	24.0	0.11726890193889947	0.5833333333333334
feature_variance_by_hla_supertype										C14	11.0	0.04207695623490185	1.0
feature_variance_by_hla_supertype										C15	5.0	0.034683477037851705	1.0
feature_variance_by_hla_supertype										C16	8.0	0.08976542307914502	0.625
feature_variance_by_label										0	1536.0	3.8439176735922236	0.0
feature_variance_by_label										1	1179.0	2.9239929404598204	1.0
