split_name	fold_id	train_n	train_pos	decoy_n	features_n
repeated_stratified_5x5_internal	rs_00	71	16	64	210
repeated_stratified_5x5_internal	rs_01	71	17	68	210
repeated_stratified_5x5_internal	rs_02	71	17	68	210
repeated_stratified_5x5_internal	rs_03	71	17	68	210
repeated_stratified_5x5_internal	rs_04	72	17	68	210
repeated_stratified_5x5_internal	rs_05	71	16	64	210
repeated_stratified_5x5_internal	rs_06	71	17	68	210
repeated_stratified_5x5_internal	rs_07	71	17	68	210
repeated_stratified_5x5_internal	rs_08	71	17	68	210
repeated_stratified_5x5_internal	rs_09	72	17	68	210
repeated_stratified_5x5_internal	rs_10	71	16	64	210
repeated_stratified_5x5_internal	rs_11	71	17	68	210
repeated_stratified_5x5_internal	rs_12	71	17	68	210
repeated_stratified_5x5_internal	rs_13	71	17	68	210
repeated_stratified_5x5_internal	rs_14	72	17	68	210
repeated_stratified_5x5_internal	rs_15	71	16	64	210
repeated_stratified_5x5_internal	rs_16	71	17	68	210
repeated_stratified_5x5_internal	rs_17	71	17	68	210
repeated_stratified_5x5_internal	rs_18	71	17	68	210
repeated_stratified_5x5_internal	rs_19	72	17	68	210
repeated_stratified_5x5_internal	rs_20	71	16	64	210
repeated_stratified_5x5_internal	rs_21	71	17	68	210
repeated_stratified_5x5_internal	rs_22	71	17	68	210
repeated_stratified_5x5_internal	rs_23	71	17	68	210
repeated_stratified_5x5_internal	rs_24	72	17	68	210
hla_stratified_group_5fold	hla_00	70	19	76	210
hla_stratified_group_5fold	hla_01	56	11	44	210
hla_stratified_group_5fold	hla_02	73	19	76	210
hla_stratified_group_5fold	hla_03	79	17	68	210
hla_stratified_group_5fold	hla_04	78	18	72	210
hla_supertype_heldout	super_00	84	19	76	210
hla_supertype_heldout	super_01	56	11	44	210
hla_supertype_heldout	super_02	74	20	80	210
hla_supertype_heldout	super_09	70	19	76	210
near_peptide_cluster_holdout	near_00	71	17	68	210
near_peptide_cluster_holdout	near_01	70	16	64	210
near_peptide_cluster_holdout	near_02	72	17	68	210
near_peptide_cluster_holdout	near_03	72	17	68	210
near_peptide_cluster_holdout	near_04	71	17	68	210
exact_peptide_hla_holdout	pmhc_00	71	17	68	210
exact_peptide_hla_holdout	pmhc_01	71	17	68	210
exact_peptide_hla_holdout	pmhc_02	71	16	64	210
exact_peptide_hla_holdout	pmhc_03	72	17	68	210
exact_peptide_hla_holdout	pmhc_04	71	17	68	210
study_heldout	study_00	80	16	64	210
