family	model	split_name	AUPRC_ci_low	AUPRC_ci_high	top10_ci_low	top10_ci_high
v1_source_bias_corrected	source_balanced_plus_pu_rf	source_heldout_CEDAR	0.9175450367295002	0.958510982339337	1.0	1.0
v1_source_bias_corrected	source_balanced_plus_pu_rf_train_prior_calibrated	source_heldout_CEDAR	0.9175450367295002	0.958510982339337	1.0	1.0
v1_source_bias_corrected	pu_weighted_rf	source_heldout_CEDAR	0.9130219268327319	0.9559262999962252	0.8	1.0
v1_source_bias_corrected	pu_weighted_rf_train_prior_calibrated	source_heldout_CEDAR	0.9130219268327319	0.9559262999962252	0.8	1.0
v1_decoy_focal	decoy_focal_positive_pattern	source_heldout_CEDAR	0.9087452677298767	0.9565766575506736	0.6	1.0
v1_source_bias_corrected	source_balanced_rf	source_heldout_CEDAR	0.9110512717852652	0.9509531285125605	1.0	1.0
v1_source_bias_corrected	source_balanced_rf_train_prior_calibrated	source_heldout_CEDAR	0.9110512717852652	0.9509531285125605	1.0	1.0
v1_hard_decoy_focal	hard_decoy_sequence_only_source_stress	source_heldout_CEDAR	0.9088544610188863	0.9516602360707275	0.6	1.0
v1_pu_ranking	positive_only_centroid	study_heldout	0.36539682539682544	1.0	0.2222222222222222	0.8888888888888888
v1_hard_decoy_focal	hard_decoy_nested_meta_C_QK_aux	study_heldout	0.35690476190476195	1.0	0.2222222222222222	0.8888888888888888
v1_pu_ranking	pu_logistic_weighted	study_heldout	0.3111111111111111	1.0	0.2222222222222222	0.8888888888888888
v0_reference	v0_C_counterfactual_RF	study_heldout	0.2777777777777778	0.9672619047619045	0.2222222222222222	0.8888888888888888
v1_decoy_focal	decoy_focal_positive_pattern	study_heldout	0.38333333333333336	1.0	0.2222222222222222	0.8888888888888888
v1_pu_ranking	pairwise_positive_over_unlabeled	study_heldout	0.2833333333333333	0.9833333333333332	0.2222222222222222	0.8888888888888888
v0_reference	v0_Structure_baseline_RF	study_heldout	0.27142857142857146	1.0	0.2222222222222222	0.8888888888888888
v1_gated_moe	rule_gated_C_QK_structure	exact_peptide_hla_holdout	0.4627164549867192	0.8202018787485037	0.4	1.0
v1_gated_moe	stacked_calibrated_meta_model_lowdim_only	study_heldout	0.2373015873015873	0.9484126984126984	0.2222222222222222	0.8888888888888888
v1_gated_moe	nested_learned_gate_C_QK_structure	hla_supertype_heldout	0.39619080000195056	0.7985013277123807	0.2	0.8775000000000006
v1_gated_moe	nested_learned_gate_C_QK_structure	exact_peptide_hla_holdout	0.4187752609755044	0.8171970631361228	0.5	1.0
v1_pu_ranking	bagging_pu_rf	study_heldout	0.22619047619047616	0.9622222222222219	0.2222222222222222	0.8888888888888888
v0_reference	v0_fixed_late_fusion_C_QK_quantum	study_heldout	0.21333333333333332	0.9291666666666666	0.2222222222222222	0.8888888888888888
v1_gated_moe	prespecified_equal_weight_C_QK_no_anchor	exact_peptide_hla_holdout	0.4069727891221008	0.7930717499016162	0.4	1.0
v0_reference	v0_fixed_late_fusion_C_QK_no_anchor	exact_peptide_hla_holdout	0.3865859431913789	0.7719083532487115	0.3	1.0
v1_hard_decoy_focal	hard_decoy_rule_aux_C_QK_no_anchor	exact_peptide_hla_holdout	0.3865859431913789	0.7719083532487115	0.3	1.0
v1_gated_moe	prespecified_C_0.5_QK_quantum_0.5	study_heldout	0.18253968253968253	0.9114285714285714	0.2222222222222222	0.8888888888888888
v1_gated_moe	nested_learned_gate_C_QK_structure	study_heldout	0.1736111111111111	0.9087003968253966	0.2222222222222222	0.8888888888888888
v1_gated_moe	prespecified_equal_weight_C_QK_no_anchor	study_heldout	0.1736111111111111	0.9087003968253966	0.2222222222222222	0.8888888888888888
v1_gated_moe	rule_gated_C_QK_structure	study_heldout	0.1736111111111111	0.9087003968253966	0.2222222222222222	0.8888888888888888
v1_gated_moe	rule_gated_C_QK_structure	repeated_stratified_5x5_internal	0.4701054778038327	0.6545036672764922	0.7225	1.0
v1_gated_moe	prespecified_equal_weight_C_QK_no_anchor	repeated_stratified_5x5_internal	0.4583879969108984	0.6494679397696592	0.6	1.0
v1_pu_ranking	pu_logistic_weighted	exact_peptide_hla_holdout	0.3615016356936713	0.7297180992048932	0.3	1.0
v1_hard_decoy_focal	hard_decoy_nested_meta_C_QK_aux	near_peptide_cluster_holdout	0.3346553592728786	0.7290592056667492	0.3	1.0
v1_gated_moe	rule_gated_C_QK_structure	hla_supertype_heldout	0.32371252333457323	0.777839420383538	0.2	0.9
v1_gated_moe	prespecified_equal_weight_C_QK_no_anchor	hla_stratified_group_5fold	0.360699982053027	0.7260386355533651	0.2	0.9
v1_hard_decoy_focal	hard_decoy_nested_meta_C_QK_aux	exact_peptide_hla_holdout	0.3242763640159424	0.7426556906267642	0.3	0.9
v1_gated_moe	rule_gated_C_QK_structure	hla_stratified_group_5fold	0.3349398096088219	0.7276688110659545	0.2	0.9
v0_reference	v0_C_counterfactual_RF	exact_peptide_hla_holdout	0.3304294957354113	0.7605109446087839	0.3	1.0
v0_reference	v0_fixed_late_fusion_C_QK_no_anchor	hla_stratified_group_5fold	0.30570136103153467	0.7001766011157475	0.3	0.8
v1_hard_decoy_focal	hard_decoy_rule_aux_C_QK_no_anchor	hla_stratified_group_5fold	0.30556486107208586	0.6995621719402719	0.3	0.8
v1_pu_ranking	bagging_pu_rf	hla_supertype_heldout	0.29638517093169564	0.7515661907575959	0.2	0.8
v1_pu_ranking	bagging_pu_rf	hla_stratified_group_5fold	0.30601597058609753	0.7341819293246579	0.2	0.9
