split_name	fold_id	row_id	role
study_heldout	study_00	CNV0_02452	train
study_heldout	study_00	CNV0_02450	train
study_heldout	study_00	CNV0_02581	train
study_heldout	study_00	CNV0_02544	train
study_heldout	study_00	CNV0_02579	train
study_heldout	study_00	CNV0_02592	train
study_heldout	study_00	CNV0_02553	train
study_heldout	study_00	CNV0_02580	train
study_heldout	study_00	CNV0_02582	train
study_heldout	study_00	CNV0_02518	train
study_heldout	study_00	CNV0_02577	train
study_heldout	study_00	CNV0_02565	train
study_heldout	study_00	CNV0_02594	train
study_heldout	study_00	CNV0_02555	train
study_heldout	study_00	CNV0_02536	train
study_heldout	study_00	CNV0_02520	train
study_heldout	study_00	CNV0_02550	train
study_heldout	study_00	CNV0_02588	train
study_heldout	study_00	CNV0_02458	train
study_heldout	study_00	CNV0_02460	train
study_heldout	study_00	CNV0_02567	train
study_heldout	study_00	CNV0_02421	train
study_heldout	study_00	CNV0_02414	train
study_heldout	study_00	CNV0_02575	train
study_heldout	study_00	CNV0_02570	train
study_heldout	study_00	CNV0_02590	train
study_heldout	study_00	CNV0_02538	train
study_heldout	study_00	CNV0_02578	train
study_heldout	study_00	CNV0_02543	train
study_heldout	study_00	CNV0_02453	train
study_heldout	study_00	CNV0_02515	train
study_heldout	study_00	CNV0_02512	train
study_heldout	study_00	CNV0_02405	train
study_heldout	study_00	CNV0_02516	train
study_heldout	study_00	CNV0_02573	train
study_heldout	study_00	CNV0_02415	train
study_heldout	study_00	CNV0_02584	train
study_heldout	study_00	CNV0_02448	train
study_heldout	study_00	CNV0_02537	train
study_heldout	study_00	CNV0_02513	train
study_heldout	study_00	CNV0_02517	train
study_heldout	study_00	CNV0_02574	train
study_heldout	study_00	CNV0_02563	train
study_heldout	study_00	CNV0_02564	train
study_heldout	study_00	CNV0_02412	train
study_heldout	study_00	CNV0_02557	train
study_heldout	study_00	CNV0_02591	train
study_heldout	study_00	CNV0_02586	train
study_heldout	study_00	CNV0_02561	train
study_heldout	study_00	CNV0_02556	train
study_heldout	study_00	CNV0_02511	train
study_heldout	study_00	CNV0_02562	train
study_heldout	study_00	CNV0_02593	train
study_heldout	study_00	CNV0_02571	train
study_heldout	study_00	CNV0_02478	train
study_heldout	study_00	CNV0_02551	train
study_heldout	study_00	CNV0_02477	train
study_heldout	study_00	CNV0_02411	train
study_heldout	study_00	CNV0_02587	train
study_heldout	study_00	CNV0_02559	train
study_heldout	study_00	CNV0_02568	train
study_heldout	study_00	CNV0_02398	train
study_heldout	study_00	CNV0_02583	train
study_heldout	study_00	CNV0_02424	train
study_heldout	study_00	CNV0_02396	train
study_heldout	study_00	CNV0_02413	train
study_heldout	study_00	CNV0_02416	train
study_heldout	study_00	CNV0_02419	train
study_heldout	study_00	CNV0_02418	train
study_heldout	study_00	CNV0_02572	train
study_heldout	study_00	CNV0_02585	train
study_heldout	study_00	CNV0_02545	train
study_heldout	study_00	CNV0_02442	train
study_heldout	study_00	CNV0_02401	train
study_heldout	study_00	CNV0_02589	train
study_heldout	study_00	CNV0_02569	train
study_heldout	study_00	CNV0_02479	train
study_heldout	study_00	CNV0_02425	train
study_heldout	study_00	CNV0_02514	train
study_heldout	study_00	CNV0_02510	train
study_heldout	study_00	CNV0_02712	test
study_heldout	study_00	CNV0_02710	test
study_heldout	study_00	CNV0_02709	test
study_heldout	study_00	CNV0_02708	test
study_heldout	study_00	CNV0_02713	test
study_heldout	study_00	CNV0_02655	test
study_heldout	study_00	CNV0_02685	test
study_heldout	study_00	CNV0_02660	test
study_heldout	study_00	CNV0_02681	test
study_heldout	study_01	CNV0_02712	train
study_heldout	study_01	CNV0_02710	train
study_heldout	study_01	CNV0_02709	train
study_heldout	study_01	CNV0_02708	train
study_heldout	study_01	CNV0_02713	train
study_heldout	study_01	CNV0_02655	train
study_heldout	study_01	CNV0_02685	train
study_heldout	study_01	CNV0_02660	train
study_heldout	study_01	CNV0_02681	train
study_heldout	study_01	CNV0_02581	test
study_heldout	study_01	CNV0_02544	test
study_heldout	study_01	CNV0_02592	test
study_heldout	study_01	CNV0_02582	test
study_heldout	study_01	CNV0_02536	test
study_heldout	study_01	CNV0_02458	test
study_heldout	study_01	CNV0_02567	test
study_heldout	study_01	CNV0_02590	test
study_heldout	study_01	CNV0_02578	test
study_heldout	study_01	CNV0_02415	test
study_heldout	study_01	CNV0_02591	test
study_heldout	study_01	CNV0_02556	test
study_heldout	study_01	CNV0_02511	test
study_heldout	study_01	CNV0_02478	test
study_heldout	study_01	CNV0_02551	test
study_heldout	study_01	CNV0_02411	test
study_heldout	study_01	CNV0_02587	test
study_heldout	study_01	CNV0_02568	test
study_heldout	study_01	CNV0_02396	test
study_heldout	study_01	CNV0_02416	test
study_heldout	study_01	CNV0_02419	test
study_heldout	study_01	CNV0_02401	test
study_heldout	study_01	CNV0_02425	test
study_heldout	study_01	CNV0_02514	test
study_heldout	study_01	CNV0_02510	test
study_heldout	study_01	CNV0_02452	test
study_heldout	study_01	CNV0_02450	test
study_heldout	study_01	CNV0_02579	test
study_heldout	study_01	CNV0_02553	test
study_heldout	study_01	CNV0_02580	test
study_heldout	study_01	CNV0_02518	test
study_heldout	study_01	CNV0_02577	test
study_heldout	study_01	CNV0_02565	test
study_heldout	study_01	CNV0_02594	test
study_heldout	study_01	CNV0_02555	test
study_heldout	study_01	CNV0_02520	test
study_heldout	study_01	CNV0_02550	test
study_heldout	study_01	CNV0_02588	test
study_heldout	study_01	CNV0_02460	test
study_heldout	study_01	CNV0_02421	test
study_heldout	study_01	CNV0_02414	test
study_heldout	study_01	CNV0_02575	test
study_heldout	study_01	CNV0_02570	test
study_heldout	study_01	CNV0_02538	test
study_heldout	study_01	CNV0_02543	test
study_heldout	study_01	CNV0_02453	test
study_heldout	study_01	CNV0_02515	test
study_heldout	study_01	CNV0_02512	test
study_heldout	study_01	CNV0_02405	test
study_heldout	study_01	CNV0_02516	test
study_heldout	study_01	CNV0_02573	test
study_heldout	study_01	CNV0_02584	test
study_heldout	study_01	CNV0_02448	test
study_heldout	study_01	CNV0_02537	test
study_heldout	study_01	CNV0_02513	test
study_heldout	study_01	CNV0_02517	test
study_heldout	study_01	CNV0_02574	test
study_heldout	study_01	CNV0_02563	test
study_heldout	study_01	CNV0_02564	test
study_heldout	study_01	CNV0_02412	test
study_heldout	study_01	CNV0_02557	test
study_heldout	study_01	CNV0_02586	test
study_heldout	study_01	CNV0_02561	test
study_heldout	study_01	CNV0_02562	test
study_heldout	study_01	CNV0_02593	test
study_heldout	study_01	CNV0_02571	test
study_heldout	study_01	CNV0_02477	test
study_heldout	study_01	CNV0_02559	test
study_heldout	study_01	CNV0_02398	test
study_heldout	study_01	CNV0_02583	test
study_heldout	study_01	CNV0_02424	test
study_heldout	study_01	CNV0_02413	test
study_heldout	study_01	CNV0_02418	test
study_heldout	study_01	CNV0_02572	test
study_heldout	study_01	CNV0_02585	test
study_heldout	study_01	CNV0_02545	test
study_heldout	study_01	CNV0_02442	test
study_heldout	study_01	CNV0_02589	test
study_heldout	study_01	CNV0_02569	test
study_heldout	study_01	CNV0_02479	test
