#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
20	0.010000000000000005	-83126.97359093733	2.715565600966876	0
40	0.020000000000000014	-83373.08204144116	5.412023174077981	0.243
60	0.030000000000000023	-83707.31853382612	8.782770586197191	0.244
80	0.04000000000000003	-84027.20867477883	11.964868178806867	0.243
100	0.05000000000000004	-84347.06407014445	15.131866973533594	0.249
120	0.060000000000000046	-84639.93026103723	17.979648790069856	0.256
140	0.07000000000000005	-84917.24577345501	20.655385790621757	0.26
160	0.08000000000000006	-85243.5625034512	23.659915092526077	0.263
180	0.09000000000000007	-85835.8254893045	28.58234873684654	0.265
200	0.10000000000000007	-86091.92133336	30.958548100066608	0.267
