column	missing_n	missing_frac
row_id	0	0.0
source_dataset	0	0.0
study_id	61952	0.11523423694891168
assay_type	355	0.0006603201529710687
species	556	0.001034191563526519
disease_context	182062	0.3386456554654048
cancer_type	465768	0.8663549211521936
antigen_source	68638	0.12767057650599498
peptide	31053	0.05776034284566365
peptide_length	31053	0.05776034284566365
hla_raw	123884	0.2304312727624447
hla_4digit	123884	0.2304312727624447
mhc_class	130866	0.24341818912313204
mhc_gene	133177	0.24771678031613525
tcr_alpha_v	465809	0.8664311834797198
tcr_alpha_j	466388	0.8675081563489317
cdr3_alpha	464156	0.8633565096406742
tcr_beta_v	425759	0.7919359098839697
tcr_beta_j	438258	0.815184759438858
cdr3_beta	424008	0.7886789504815687
paired_tcr_available	0	0.0
clone_count	126556	0.23540134444903257
clone_frequency	462799	0.8608324126052327
binding_label_raw	0	0.0
binding_label_binary	0	0.0
activation_label	174009	0.32366661830519067
tetramer_label	428338	0.7967329962910468
cytokine_label	291699	0.542576699440867
structure_pdb_id	536719	0.9983278089647296
train_test_original	537618	1.0
public_overlap_flags	0	0.0
