	TLS_score	group
NG_10	-0.8762143811991786	PTC
NG_11	-0.9127206705143914	PTC
NG_12	-0.9448220021747776	PTC
NG_16	-0.9165415506179978	PTC
NG_18	-1.023344789951483	PTC
NG_21	-0.7268687786825437	PTC
NG_22	-1.0261449284654467	PTC
NG_32	-0.8087878722793148	PTC
NG_35	0.36855402370509793	PTC
TH_1	1.178911486878562	PTC_HT
TH_14	1.1787730022069802	PTC_HT
TH_2	1.0525105286824399	PTC_HT
TH_20	0.9682954399492125	PTC_HT
TH_29	1.2717546443587047	PTC_HT
TH_31	-0.05731849571463201	PTC_HT
TH_4	-0.171801845847276	PTC_HT
TH_8	1.118084461160207	PTC_HT
TH_9	0.3276817285058368	PTC_HT
