gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
LRRK2-DT	-4.248286879483764	-3.319796708039444	4.49387881657277e-44	2.323829674837945e-39
LINC02555	-4.69768478275308	-2.9200886192726547	1.0844440799668538e-38	2.8038843909582986e-34
LINC02471	-3.597281281856688	-2.903779283438764	4.570935724852026e-38	7.878921908927437e-34
AC063926.3	-3.6845643947788584	-2.85329710128814	9.217450930573687e-38	1.1916090126772399e-33
LRRK2	-4.965487373321435	-2.9765819848706143	5.033185974743673e-37	5.205421598799402e-33
ZCCHC12	-6.138886065408756	-2.73433279260634	4.135367146595246e-36	3.5640661752931125e-32
TENM1	-4.702659827670042	-3.0108757237293844	1.0320376453772018e-35	7.623956954300068e-32
PAFAH1B2P2	-3.090855426838437	-2.5483858823628927	4.936537306496328e-33	3.1909160082028955e-29
SLIT1	-4.593854683540947	-2.6775671507760976	1.4141598635722653e-32	8.125291189465046e-29
CC2D2B	-2.2154151930428956	-2.443786405396881	5.73156596639456e-31	2.9638500768822913e-27
FRMD3	-3.437740820476191	-2.933510192251667	8.290911046091442e-31	3.897557282767587e-27
TMEM215	-4.455365141170773	-2.3106049442155374	2.7910001981811107e-30	1.202711760401195e-26
NTRK3	-2.6155405497516435	-2.2711265656092197	1.1076973262753601e-29	4.406164341463473e-26
LRP4	-3.117050289933621	-2.325469103669949	2.438079458414366e-29	9.005394776718948e-26
PRR15	-3.810340754149847	-2.1970883162544186	2.0912592887533914e-28	7.107021489580661e-25
STK32A-AS1	-1.3312461957538702	-2.3532683406807995	2.1989971927305714e-28	7.107021489580661e-25
PIWIL1	-3.7635891648860476	-2.4317332987134015	2.1595709972387097e-27	6.569033872835936e-24
PCSK2	-6.447969486281023	-2.7642705375429024	6.038625643198679e-27	1.7347965035302604e-23
ECM1	-4.266414975172323	-2.081782838520828	8.182136126498733e-27	2.2268760065125054e-23
LIPH	-3.301844512065732	-2.2920376569474987	1.058601737958309e-26	2.6386476260296812e-23
SERGEF	-1.8468354943882375	-2.111752487729933	1.071563113198803e-26	2.6386476260296812e-23
ADAMTS9	-2.215191412020915	-2.220812947643001	1.7044494390231308e-26	4.0063084064238694e-23
AC099661.1	-0.8304036084980349	-2.0455294061053952	5.420641865399748e-26	1.2187252673986363e-22
GOLT1A	-2.100174440990944	-2.2523781270682797	8.922053678788187e-26	1.9223679907658994e-22
GALE	-1.9448872645271007	-1.955928595856266	1.319838420282144e-24	2.730006582048398e-21
LINC02454	-1.1572962214379683	-1.921598472890138	3.2651625926033218e-24	6.494031647158091e-21
AC078864.1	-1.1700099199558809	-1.9213856944437124	3.617574494807484e-24	6.928459062999622e-21
AL713852.1	-0.9688275447994041	-1.928328319968808	6.5963623671024064e-24	1.2182303370186877e-20
LINC01878	-1.0964409415085512	-1.878698853193316	1.5509357102732025e-23	2.7655322935840546e-20
LINC02785	-0.9368043029214304	-1.8699952101680268	1.869915107618867e-23	3.223172671002641e-20
HDAC9	-2.040379628307122	-2.049226801506774	2.1855759526668527e-23	3.645752196398568e-20
GALNT7	-1.551412326000591	-2.0366081651214554	2.3841458747598936e-23	3.852705229053402e-20
TPH1	-1.1011485782898272	-1.8637297817814764	3.049687008839741e-23	4.7788595428518736e-20
DUSP4	-1.9096612589930766	-2.135118600864235	4.285701191222128e-23	6.518173361743749e-20
VAMP1	-1.5510362115269327	-1.9900617277678008	5.0831946787611595e-23	7.510202286669095e-20
STK32A	-2.3408310185103254	-2.3440767222219856	1.207995469108586e-22	1.7351848250853915e-19
HMGA2	-3.2037082242844273	-2.0840133553109137	1.4572237043312198e-22	2.0017783725169145e-19
GLT1D1	-2.5298964265404305	-2.6408760320091607	1.4710134817667952e-22	2.0017783725169145e-19
AC084262.2	-0.4127641830164303	-1.794959178043515	4.008535703403245e-22	5.249146269934126e-19
ENTPD1	-2.0456519177264303	-2.2806483416085785	4.060371116345942e-22	5.249146269934126e-19
AL158212.5	-0.8299438514383308	-1.8334214706926966	4.615447340052314e-22	5.821204814669395e-19
DPYSL3	-2.6932899835373183	-2.1744348739568524	6.1963432185839895e-22	7.546515603567915e-19
RIMBP2	-2.106285860337695	-2.205347375927942	6.275263888793881e-22	7.546515603567915e-19
