	subB_score	subB_GMM	subB_otsu_call
GSM6590734	0.9961729867463769	1	1
GSM6590735	0.6011223369461525	1	1
GSM6590736	0.8550885865227924	1	1
GSM6590737	1.20003280558983	1	1
GSM6590738	1.3502697861984472	1	1
GSM6590739	1.4197633789761765	1	1
GSM6590740	0.6239076808651021	1	1
GSM6590741	1.2504533634903505	1	1
GSM6590742	0.9003496461567764	1	1
GSM6590743	1.0772946064895454	1	1
GSM6590744	0.6467514258452096	1	1
GSM6590745	1.285813017720602	1	1
GSM6590746	0.7911491315771306	1	1
GSM6590747	0.8139976592250833	1	1
GSM6590748	1.2501918375506653	1	1
GSM6590749	0.38340593912013554	1	1
GSM6590750	0.7746106907829786	1	1
GSM6590751	1.1551101565597424	1	1
GSM6590752	1.0054160553171343	1	1
GSM6590753	0.9158819228620446	1	1
GSM6590754	1.3408968443291076	1	1
GSM6590755	1.5458756001471214	1	1
GSM6590756	1.0886914564285015	1	1
GSM6590757	1.2842644738269693	1	1
GSM6590758	1.490783612825426	1	1
GSM6590759	1.2559951028565433	1	1
GSM6590760	1.1216928510403772	1	1
GSM6590761	1.0412942113602757	1	1
GSM6590762	1.0299689801793672	1	1
GSM6590763	1.2015140890321052	1	1
GSM6590764	1.4591940003706936	1	1
GSM6590765	1.239299232682432	1	1
GSM6590766	1.2545133039960785	1	1
GSM6590767	0.8326765231826596	1	1
GSM6590768	1.2696119172992941	1	1
GSM6590769	1.3283972855076893	1	1
GSM6590770	1.4287725353354659	1	1
GSM6590771	1.156885474870485	1	1
GSM6590772	1.2743042812155836	1	1
GSM6590773	1.4760633234667508	1	1
GSM6590774	1.1960459734846989	1	1
GSM6590775	0.792412502987804	1	1
GSM6590776	1.2363312899075316	1	1
GSM6590777	1.3571735186332903	1	1
GSM6590778	0.8355430556154237	1	1
GSM6590779	1.1774796838520722	1	1
GSM6590780	1.5042659008352202	1	1
GSM6590781	1.2843736309754354	1	1
GSM6590782	1.1947542699483937	1	1
GSM6590783	1.24672769435572	1	1
GSM6590784	1.3162085514214015	1	1
GSM6590785	0.16582270035123425	0	1
GSM6590786	1.0217586620580008	1	1
GSM6590787	1.2065067497825726	1	1
GSM6590788	0.8971682231121652	1	1
GSM6590789	0.9520003522623568	1	1
GSM6590790	0.8672083223772578	1	1
GSM6590791	1.084927169891318	1	1
GSM6590792	1.127103629380641	1	1
GSM6590793	1.0727853746717138	1	1
GSM6590794	0.6439467009457858	1	1
GSM6590795	0.7773741222558344	1	1
GSM6590796	0.8470533854798101	1	1
GSM6590797	1.1293250778269837	1	1
GSM6590798	0.9565427356247342	1	1
GSM6590799	0.8593893802119359	1	1
GSM6590800	1.1669995468208572	1	1
GSM6590801	0.6696911354128885	1	1
GSM6590802	0.6727015009673692	1	1
GSM6590803	0.6226048666989262	1	1
GSM6590804	1.023399031634412	1	1
GSM6590805	-1.2160634978666673	0	0
GSM6590806	0.9976734460871532	1	1
GSM6590807	1.000080006106454	1	1
GSM6590808	0.8972892148130625	1	1
GSM6590809	0.8493460546064417	1	1
GSM6590810	0.9703452833419757	1	1
GSM6590811	0.667931781913424	1	1
GSM6590812	1.0686809816727167	1	1
GSM6590813	-1.1084102133557567	0	0
GSM6590814	1.0898763592724556	1	1
GSM6590815	1.3063355207398004	1	1
GSM6590816	1.1840115775595286	1	1
GSM6590817	0.8963135997992817	1	1
GSM6590818	0.1153892383717014	0	1
GSM6590819	1.2549106316606056	1	1
GSM6590820	1.3265452978612382	1	1
GSM6590821	1.130892414541737	1	1
GSM6590822	1.1263076326409167	1	1
GSM6590823	0.9720835758245705	1	1
GSM6590824	1.1940703825224337	1	1
GSM6590825	1.126650392961082	1	1
GSM6590826	0.9206887686234142	1	1
GSM6590827	0.399831836448411	1	1
GSM6590828	1.015369847006871	1	1
GSM6590829	0.9189424498990838	1	1
GSM6590830	-0.17904421299058504	0	0
GSM6590831	0.9951695281913295	1	1
GSM6590832	0.44007081146022553	1	1
GSM6590833	1.0377815967442958	1	1
GSM6590834	0.03862265562533235	0	1
GSM6590835	0.974045460792452	1	1
GSM6590836	0.7550524895255519	1	1
GSM6590837	0.7685484994731457	1	1
GSM6590838	0.7023464589598905	1	1
GSM6590839	1.2417308489736898	1	1
GSM6590840	1.0275437515358272	1	1
GSM6590841	1.3300494081208294	1	1
GSM6590842	1.040033864126853	1	1
GSM6590843	1.4763000071605585	1	1
GSM6590844	1.2654043446555394	1	1
GSM6590845	1.0494017818421362	1	1
GSM6590846	1.1838787266153223	1	1
GSM6590847	1.1837155428391144	1	1
GSM6590848	1.2540151052017328	1	1
GSM6590849	1.0844501688350419	1	1
GSM6590850	0.73874916022465	1	1
GSM6590851	1.1179472673859439	1	1
GSM6590852	0.5090240562481378	1	1
GSM6590853	0.40498934700948436	1	1
GSM6590854	0.8882255448773435	1	1
GSM6590855	0.4624757890194212	1	1
GSM6590856	1.146372085751083	1	1
GSM6590857	1.0734785863831637	1	1
GSM6590858	0.9075947805481034	1	1
GSM6590859	0.9642622667032037	1	1
GSM6590860	0.8170824306461062	1	1
GSM6590861	0.33743783957164686	1	1
GSM6590862	1.2884552494350092	1	1
GSM6590863	0.8682080155103473	1	1
GSM6590864	0.6440761556980555	1	1
GSM6590865	0.9794295403040021	1	1
GSM6590866	1.1725181348780969	1	1
GSM6590867	1.0858216336114441	1	1
GSM6590868	1.2847460052554496	1	1
GSM6590869	1.2776447139930576	1	1
GSM6590870	1.0667728514433603	1	1
GSM6590871	1.1353708043988986	1	1
GSM6590872	-0.21922291485313117	0	0
GSM6590873	1.3263393261877412	1	1
GSM6590874	0.9839055554346339	1	1
GSM6590875	1.27342845690394	1	1
GSM6590876	0.17489641840145945	0	1
GSM6590877	0.644963642556947	1	1
GSM6590878	0.871011166964031	1	1
GSM6590879	1.2110354494788045	1	1
GSM6590880	1.2285060304973612	1	1
GSM6590881	1.08162725029617	1	1
GSM6590882	0.5831343300146231	1	1
GSM6590883	0.8124824100459304	1	1
GSM6590884	1.1920187103416044	1	1
GSM6590885	1.0751110655596194	1	1
GSM6590886	0.600725252544551	1	1
GSM6590887	1.2782171645897906	1	1
GSM6590888	0.7832094137698108	1	1
GSM6590889	0.9391528131879854	1	1
GSM6590890	1.0669121780637651	1	1
GSM6590891	0.7807062007318628	1	1
GSM6590892	1.074747943596774	1	1
GSM6590893	1.1853702121040883	1	1
GSM6590894	0.2616043026883587	0	1
GSM6590895	1.0284189949968274	1	1
GSM6590896	0.9757580123569534	1	1
GSM6590897	0.32166065594253734	1	1
GSM6590898	-0.020784997386742776	0	0
GSM6590899	1.233826360975854	1	1
GSM6590900	0.14518942494046638	0	1
GSM6590901	1.0942651900731666	1	1
GSM6590902	1.0388170814789328	1	1
GSM6590903	-0.04185603827137219	0	0
GSM6590904	1.0760449020067853	1	1
GSM6590905	1.0793440884073824	1	1
GSM6590906	0.7749386164720209	1	1
GSM6590907	1.0477802632712083	1	1
GSM6590908	0.5853080761402008	1	1
GSM6590909	1.2395634571296628	1	1
GSM6590910	1.067213519143172	1	1
GSM6590911	1.3618449616016335	1	1
GSM6590912	1.1686390760287675	1	1
GSM6590913	1.388491948631668	1	1
GSM6590914	0.7844574412579086	1	1
GSM6590915	1.2925494167148526	1	1
GSM6590916	1.4860515722063259	1	1
GSM6590917	1.462106920550022	1	1
GSM6590918	0.9570196548285896	1	1
GSM6590919	-0.37727895703619374	0	0
GSM6590920	0.9282100216444686	1	1
GSM6590921	1.2992035196127603	1	1
GSM6590922	1.2422142307370765	1	1
GSM6590923	1.0440745573095018	1	1
GSM6590924	0.9767758727618255	1	1
GSM6590925	1.097057655645346	1	1
GSM6590926	1.0840352076791526	1	1
GSM6590927	1.2329647494488238	1	1
GSM6590928	1.0070750720367112	1	1
GSM6590929	1.0627197496177798	1	1
GSM6590930	1.0322193243460753	1	1
