gene	direction	log2FC_DM2vDM1	mean_DM1	mean_DM2	p	q_BH
MT1G	DM2 ↑	3.7671206926640206	5.220438502322757	8.987559194986778	2.8191026313889154e-14	1.4324374296675066e-12
TPO	DM2 ↑	3.719613340314602	8.029548755563708	11.74916209587831	6.41417060967118e-20	1.088341418759358e-17
DIO1	DM2 ↑	3.561250517704916	4.520716421066335	8.08196693877125	2.935511877856644e-20	5.691582315360096e-18
MT1H	DM2 ↑	3.1351885486475304	2.2869498673294952	5.422138415977026	9.556688450802264e-11	2.356506398362567e-09
COL9A3	DM2 ↑	3.132589089096662	3.1146745223306214	6.247263611427283	3.7022283485794505e-08	5.22118471013499e-07
SLC5A8	DM2 ↑	2.909045269432545	3.1631773215236167	6.072222590956162	2.0544981862796196e-23	8.213851896060857e-21
PKHD1L1	DM2 ↑	2.8699178090517217	4.243677378159828	7.1135951872115495	3.501854637404988e-11	9.36746115505834e-10
CDH16	DM2 ↑	2.854374993535993	2.814161442869	5.668536436404993	3.468911439791728e-16	2.6557805610976072e-14
SLC4A4	DM2 ↑	2.7533701418014123	3.960396607910854	6.713766749712266	5.91247173280161e-30	1.3257818136848274e-26
ZMAT4	DM2 ↑	2.739982398348805	1.838330495883728	4.578312894232533	4.149116081769133e-19	6.044816745795514e-17
SEMA3D	DM2 ↑	2.6967154339727943	2.714197637032924	5.410913071005719	1.452767747867157e-09	2.7853176144424072e-08
MT1F	DM2 ↑	2.673715575796079	5.466736659926252	8.14045223572233	5.2287837048893945e-15	3.092537738485844e-13
TFF3	DM2 ↑	2.67334001259934	4.34331101337807	7.01665102597741	6.688845889089252e-10	1.3738372675583e-08
MAPK4	DM2 ↑	2.602771654071007	1.6502188336115038	4.252990487682511	4.614804305113725e-20	8.210487345050915e-18
CWH43	DM2 ↑	2.57454801126994	1.6857328018432862	4.260280813113226	1.3236524862335029e-17	1.357177998509079e-15
SFTPB	DM2 ↓	-5.722655788017031	8.123858664157941	2.4012028761409105	2.4326503249543708e-29	4.480768137828455e-26
ZCCHC12	DM2 ↓	-5.319495856426857	7.638723025035939	2.319227168609082	6.792340909980211e-20	1.1373642535432448e-17
CXCL14	DM2 ↓	-5.274076789310684	6.981145332399009	1.7070685430883263	1.29586972887004e-26	1.1725120245042709e-23
CHI3L1	DM2 ↓	-5.259935609272806	7.295761185454789	2.035825576181983	5.206970200983017e-29	7.898361210161709e-26
SLC34A2	DM2 ↓	-4.996154723382339	9.329380971147325	4.333226247764984	1.315233171676518e-23	5.559986524265962e-21
LAMB3	DM2 ↓	-4.794491740276666	7.207273603310871	2.4127818630342053	2.4193858044515287e-37	6.238870173939158e-33
SLC22A31	DM2 ↓	-4.557198260478361	5.315394258387683	0.7581959979093224	8.679293341510562e-37	1.4920862493168858e-32
SERPINA1	DM2 ↓	-4.474206990639608	9.97613750349707	5.501930512857461	1.8349075753027462e-28	2.4903558760174696e-25
CLDN1	DM2 ↓	-4.468870680623467	8.689594112891967	4.2207234322685006	4.58397526682654e-22	1.3432610250642726e-19
IGFBP6	DM2 ↓	-4.454566868228342	7.221169567561396	2.766602699333053	6.396808051437926e-33	2.999172531316906e-29
SLPI	DM2 ↓	-4.353001219918953	6.149521328166131	1.7965201082471771	3.5457611983255815e-29	5.899002840078824e-26
PRR15	DM2 ↓	-4.308006256541335	6.159854531740877	1.8518482751995424	7.7739389049646e-23	2.7842578130878074e-20
DPP4	DM2 ↓	-4.20595719753765	6.893401670862758	2.687444473325108	4.348241904194514e-22	1.2888288963616545e-19
PDZK1IP1	DM2 ↓	-4.205579607003745	5.311221880454592	1.1056422734508469	1.2063030868873968e-27	1.4812827476935855e-24
TACSTD2	DM2 ↓	-4.143651948665289	7.182947845043218	3.0392958963779293	8.678337609127e-27	8.239895774386571e-24
