cohort	contrast	n_a	n_b	mean_a	mean_b	cohens_d	hedges_g	ci_lo	ci_hi	mwu_p	score_axis	bh_fdr
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	9	9	0.5014108882851921	-0.5014108882851918	1.6021677479265821	1.5258740456443638	0.7254622702729023	3.554552680817235	0.008071487425268009	RAI_score_8gene	0.009789178829426506
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	140	360	0.5695261865945972	-0.35173302593764316	1.7874256395411319	1.7847323814202765	1.4894772004271613	2.1236958306760734	6.802979373428066e-45	g8_RAI within-sample-z	4.08178762405684e-44
TCGA-THCA (DM1 split)	DM1 vs DM1+hashi	130	10	0.587458578474465	0.33640509215631675	0.4586792731858734	0.4561819268708868	-0.08013135768800257	1.1025554816060152	0.09475740310202431	g8_RAI within-sample-z	0.10337171247493561
TCGA-THCA (DM2 split)	DM2 vs DM2+hashi	272	88	-0.28955634538783254	-0.5439154930916033	0.5187742351319853	0.51768665811913	0.26322224170225167	0.8183314578993333	4.67498540596167e-06	g8_RAI within-sample-z	8.014260695934292e-06
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	348	5	-0.2503822571027885	-0.2156309240877546	-0.05949803287408106	-0.059370809710415876	-0.7318798459523247	0.5767375866599872	0.9846425218301164	g8_RAI within-sample-z	0.9846425218301164
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	348	16	-0.2503822571027885	-1.8087467055440156	2.466287705642493	2.461174462299765	1.506374470228266	3.548274162914691	1.1531985457593178e-06	g8_RAI within-sample-z	2.3063970915186355e-06
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	5	16	-0.2156309240877546	-1.8087467055440156	1.345695839626606	1.2918680060415417	0.7843455197948946	2.2488190249537925	0.008157649024522089	g8_RAI within-sample-z	0.009789178829426506
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	348	263	-0.2503822571027885	0.44544154897685934	-1.099490498533241	-1.0981358901161569	-1.4405811158357325	-0.8204479646275302	1.8702836547706113e-52	g8_RAI within-sample-z	2.2443403857247336e-51
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	16	263	-1.8087467055440156	0.44544154897685934	-3.055135148729273	-3.046855649681226	-4.588842200746758	-2.0525374804462384	3.012788967539748e-10	g8_RAI within-sample-z	9.038366902619245e-10
Mun 2025 (protein n=336)	PTC vs PDTC	177	46	0.9596460715221954	0.7893207103913045	0.6340059306062138	0.6318518900718779	0.20810561858848511	1.0935679561716551	2.247215767966983e-05	8-gene protein z mean	3.370823651950474e-05
Mun 2025 (protein n=336)	PTC vs ATC	177	113	0.9596460715221954	0.5176504070366624	1.9898955840739703	1.9847090621345942	1.6517623857788044	2.353940276398969	1.879507495311689e-37	8-gene protein z mean	7.518029981246756e-37
Mun 2025 (protein n=336)	PDTC vs ATC	46	113	0.7893207103913045	0.5176504070366624	1.121729529842447	1.1163624029054018	0.7236167102021158	1.6010772178662291	3.156626539255732e-08	8-gene protein z mean	7.575903694213756e-08
