	g8_RAI	group
GSM2024824	-0.6011330915588621	ATC
GSM2024825	-0.7987227921939067	ATC
GSM2024826	-0.6472441469197507	ATC
GSM2024827	1.4323495260795973	PDTC
GSM2024828	0.8638720859878817	PDTC
GSM2024829	0.9649881470189288	PDTC
GSM2024830	0.35019644359924135	PDTC
GSM2024831	-1.1966213239214878	ATC
GSM2024832	1.3777827515225933	PDTC
GSM2024833	0.447222767623852	PDTC
GSM2024834	-0.6301724813221552	ATC
GSM2024835	0.15986700896851405	PDTC
GSM2024836	-0.8025153388033037	ATC
GSM2024837	-0.0419810246800732	ATC
GSM2024838	-0.8445353351564323	ATC
GSM2024839	-0.4397569597155391	ATC
GSM2024840	-1.289393158334079	ATC
GSM2024841	0.648609500418606	PDTC
GSM2024842	0.8724972814645314	PDTC
GSM2024843	0.8716067745407794	PDTC
GSM2024844	0.7275842746352748	PDTC
GSM2024845	-0.37798619186229493	ATC
GSM2024846	0.5228708175363532	ATC
GSM2024847	-0.3094330578316601	ATC
GSM2024848	-0.8275541997016138	ATC
GSM2024849	0.2587206653695934	PDTC
GSM2024850	0.8157104249662199	PDTC
GSM2024851	-1.3644865626216938	ATC
GSM2024852	-0.8515626483906018	ATC
GSM2024853	-0.8686980670702222	ATC
GSM2024854	0.885782065031596	PDTC
GSM2024855	0.636834957663766	PDTC
GSM2024856	1.1142967028119368	PDTC
GSM2024857	-1.2334012171235158	ATC
GSM2024858	-0.7142587963605427	ATC
GSM2024859	0.9020134976315042	PDTC
GSM2024860	-0.01334929930302059	ATC
