	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1	SLC26A4	IYD	DUOX1	DUOX2	TFF3	HHEX	GLIS3	DIO2
SLC5A5	1.0	0.6214749276534627	0.40846629166454784	0.3421663071361681	0.44286827502640613	-0.05727323177047049	0.33139758149161813	0.5348125941763877	0.5313072472587124	0.34564909571408614	0.15098574453635752	0.08555197234657919	0.6952915737969073	0.12388673053049772	0.4218004641069429	0.36872415389780067
TPO	0.6214749276534627	1.0	0.7106377232634191	0.495904729159958	0.6107264757173023	-0.025747742999328995	0.5084999401852303	0.8151673263891643	0.8046479122871975	0.6499679161898303	0.3753390723015662	0.343217613022751	0.827640355413429	0.36356273505541653	0.5044818797444712	0.6952179687841566
TG	0.40846629166454784	0.7106377232634191	1.0	0.6322262437342282	0.6216346648110161	-0.01194985343148133	0.47113585274983394	0.5866196313764838	0.7527275441474709	0.6038577230526188	0.6054168946494767	0.6179124348370497	0.6562674302844214	0.5215731374807171	0.5678439398464243	0.6990762506967043
TSHR	0.3421663071361681	0.495904729159958	0.6322262437342282	1.0	0.4699368810728545	0.095492102159373	0.3981800019449454	0.34443912482349776	0.5646778775837861	0.42608375235221563	0.4523235059681255	0.45673289648666165	0.4443631399198567	0.5062133312313297	0.5778552737777999	0.5502716806269151
PAX8	0.44286827502640613	0.6107264757173023	0.6216346648110161	0.4699368810728545	1.0	0.23879303318102288	0.5264694627398694	0.6687230733919697	0.5683020607162123	0.3723040238633596	0.48013756650876094	0.4992588025455925	0.6789033472164322	0.5198400732721465	0.44393951759095307	0.4341182216979312
NKX2-1	-0.05727323177047049	-0.025747742999328995	-0.01194985343148133	0.095492102159373	0.23879303318102288	1.0	-0.024612713451947148	0.011659681496278277	0.0034791237714514784	-0.1295370566148088	0.4571626014241893	0.41212915126462923	-0.0013961895212315416	0.31299993884494887	-0.14582109034507798	-0.21843444858734273
FOXE1	0.33139758149161813	0.5084999401852303	0.47113585274983394	0.3981800019449454	0.5264694627398694	-0.024612713451947148	1.0	0.5326240618932668	0.3891436102455735	0.4743974742830192	0.23893605228529755	0.26996566624850804	0.45558463504122937	0.3289798082436445	0.5600359952347571	0.4574110981120271
DIO1	0.5348125941763877	0.8151673263891643	0.5866196313764838	0.34443912482349776	0.6687230733919697	0.011659681496278277	0.5326240618932668	1.0	0.6621220074216156	0.5389528903365899	0.3582285820444788	0.39135540362976157	0.7960833134964	0.3367538751541931	0.4511917427511769	0.5833434229732207
SLC26A4	0.5313072472587124	0.8046479122871975	0.7527275441474709	0.5646778775837861	0.5683020607162123	0.0034791237714514784	0.3891436102455735	0.6621220074216156	1.0	0.6657081644824977	0.4520305486300611	0.40804718141321167	0.7183161928912319	0.4063881092172393	0.5313189858549199	0.6903863711742594
IYD	0.34564909571408614	0.6499679161898303	0.6038577230526188	0.42608375235221563	0.3723040238633596	-0.1295370566148088	0.4743974742830192	0.5389528903365899	0.6657081644824977	1.0	0.24175725861428293	0.19010402905805482	0.5410416965752253	0.34124681721354605	0.46910362944434975	0.642950129426919
DUOX1	0.15098574453635752	0.3753390723015662	0.6054168946494767	0.4523235059681255	0.48013756650876094	0.4571626014241893	0.23893605228529755	0.3582285820444788	0.4520305486300611	0.24175725861428293	1.0	0.8814132623819073	0.3244067871009538	0.5156868862732021	0.2455199253468697	0.3191383684395131
DUOX2	0.08555197234657919	0.343217613022751	0.6179124348370497	0.45673289648666165	0.4992588025455925	0.41212915126462923	0.26996566624850804	0.39135540362976157	0.40804718141321167	0.19010402905805482	0.8814132623819073	1.0	0.3120067257081122	0.5507517096331979	0.23354205059638922	0.33639032459142143
TFF3	0.6952915737969073	0.827640355413429	0.6562674302844214	0.4443631399198567	0.6789033472164322	-0.0013961895212315416	0.45558463504122937	0.7960833134964	0.7183161928912319	0.5410416965752253	0.3244067871009538	0.3120067257081122	1.0	0.3585819837162992	0.5001056194412257	0.6416915862880791
HHEX	0.12388673053049772	0.36356273505541653	0.5215731374807171	0.5062133312313297	0.5198400732721465	0.31299993884494887	0.3289798082436445	0.3367538751541931	0.4063881092172393	0.34124681721354605	0.5156868862732021	0.5507517096331979	0.3585819837162992	1.0	0.19176593663081223	0.504923274422001
GLIS3	0.4218004641069429	0.5044818797444712	0.5678439398464243	0.5778552737777999	0.44393951759095307	-0.14582109034507798	0.5600359952347571	0.4511917427511769	0.5313189858549199	0.46910362944434975	0.2455199253468697	0.23354205059638922	0.5001056194412257	0.19176593663081223	1.0	0.4782302186145565
DIO2	0.36872415389780067	0.6952179687841566	0.6990762506967043	0.5502716806269151	0.4341182216979312	-0.21843444858734273	0.4574110981120271	0.5833434229732207	0.6903863711742594	0.642950129426919	0.3191383684395131	0.33639032459142143	0.6416915862880791	0.504923274422001	0.4782302186145565	1.0
