target	feature_set	heldout_sample	heldout_stage	alpha	n	spearman_r	pearson_r	r2	mae	auroc_q50	auroc_q75	auroc_q90
DM1_like_score	morphology_only	GSM7980860_N-1	PT	1221.6773489967932	200	0.36422533733370754	0.4250700102686692	0.1528059115169449	0.33878107611838304	0.6571	0.7038666666666666	0.7647222222222223
DM1_like_score	morphology_only	GSM7980861_N-2	PT	300.7882518043102	200	0.22775519387984702	0.22986123589784005	0.03435795194726399	0.3798602681808873	0.6313	0.6469333333333332	0.6505555555555556
DM1_like_score	morphology_only	GSM7980862_N-3	PT	300.7882518043102	200	0.20247506187654696	0.2271790742301183	0.03720888641583464	0.3171510690147909	0.5647	0.6738666666666667	0.7619444444444444
DM1_like_score	morphology_only	GSM7980863_N-4	PT	149.24955450518323	200	-0.021581039525988152	0.05580885424470407	0.0006978664787311573	0.3670095353709606	0.4634	0.49373333333333336	0.5780555555555555
DM1_like_score	morphology_only	GSM7980864_PTC-1	PTC	149.24955450518323	200	0.11822827130740891	0.11360300302186806	0.000414898187181989	0.336450187480414	0.5398999999999999	0.5612	0.5297222222222222
DM1_like_score	morphology_only	GSM7980865_PTC-2	PTC	300.7882518043102	200	0.4316537913447837	0.4496371398013908	0.11966410698337826	0.3512541903862897	0.6727	0.7694666666666665	0.8191666666666667
DM1_like_score	morphology_only	GSM7980866_PTC-3	PTC	300.7882518043102	200	0.09114156271716037	0.06260865662539764	-0.008745788944102939	0.3064365508989562	0.5446	0.6295999999999999	0.7430555555555556
DM1_like_score	morphology_only	GSM7980867_PTC-4	PTC	149.24955450518323	200	0.31434078729984516	0.41915746427037515	0.12623498213849715	0.2817863569980928	0.6682999999999999	0.7555999999999998	0.7947222222222222
DM1_like_score	morphology_only	GSM7980868_LPTC-1	LPTC	149.24955450518323	200	0.2669556738918473	0.3547633652664632	0.11976010317998564	0.2840458741613302	0.6073	0.7005333333333333	0.7505555555555555
DM1_like_score	morphology_only	GSM7980869_LPTC-2	LPTC	606.1898993497572	200	0.26029063698549887	0.28434129575527073	0.054898949902818406	0.35523125031710295	0.6174	0.6156	0.6669444444444445
DM1_like_score	morphology_only	GSM7980870_LPTC-3	LPTC	149.24955450518323	200	0.605228291080559	0.4798280067158259	0.13044808582329392	0.3705364825175233	0.8314999999999999	0.7106666666666667	0.7113888888888888
DM1_like_score	morphology_only	GSM7980871_LPTC-4	LPTC	1.1052951411260221	200	0.17411466815971682	0.07527555973885547	-0.07627344634084299	0.40050170934051477	0.5670999999999999	0.6390666666666667	0.706388888888889
DM1_like_score	morphology_only	GSM7980872_ATC-1	ATC	300.7882518043102	200	0.14054325966923528	0.11663472789366768	-0.14265547477355667	0.20483974520641923	0.5932967032967033	0.5932967032967033	0.5932967032967033
DM1_like_score	morphology_only	GSM7980873_ATC-2	ATC	300.7882518043102	200	-0.15986129385023648	-0.045392152120536114	-0.06386893501109081	0.1890356792327546	0.20410256410256408	0.20410256410256408	0.20410256410256408
DM1_like_score	morphology_only	GSM7980874_ATC-3	ATC	300.7882518043102	200	-0.11205598916301186	-0.11653750307155131	-0.23392191313503785	0.15724534969347337	0.29435897435897435	0.29435897435897435	0.29435897435897435
