territory_label_set	covariate_set	outcome	scope	n_slides	median_beta	mean_beta	q25_beta	q75_beta	n_positive	sign_test_p	wilcoxon_p
arm_level_expression_cnv	qc	EMT_stress_z	all_cancer_slides	12	-0.003133933738168683	0.0070021284570581	-0.04899782170754817	0.07503506538294094	5	0.7744140625	0.7333984375
arm_level_expression_cnv	qc	EMT_stress_z	condition_ATC	4	-0.054110527389707584	-0.0405104787045539	-0.09006360485593738	-0.004557401238324099	1	0.625	0.625
arm_level_expression_cnv	qc	EMT_stress_z	condition_LPTC	4	0.03141962603808455	0.03851499036186379	-0.011865211328684861	0.0817998277286332	2	1.0	0.625
arm_level_expression_cnv	qc	EMT_stress_z	condition_PTC	4	0.033120795673412	0.02300187371386441	-0.01891239599566452	0.07503506538294094	2	1.0	0.625
arm_level_expression_cnv	qc	Macrophage_TAM_z	all_cancer_slides	12	0.1217116581766248	0.1609855551546653	0.06877658391204348	0.2247613306952099	10	0.03857421875	0.00927734375
arm_level_expression_cnv	qc	Macrophage_TAM_z	condition_ATC	4	0.23204645466188395	0.2900327723940851	0.09424554038750882	0.4278336866684602	4	0.125	0.125
arm_level_expression_cnv	qc	Macrophage_TAM_z	condition_LPTC	4	0.09565271582482875	0.0684217113860936	0.001159737554350497	0.16291468965657185	3	0.625	0.375
arm_level_expression_cnv	qc	Macrophage_TAM_z	condition_PTC	4	0.14356236320028537	0.12450218168381726	0.053553443399069894	0.21451110148503272	3	0.625	0.25
arm_level_expression_cnv	qc	RAI_thyroid_z	all_cancer_slides	12	-0.001456630294930222	-0.019515886380158606	-0.02314779285356016	0.01953207820599024	6	1.0	0.85009765625
arm_level_expression_cnv	qc	RAI_thyroid_z	condition_ATC	4	-0.003397949287694985	-0.08187874800696253	-0.08303029510969381	-0.0022464021849636986	1	0.625	0.25
arm_level_expression_cnv	qc	RAI_thyroid_z	condition_LPTC	4	0.03346368654240333	0.05512220283550637	-0.0034823234485209416	0.09206821282643064	3	0.625	0.375
arm_level_expression_cnv	qc	RAI_thyroid_z	condition_PTC	4	-0.007978978884562005	-0.03179111396901965	-0.055620911836502064	0.015850818982920404	2	1.0	0.875
arm_level_expression_cnv	qc	TACSTD2_z	all_cancer_slides	12	0.008179398703385903	0.011989034708151746	-0.16061101423932367	0.1149456116662775	7	0.7744140625	0.791015625
arm_level_expression_cnv	qc	TACSTD2_z	condition_ATC	4	0.008179398703385903	0.00830722589982381	0.0021086352557296868	0.014377989347480028	3	0.625	0.375
arm_level_expression_cnv	qc	TACSTD2_z	condition_LPTC	4	0.018141021936713672	0.12790407412642263	-0.16061101423932367	0.30665611030246	2	1.0	0.625
arm_level_expression_cnv	qc	TACSTD2_z	condition_PTC	4	-0.11456018433677152	-0.1002441959017912	-0.366371670358781	0.15156729012021825	2	1.0	0.875
arm_level_expression_cnv	qc	TLS_B_z	all_cancer_slides	12	0.03785029641620842	0.06727713489722313	-0.01701449014597421	0.16476602830081316	8	0.3876953125	0.30126953125
arm_level_expression_cnv	qc	TLS_B_z	condition_ATC	4	0.11998603478318232	0.09685623629139217	0.013587099457313213	0.20325517161726125	3	0.625	0.375
arm_level_expression_cnv	qc	TLS_B_z	condition_LPTC	4	-0.08792076014101449	-0.10484849113467076	-0.2325021210667272	0.03973286979104195	2	1.0	0.625
arm_level_expression_cnv	qc	TLS_B_z	condition_PTC	4	0.09517664239374873	0.209823659534948	0.027791422813638614	0.2772088791150581	3	0.625	0.25
arm_level_expression_cnv	qc	TROP2_raw	all_cancer_slides	12	-0.012133821042124423	0.0688290879206687	-0.3169860380284333	0.3509477169667718	5	0.7744140625	1.0
arm_level_expression_cnv	qc	TROP2_raw	condition_ATC	4	-0.012133821042124423	-0.0559015369617263	-0.07334738427442503	0.005312026270574311	1	0.625	0.625
arm_level_expression_cnv	qc	TROP2_raw	condition_LPTC	4	0.22651972950423058	0.4436040880194565	-0.2458424600132742	0.9159662775369612	2	1.0	0.875
arm_level_expression_cnv	qc	TROP2_raw	condition_PTC	4	-0.13333096073316084	-0.18121528729572411	-0.7015014814372602	0.38695523340837534	2	1.0	0.875
arm_level_expression_cnv	qc	Tcell_cytotoxic_z	all_cancer_slides	12	0.04693033775213189	0.133649620230083	0.005388024129963551	0.18471582222289173	9	0.14599609375	0.06396484375
