paper_id	pmid	doi	cohort	typing	ancestry	comparison	allele	direction	OR	OR_lo	OR_hi	p	Pc	n_case_carrier	n_control_carrier	frequency_type	note	source
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	A*02	up								allele_family (2-digit)	Higher in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	B*46	up								allele_family (2-digit)	Higher in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	C*01	up								allele_family (2-digit)	Higher in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	DRB1*08	up								allele_family (2-digit)	Higher in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	A*30	down								allele_family (2-digit)	Lower in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	B*07	down								allele_family (2-digit)	Lower in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	C*07	down								allele_family (2-digit)	Lower in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_AITD	DRB1*01	down								allele_family (2-digit)	Lower in AITD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_HD	B*46	up								allele_family (2-digit)	Higher in HD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_HD	C*01	up								allele_family (2-digit)	Higher in HD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_HD	DRB1*01	down								allele_family (2-digit)	Lower in HD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_HD	C*07	down								allele_family (2-digit)	Lower in HD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_GD	A*02	up								allele_family (2-digit)	Higher in GD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_GD	B*46	up								allele_family (2-digit)	Higher in GD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_GD	C*01	up								allele_family (2-digit)	Higher in GD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_GD	DRB1*08	up								allele_family (2-digit)	Higher in GD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_GD	DRB1*07	down								allele_family (2-digit)	Lower in GD per abstract	PubMed abstract; full table behind paywall
Cho_2011	21952423	10.1159/000331134	Korean pediatric (Catholic Univ. n_HD=32, n_GD=41, n_CTRL=159)	PCR-SSP (low/intermediate resolution; 2-digit family level)	Korean	Controls_vs_GD	C*07	down								allele_family (2-digit)	Lower in GD per abstract	PubMed abstract; full table behind paywall
