sample,stage,gsm,celltype,n_spots,HLA_I_mean,HLA_II_mean,TLS_mean,HLA_G_mean,DM1_like_mean
N-1,PT,GSM7980860,Epithelial cell,3366,0.6107835081089248,0.15683471206592603,8.08832465504436e-05,0.0038721852470189333,-0.009369534440338612
N-1,PT,GSM7980860,Myeloid cell,6,0.5817393926803601,0.26902491966883346,0.05878735969463985,0.0,0.8888842463493347
N-1,PT,GSM7980860,T cell,23,0.2800761628948474,0.11476754276648812,-0.0011113599590633226,0.0,1.1393126249313354
N-2,PT,GSM7980861,Epithelial cell,3778,0.7492228394844264,0.13355970660425776,1.4204260389788536e-05,0.000911784591153264,-0.0009674114407971501
N-2,PT,GSM7980861,Myeloid cell,2,0.9968216248562461,1.11380349445343,-0.021902921199798583,0.0,1.82771897315979
N-3,PT,GSM7980862,Epithelial cell,4532,0.7371065960103048,0.132240094346176,-0.00035643938609907714,0.0005883736885152757,-0.002665669657289982
N-3,PT,GSM7980862,Myeloid cell,6,1.104655827007331,1.614699668354458,0.12783178051312763,0.0,2.0135316848754883
N-4,PT,GSM7980863,Epithelial cell,3027,0.74224591193348,0.05920409220888309,0.0009120212018968986,0.0014787038089707494,1.260223703170027e-09
PTC-1,PTC,GSM7980864,B cell,1092,0.7334051888767121,0.7384070813080913,0.07634574655473451,0.1583881676197052,0.14103078842163086
PTC-1,PTC,GSM7980864,Fibroblast,50,0.7308530366279071,0.7799293611844381,-0.06554996269226074,0.0911700427532196,0.334016889333725
PTC-1,PTC,GSM7980864,Malignant cell,1080,0.8414801670664596,0.658172852596751,-0.06348715378421324,0.37922391295433044,-0.15971900522708893
PTC-1,PTC,GSM7980864,Myeloid cell,28,0.9446234735808209,1.3768190274919778,-0.07039958446366444,0.040427066385746,-0.15687088668346405
PTC-1,PTC,GSM7980864,T cell,12,0.6766640577669797,0.2885875872770945,-0.09334858604272205,0.0,0.5152029395103455
PTC-2,PTC,GSM7980865,B cell,171,0.6557011796209673,0.8050135098911865,0.09086059292506057,0.0,0.7001678347587585
PTC-2,PTC,GSM7980865,Fibroblast,24,0.673364088493481,0.8773181380828222,0.017385239501794176,0.0,0.6707291603088379
PTC-2,PTC,GSM7980865,Malignant cell,4735,0.8586050411130505,0.4546242641786671,-0.005868744757415879,0.023979635909199715,-0.031138522550463676
PTC-2,PTC,GSM7980865,Myeloid cell,16,0.98505911895207,1.742736051082611,0.09580011751502751,0.04229451343417168,0.6669262051582336
PTC-2,PTC,GSM7980865,T cell,1,0.9263286963441317,0.9762760925292968,-0.016123241186141966,0.0,0.9439023733139038
PTC-3,PTC,GSM7980866,B cell,131,0.6898481020340562,0.8818832245673843,0.1227004656946386,0.018387971445918083,0.6865242719650269
PTC-3,PTC,GSM7980866,Fibroblast,326,0.6687584060996998,0.6562408343182995,0.005142098434863645,0.01901615411043167,0.6051799654960632
PTC-3,PTC,GSM7980866,Malignant cell,4035,0.6701316567221534,0.22805820553089062,-0.004123718928227194,0.05723165348172188,-0.07563371956348419
PTC-3,PTC,GSM7980866,Myeloid cell,17,1.1108126742281288,1.6623195792179484,0.030762317040387323,0.0,0.671100378036499
PTC-3,PTC,GSM7980866,T cell,7,0.21257498786562964,0.2660019558951968,-0.00432699339730399,0.0,0.9356708526611328
PTC-4,PTC,GSM7980867,B cell,2,0.50003081020556,0.7464573486646017,-0.009036806424458822,0.0,0.8764628767967224
PTC-4,PTC,GSM7980867,Endothelial cell,7,0.9659590397024514,0.4941312869389853,-0.004517912637619746,0.0,0.6624967455863953
PTC-4,PTC,GSM7980867,Fibroblast,249,0.5732126409280278,0.5102669743361723,0.009236694311042386,0.012396536767482758,0.5456827878952026
PTC-4,PTC,GSM7980867,Malignant cell,4073,0.5676469424659133,0.1570725998479261,-0.0015473703606271717,0.009594438597559929,-0.06088244542479515
PTC-4,PTC,GSM7980867,Myeloid cell,57,0.692003706608893,1.0051947136650308,0.031082908075455332,0.0,0.4465606212615967
PTC-4,PTC,GSM7980867,T cell,110,0.44335795831452157,0.2691154592542937,0.006285122076670328,0.0,0.7295884490013123
LPTC-1,LPTC,GSM7980868,Endothelial cell,3,1.0080595076711554,0.8497486845652262,-0.015400678912798565,0.0,0.5075257420539856
LPTC-1,LPTC,GSM7980868,Fibroblast,89,0.9318012525775412,0.8438821214504456,0.04076146468017878,0.02570187672972679,0.7392114400863647
LPTC-1,LPTC,GSM7980868,Malignant cell,1422,0.9242335524518898,0.631835585045971,-0.0020637693546408506,0.01667286641895771,-0.051616232842206955
LPTC-1,LPTC,GSM7980868,Myeloid cell,1,1.3269588256300542,1.5534262084960937,0.7423394227027893,0.0,1.06270170211792
