tissue	AIRE_nTPM	HLA_II_module	log_AIRE
adipose_tissue	0.0	4.7105572473308674	0.0
adrenal_gland	0.0	4.352691378660544	0.0
appendix	0.1	4.443060062928224	0.09531017980432487
bone_marrow	0.1	3.072008755728281	0.09531017980432487
brain		0.0	
breast	0.1	4.507135711243228	0.09531017980432487
cervix	0.1	4.088516611068398	0.09531017980432487
colon	0.0	4.235288748265627	0.0
duodenum	0.0	2.417767353847486	0.0
epididymis	0.0	3.7503793801680145	0.0
esophagus	0.0	3.731690108983291	0.0
fallopian_tube	0.0	4.029065174040475	0.0
gallbladder	0.0	3.2044138301847096	0.0
heart_muscle	0.0	3.83813294608193	0.0
kidney	0.2	4.34872295336877	0.18232155679395462
liver	0.0	3.901229350204179	0.0
lung	0.0	5.610553461253235	0.0
lymph_node	0.2	5.255139693419148	0.18232155679395462
ovary	0.0	3.0097524197293164	0.0
pancreas	0.0	3.367861839020557	0.0
parathyroid_gland	0.0	1.3534889620138104	0.0
pituitary_gland	0.0	3.3783252690163055	0.0
placenta	0.0	2.1939682938294025	0.0
prostate	0.0	3.6926331899780362	0.0
rectum	0.0	3.827926547676029	0.0
retina	0.2	1.4398453593913014	0.18232155679395462
salivary_gland	0.0	4.065070601566621	0.0
seminal_vesicle	0.1	2.03953009284417	0.09531017980432487
skeletal_muscle	0.0	3.106840770664105	0.0
skin		0.0	
small_intestine	0.1	5.095918595335692	0.09531017980432487
smooth_muscle	0.0	2.105258649121966	0.0
spleen	0.0	5.675579509371767	0.0
stomach		0.0	
testis	0.0	2.547555631659246	0.0
thymus	1.2	4.2397672214793936	0.7884573603642702
thyroid_gland	0.0	4.043126082971135	0.0
tongue	0.0	1.0806823274901887	0.0
tonsil	0.0	5.073671807435226	0.0
urinary_bladder	0.0	4.380569964193745	0.0
vagina	0.0	3.49258111519797	0.0
