gene	panel	n_mutations	n_LoF	n_samples_mutated	n_samples_LoF	pct_samples_mutated	pct_samples_LoF
HLA-A	ClassI	0	0	0	0	0.0	0.0
HLA-B	ClassI	0	0	0	0	0.0	0.0
HLA-C	ClassI	1	0	1	0	0.4149377593360996	0.0
B2M	ClassI	0	0	0	0	0.0	0.0
TAP1	ClassI	0	0	0	0	0.0	0.0
TAP2	ClassI	0	0	0	0	0.0	0.0
TAPBP	ClassI	0	0	0	0	0.0	0.0
ERAP1	ClassI	0	0	0	0	0.0	0.0
ERAP2	ClassI	1	0	1	0	0.4149377593360996	0.0
NLRC5	ClassI	0	0	0	0	0.0	0.0
IRF1	ClassI	0	0	0	0	0.0	0.0
PSMB8	ClassI	0	0	0	0	0.0	0.0
PSMB9	ClassI	0	0	0	0	0.0	0.0
CALR	ClassI	0	0	0	0	0.0	0.0
CANX	ClassI	0	0	0	0	0.0	0.0
PDIA3	ClassI	0	0	0	0	0.0	0.0
HLA-DRA	ClassII	1	0	1	0	0.4149377593360996	0.0
HLA-DRB1	ClassII	0	0	0	0	0.0	0.0
HLA-DPA1	ClassII	0	0	0	0	0.0	0.0
HLA-DPB1	ClassII	1	0	1	0	0.4149377593360996	0.0
HLA-DQA1	ClassII	0	0	0	0	0.0	0.0
HLA-DQB1	ClassII	0	0	0	0	0.0	0.0
CIITA	ClassII	0	0	0	0	0.0	0.0
CD74	ClassII	0	0	0	0	0.0	0.0
CD274	Costim	0	0	0	0	0.0	0.0
PDCD1LG2	Costim	1	0	1	0	0.4149377593360996	0.0
CD80	Costim	0	0	0	0	0.0	0.0
CD86	Costim	0	0	0	0	0.0	0.0
