label	x	m	y	n	a_X_to_M	a_se	a_p	b_M_to_Y_given_X	b_se	b_p	c_total	c_total_p	c_prime_direct	c_prime_p	ab_indirect	ab_indirect_p	ab_CI95_lo	ab_CI95_hi	sobel_z	sobel_p	pct_mediated	gene	module
TAPBP	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	0.4625232339015925	0.03366674250016076	6.542130000997822e-37	0.08983867793402664	0.10917519545703869	-0.1533183511419102	0.002672019927031423	0.243157029075937	0.0	0.18019255901982445	0.3149232463410152	7.107480203621635	1.1817213874110166e-12	270.6596253058179	TAPBP	HLA-I
TAP2	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.1440110879172476	0.026808050830874217	8.376332533710018e-173	0.39004412392347254	1.1385514171566565e-06	-0.18933219631187836	2.7842263576965353e-06	0.5793763202353512	0.0	0.4394156674253717	0.7309382006993611	8.152355215611724	4.440892098500626e-16	148.54122513303804	TAP2	HLA-I
IRF1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.4233928766577326	0.035408222790909306	2.277317535266424e-162	0.5124847857014914	3.934363575503309e-07	-0.20481043866192356	0.00013096205962942383	0.7172952243634143	0.0	0.550005417985389	0.9015040081910511	8.13354149156077	4.440892098500626e-16	139.96419881647367	IRF1	HLA-I
HLA-E	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	0.9305279965619524	0.0291699374952075	5.688733809781096e-125	0.36561049078486735	2.252561770825905e-07	-0.09929596596144467	0.025056044585178915	0.46490645674631137	0.0	0.358008090055507	0.5902090894447923	8.037380797423653	8.881784197001252e-16	127.15894878953891	HLA-E	HLA-I
HLA-DMB	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	0.6566374844967572	0.051181219594077065	5.756649831125146e-33	0.2897190429106146	0.0005151295574057052	-0.03417954326545392	0.6609934543619085	0.32389858617606976	0.0	0.24324834455586597	0.4249746697606889	6.971960078045975	3.1254998589247407e-12	111.79747900658374	HLA-DMB	HLA-II
NLRC5	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.5734923599364068	0.04540601275266442	8.831802539036704e-138	0.8521536224161823	1.1078328580128721e-13	0.09674589593445132	0.1614038197968015	0.7554077264817318	0.0	0.5803198320200516	0.9590646210140651	8.076597140150579	6.661338147750939e-16	88.64689495068521	NLRC5	HLA-I
HLA-F	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.6206553344056265	0.04607607263643032	3.7341456591675153e-140	0.8993187230204966	1.904387447399598e-14	0.12410983240593554	0.07650759702963522	0.775208890614562	0.0	0.5945620441397903	0.9712322780413153	8.083038342090216	6.661338147750939e-16	86.19957205059701	HLA-F	HLA-I
HLA-DMA	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.7809284297686014	0.05584344119767376	6.258796009080106e-125	1.0416582949615236	4.786890882008503e-15	0.1968022767443712	0.02034054851730592	0.8448560182171512	0.0	0.6482979408200568	1.060939288798551	8.037240193397158	8.881784197001252e-16	81.10682959121044	HLA-DMA	HLA-II
HLA-DPB1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.294248808036981	0.0607520818632119	8.936802442345384e-152	1.384880141827726	1.1615943427216381e-17	0.302157047775847	0.0010285286555936494	1.0827230940518788	0.0	0.8333068487318298	1.34505287512621	8.11146666270037	4.440892098500626e-16	78.18171850041342	HLA-DPB1	HLA-II
PSMB9	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.8673131044205233	0.053847619704126805	6.864023440247992e-138	1.1860405617052592	1.319361177614362e-18	0.31253595267451795	0.00012407440360172653	0.8735046090307422	0.0	0.667497702254274	1.0864597611669609	8.076899358891284	6.661338147750939e-16	73.64879728690218	PSMB9	HLA-I
