endpoint	model	term	HR	HR_low	HR_high	p	n	events
OS	univariate	Q_fail_to_induce	0.873297651879348	0.21813440258686398	3.4962334218431512	0.8481951458395341	526	16
OS	univariate	Q_inflamed_bright	0.8126705405440179	0.1628761676016062	4.0548191745493485	0.8003170457929568	526	16
OS	univariate	Q_quiet_bright	1.1805555016232387	0.3571034166889143	3.902822620224351	0.78556392912196	526	16
OS	multivariate_adj	Q_fail_to_induce	0.70851432049728	0.1971283345020012	2.546526574263865	0.5975559120513443	514	14
OS	multivariate_adj	Q_inflamed_bright	0.4846752972618086	0.12597589180320432	1.8647230070241687	0.2920843024828473	514	14
OS	multivariate_adj	Q_quiet_bright	0.8603629077187411	0.2574121643844741	2.8756385105120303	0.8070051272779768	514	14
OS	multivariate_adj	stage_high	1.1344834756134805	0.40770466867135446	3.156826142399462	0.8090504963082086	514	14
OS	multivariate_adj	age	1.0866142125505105	1.052712100034401	1.1216081271205882	2.8005498926354013e-07	514	14
OS	multivariate_adj	BRAF_yn	0.5872110905004276	0.19969664811111604	1.726703317598185	0.33334189602429004	514	14
DSS	univariate	Q_fail_to_induce	1.6474007177707604	0.23198224780742543	11.698865540627576	0.6176984419309077	520	7
DSS	univariate	Q_inflamed_bright	1.3195523075284967e-07	0.0	inf	0.9956635337550666	520	7
DSS	univariate	Q_quiet_bright	1.870226111530248	0.3103675477922379	11.26968889991993	0.49448492221392126	520	7
DSS	multivariate_adj	Q_fail_to_induce	0.993292747564227	0.19708618350307539	5.00608649894677	0.993493082352413	508	5
DSS	multivariate_adj	Q_inflamed_bright	0.5761965774200382	0.09094357845686583	3.650642535338913	0.5583626887248427	508	5
DSS	multivariate_adj	Q_quiet_bright	0.9401871739041793	0.23012071471965956	3.8412531572865407	0.9315565115302795	508	5
DSS	multivariate_adj	stage_high	1.7197066772394247	0.4504447194755489	6.565491674949908	0.4276731966793108	508	5
DSS	multivariate_adj	age	1.05918082387913	1.0159380849204303	1.104264161689675	0.006862016586295316	508	5
DSS	multivariate_adj	BRAF_yn	0.4076867384730016	0.10768606512083685	1.5434538957315178	0.18650877409461664	508	5
PFI	univariate	Q_fail_to_induce	0.7911021572791178	0.4063718948772964	1.5400735905731044	0.4905477917403658	526	56
PFI	univariate	Q_inflamed_bright	0.26503461482943935	0.09245827298847197	0.7597302522246707	0.013458972266543539	526	56
PFI	univariate	Q_quiet_bright	0.5359748969653769	0.27527413066755546	1.0435745977306423	0.06657916336978298	526	56
PFI	multivariate_adj	Q_fail_to_induce	0.7947452386964675	0.40917870319639144	1.5436287116036675	0.49761305276277557	514	54
PFI	multivariate_adj	Q_inflamed_bright	0.33477789818526704	0.13454664074347653	0.8329917454202886	0.018629626495059535	514	54
PFI	multivariate_adj	Q_quiet_bright	0.5195633945072798	0.24527559343053618	1.100582887748177	0.0873196574083164	514	54
PFI	multivariate_adj	stage_high	0.957937543783343	0.5153846406920336	1.7805038515651064	0.8919198089966099	514	54
PFI	multivariate_adj	age	1.0232868399532649	1.005541912920333	1.0413449139881847	0.009903718283927346	514	54
PFI	multivariate_adj	BRAF_yn	0.9057087781496976	0.47900702224896674	1.7125185074866356	0.7605765010036687	514	54
DFI	univariate	Q_fail_to_induce	0.27710656981502263	0.08072737525314057	0.9512021268356634	0.04140332547150083	368	27
DFI	univariate	Q_inflamed_bright	1.6937138907266538e-08	0.0	inf	0.9937399761871222	368	27
DFI	univariate	Q_quiet_bright	0.4903285224919941	0.20977535052001084	1.1460929960226554	0.09993137763992371	368	27
DFI	multivariate_adj	Q_fail_to_induce	0.36027842269401367	0.12390631142675912	1.0475700580886982	0.06084423012699854	363	27
DFI	multivariate_adj	Q_inflamed_bright	0.12115740755973115	0.02738229480308252	0.5360806138476867	0.00540862783447862	363	27
DFI	multivariate_adj	Q_quiet_bright	0.5542759101045096	0.21464336708754947	1.431312733725761	0.2227986847605627	363	27
DFI	multivariate_adj	stage_high	0.7943255290692003	0.26509929451910436	2.3800630902305	0.6808866418393222	363	27
DFI	multivariate_adj	age	1.001222021308348	0.9756336902363858	1.0274814676704043	0.9263348511706938	363	27
DFI	multivariate_adj	BRAF_yn	0.9257432194146814	0.3897909836659934	2.1986155252544557	0.8612112990335778	363	27
