sample	stage	celltype	n_in_niche	mean_HLA_II_in_niche	n_out_niche	mean_HLA_II_out_niche
N-1	N	Epithelial cell	550	0.18193673907866206	2816	0.150838890777699
N-1	N	T cell	3	0.023764609321054203	20	0.100549605960747
N-1	N	Myeloid cell	3	0.30307276959878854	3	0.16508575314552004
N-2	N	Epithelial cell	723	0.17978069992129184	3055	0.14911430516668311
N-3	N	Epithelial cell	425	0.0984645005665106	4107	0.09699050158024627
N-3	N	Myeloid cell	4	1.7332434582710268	2	0.9552192778984705
N-4	N	Epithelial cell	298	0.0732615876609447	2729	0.04546927714027865
PTC-1	PTC	B cell	156	1.2365441974747893	936	0.7257723365724935
PTC-1	PTC	Malignant cell	33	1.067610126374948	1047	0.6965089168360149
PTC-2	PTC	Malignant cell	332	0.6345845502652477	4403	0.4518693743736446
PTC-2	PTC	B cell	97	0.847912217258178	74	0.7805062582025658
PTC-2	PTC	Fibroblast	11	0.8086926648111054	13	0.9232755742134192
PTC-2	PTC	Myeloid cell	5	1.558649506939782	11	1.4579855371123613
PTC-2	PTC	T cell	1	0.6089423934618632	0	
PTC-3	PTC	Malignant cell	164	0.7131983198623669	3871	0.29759853660139035
PTC-3	PTC	Fibroblast	38	1.144556531540483	288	0.8372866067156012
PTC-3	PTC	B cell	60	1.292994692755187	71	0.9975786971090732
PTC-4	PTC	Malignant cell	913	0.23578462555983196	3160	0.168906827814408
PTC-4	PTC	Myeloid cell	28	1.047144623012202	29	0.8746952551647165
PTC-4	PTC	T cell	62	0.3596218601029407	48	0.35328061778396364
PTC-4	PTC	Fibroblast	91	0.5001581873997226	158	0.618608396279158
PTC-4	PTC	B cell	1	0.3624356778462728	1	1.0214540147781372
PTC-4	PTC	Endothelial cell	5	0.5218344825045268	2	0.30450207521915434
LPTC-1	LPTC	Malignant cell	95	0.7394364055533159	1327	0.6061831187652121
LPTC-1	LPTC	Fibroblast	31	0.997580425098378	58	0.8108368468024265
LPTC-1	LPTC	Myeloid cell	1	1.5106070280075072	0	
LPTC-2	LPTC	Fibroblast	59	1.0071249651599066	932	0.7798836909581577
LPTC-2	LPTC	Endothelial cell	10	1.2937894930998481	93	1.0058745431348843
LPTC-2	LPTC	B cell	94	0.9877899093712476	180	0.8404944680816596
LPTC-2	LPTC	Malignant cell	76	0.7096554677695559	1923	0.3639729857188119
LPTC-2	LPTC	Myeloid cell	9	1.4619522829055787	42	1.0566875992114582
LPTC-2	LPTC	T cell	80	0.9663269726604223	570	0.7890323653542507
LPTC-3	LPTC	Malignant cell	586	0.6541015402862846	2466	0.6219910701540119
LPTC-3	LPTC	Fibroblast	41	0.5867036630070306	160	0.751088536615794
LPTC-3	LPTC	B cell	1	1.2873793637752533	0	
LPTC-3	LPTC	Myeloid cell	12	1.3845295727882119	45	1.5581344903416106
LPTC-3	LPTC	T cell	4	0.4714947903752327	17	0.6241131559166254
LPTC-3	LPTC	Endothelial cell	1	0.8829359531402587	3	0.3205303184191386
LPTC-4	LPTC	Fibroblast	63	0.7425046653268199	223	0.794993328947301
LPTC-4	LPTC	Malignant cell	277	0.4510862009769169	3947	0.20684201315323722
LPTC-4	LPTC	B cell	97	0.7781029874213373	9	0.7205193197903809
LPTC-4	LPTC	T cell	19	0.6525763037016518	14	0.5558194861014684
LPTC-4	LPTC	Endothelial cell	2	0.8502447841564814	3	0.12102895763185288
LPTC-4	LPTC	Myeloid cell	1	1.0536409441630046	52	1.0571651676358322
ATC-1	ATC	Malignant cell	299	0.8859637019768474	4316	0.5615456863654628
ATC-1	ATC	Myeloid cell	34	1.685932518946579	65	1.3217758530107317
ATC-2	ATC	Malignant cell	131	0.7902093746653039	2122	0.606642746133528
ATC-2	ATC	Myeloid cell	28	1.299133500458939	30	0.8520470943901276
ATC-2	ATC	T cell	3	0.9251710067590078	39	0.4201805863706474
ATC-3	ATC	Malignant cell	121	0.4651006571091906	1490	0.3119353322303851
ATC-3	ATC	Myeloid cell	2	0.9439247580716006	8	0.7470038983900875
ATC-4	ATC	Malignant cell	206	1.134794366353125	2172	0.7959808284367401
ATC-4	ATC	Fibroblast	12	0.9368136011069069	42	0.9280189552520433
ATC-4	ATC	Myeloid cell	24	1.3516429736257	130	1.1826913978305702
