dataset	contrast	score	n_treatment	n_dmso	mean_treatment	mean_dmso	delta_treatment_minus_dmso	cohen_d_treatment_minus_dmso	p_mwu	note
GSE137697	THZ531_100nM_vs_DMSO	RAI_8_score	2	2	-0.22289295674180948	0.3513457739154453	-0.5742387306572547	-3.680751029887209	0.3333333333333333	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_100nM_vs_DMSO	DM1_like_score	2	2	0.22289295674180948	-0.3513457739154453	0.5742387306572547	3.680751029887209	0.3333333333333333	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_100nM_vs_DMSO	THYROID_NONOVERLAP_score	2	2	0.35223867013067933	-0.5039599904566102	0.8561986605872896	2.297363977505938	0.3333333333333333	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_100nM_vs_DMSO	TF_collapse_score	2	2	0.683304032367396	-0.11316352891135632	0.7964675612787523	14.629730877641121	0.3333333333333333	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_100nM_vs_DMSO	STAT3_AP1_DNMT_score	2	2	-0.1693210112285012	-0.021514091222692232	-0.14780692000580897	-0.3751106253068203	1.0	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_400nM_vs_DMSO	RAI_8_score	2	2	-0.1284528171736371	0.3513457739154453	-0.4797985910890824	-0.9173111277668755	0.6666666666666666	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_400nM_vs_DMSO	DM1_like_score	2	2	0.1284528171736371	-0.3513457739154453	0.4797985910890824	0.9173111277668755	0.6666666666666666	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_400nM_vs_DMSO	THYROID_NONOVERLAP_score	2	2	0.15172132032593047	-0.5039599904566102	0.6556813107825407	1.3965986828267871	0.6666666666666666	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_400nM_vs_DMSO	TF_collapse_score	2	2	-0.5701405034560431	-0.11316352891135632	-0.4569769745446867	-4.0230928966358706	0.3333333333333333	n=2 per arm; use as perturbation-direction sidecar only.
GSE137697	THZ531_400nM_vs_DMSO	STAT3_AP1_DNMT_score	2	2	0.19083510245118834	-0.021514091222692232	0.21234919367388058	2.646697979943224	0.3333333333333333	n=2 per arm; use as perturbation-direction sidecar only.
