sampleId	DIO1	FOXE1	NKX2-1	PAX8	SLC5A5	TG	TPO	TSHR	RAI_8	DM1_like	DM_call	ONCOTREE
8305C_THYROID	3.4431	3.482	0.0137	7.9517	0.0081	0.1713	0.0053	0.0335	-0.11044391483015094	0.11044391483015094	DM1	THAP
8505C_THYROID	2.9348	0.0555	5.3356	1.1678	0.0	0.0039	0.0	0.0	-0.4487843083917678	0.4487843083917678	DM1	THAP
ASH3_THYROID	4.1467	0.0	0.2522	3.4434	0.0314	0.5669	0.0	0.2009	-0.239419091357097	0.239419091357097	DM1	THAP
BHT101_THYROID	3.877	0.0124	0.0095	0.7495	0.0111	0.0695	0.0255	0.0118	-0.5216151680277047	0.5216151680277047	DM1	THAP
CAL62_THYROID	3.7509	0.0312	0.0191	6.7177	0.0722	0.0806	0.0792	0.0286	-0.06959964475284594	0.06959964475284594	DM1	THAP
CCLFTHYR0008T_THYROID	2.203	4.7087	0.7299	8.4406	0.0	0.5328	0.0	0.5772	-0.13909269908733607	0.13909269908733607	DM1	THPA
CCLF_THYR_0003_T	2.22	0.4732	0.3338	1.5944	0.0	0.1317	0.0	0.0	-0.7540388829532546	0.7540388829532546	DM1	THAP
CCLF_THYR_0004_T	4.6217	1.6845	0.234	7.439	0.0194	0.5546	0.0123	0.0	0.02682960130028625	-0.02682960130028625	DM1	THAP
CCLF_THYR_0005_T	3.0064	0.0087	0.0	0.0587	0.0077	0.308	0.0065	0.0	-0.6948864703104249	0.6948864703104249	DM1	THAP
CCLF_THYR_0006_T	3.6179	5.5776	5.0708	5.976	0.0115	7.811	0.0169	2.9894	0.9099651841359518	-0.9099651841359518	DM2	THPA
CCLF_THYR_0009_T	2.1662	5.2155	5.086	5.8108	0.0	7.0971	5.5002	0.8635	0.6865710773968727	-0.6865710773968727	DM2	THME
FTC133_THYROID	3.7411	1.1255	4.689	5.4915	0.0	0.5014	0.0077	2.209	0.168494408340286	-0.168494408340286	DM1	THFO
FTC238_THYROID	3.6362	2.6416	0.0556	6.6542	0.0	0.3003	0.224	0.3333	-0.15016603483907984	0.15016603483907984	DM1	THFO
HOTHC_THYROID	3.398	2.3744	0.0	1.0585	0.0	0.3836	0.0	0.0106	-0.4848080698295558	0.4848080698295558	DM1	THAP
HTCC3_THYROID	4.3909	1.0347	0.0	5.8628	0.0191	0.0815	0.2545	0.2869	-0.09630768431092254	0.09630768431092254	DM1	THAP
IHH4_THYROID	4.0748	0.0	0.0	1.7894	0.0	1.0682	1.6385	0.0	-0.33565536440252347	0.33565536440252347	DM1	THPA
MB1_THYROID	4.3556	5.9695	0.0	7.2875	0.0	0.213	0.0955	0.2261	0.14562326613599666	-0.14562326613599666	DM1	THAP
ML1_THYROID	4.2177	6.6303	6.6072	7.7431	0.1276	7.8749	6.4066	3.8288	2.1446629511016906	-2.1446629511016906	DM2	THFO
RO82W1_THYROID	2.3558	0.0	2.012	7.1161	0.078	0.3958	0.0183	0.0	-0.15778744659972094	0.15778744659972094	DM1	THFO
TT2609C02_THYROID	4.2992	2.0624	5.5442	0.4479	0.0	0.0156	0.0493	0.0344	-0.1311170845661673	0.1311170845661673	DM1	THFO
TT_THYROID	3.5908	0.125	6.7925	0.4705	0.0667	0.5554	3.7796	0.3243	0.2515753758474681	-0.2515753758474681	DM1	THME
