stratum	panel	n	n_DM1	n_DM2	pooled_auc	boot_lo95	boot_hi95	fold1_auc	fold2_auc	fold3_auc	fold4_auc	fold5_auc	fold_mean	fold_std	n_folds_used	note
BRAF_like_cPTC_CLAM	image_only	41	26	15	0.5641025641025641	0.3769230769230769	0.7384615384615385	0.49999999999999994	0.6666666666666667	1.0	0.55	1.0	0.7433333333333334	0.21643577440997236	5	CLAM v2 5-fold
BRAF_like_cPTC_CLAM	rna_ht	41	26	15	0.9256410256410257	0.7896153846153846	1.0	1.0	0.7777777777777779	1.0	1.0	1.0	0.9555555555555555	0.08888888888888884	5	CLAM v2 5-fold
BRAF_like_cPTC_CLAM	rna_mapk	41	26	15	0.9743589743589743	0.9256410256410257	1.0	1.0	1.0	1.0	1.0	0.8	0.96	0.07999999999999999	5	CLAM v2 5-fold
BRAF_like_cPTC_CLAM	rna_nonleak	41	26	15	0.9923076923076923	0.9692307692307692	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	5	CLAM v2 5-fold
BRAF_like_cPTC_CLAM	rna_leak	41	26	15	0.958974358974359	0.8819871794871794	1.0	1.0	1.0	0.9	0.9	1.0	0.96	0.04898979485566355	5	CLAM v2 5-fold
BRAF_like_cPTC_CLAM	meth_8gene	41	26	15	0.917948717948718	0.8025641025641025	0.9923076923076923	0.95	0.8333333333333334	1.0	0.9	1.0	0.9366666666666668	0.0635959467611297	5	CLAM v2 5-fold
RAS_like_FVPTC_CLAM	image_only	16	3	13	0.9743589743589745	0.8974358974358974	1.0	1.0	1.0	1.0			1.0	0.0	3	CLAM v2 folds; only 3 DM1
RAS_like_FVPTC_CLAM	rna_ht	16	3	13	0.5897435897435896	0.23076923076923073	0.9230769230769231	0.6	0.5	0.75			0.6166666666666667	0.10274023338281628	3	CLAM v2 folds; only 3 DM1
RAS_like_FVPTC_CLAM	rna_mapk	16	3	13	0.641025641025641	0.07692307692307687	1.0	0.19999999999999996	1.0	1.0			0.7333333333333334	0.37712361663282534	3	CLAM v2 folds; only 3 DM1
RAS_like_FVPTC_CLAM	rna_nonleak	16	3	13	0.6153846153846154	0.2564102564102564	0.9237179487179482	0.4	0.5	1.0			0.6333333333333333	0.26246692913372704	3	CLAM v2 folds; only 3 DM1
RAS_like_FVPTC_CLAM	rna_leak	16	3	13	0.9487179487179488	0.7948717948717948	1.0	1.0	1.0	1.0			1.0	0.0	3	CLAM v2 folds; only 3 DM1
RAS_like_FVPTC_CLAM	meth_8gene	16	3	13	0.5128205128205128	0.23076923076923073	0.7692307692307693	0.8	0.5	0.5			0.6	0.14142135623730953	3	CLAM v2 folds; only 3 DM1
ALL_CLAM_n59	image_only	59	29	30	0.7160919540229885	0.581551724137931	0.8379310344827586	0.7142857142857143	0.7222222222222222	1.0	0.7142857142857143	1.0	0.8301587301587302	0.1387050938092284	5	CLAM v2 5-fold
ALL_CLAM_n59	rna_ht	59	29	30	0.9149425287356321	0.8298563218390804	0.9827586206896552	1.0	0.8333333333333334	0.8611111111111112	0.9142857142857144	0.9642857142857143	0.9146031746031748	0.062011710627719846	5	CLAM v2 5-fold
ALL_CLAM_n59	rna_mapk	59	29	30	0.9597701149425287	0.8954022988505748	1.0	1.0	1.0	0.9166666666666667	1.0	0.8571428571428572	0.9547619047619047	0.05851526536878334	5	CLAM v2 5-fold
ALL_CLAM_n59	rna_nonleak	59	29	30	0.9620689655172414	0.8942241379310345	1.0	1.0	1.0	0.8611111111111112	1.0	0.9285714285714286	0.9579365079365079	0.05575926371508028	5	CLAM v2 5-fold
ALL_CLAM_n59	rna_leak	59	29	30	0.9183908045977012	0.8218103448275862	0.9862068965517241	0.942857142857143	1.0	1.0	0.7142857142857142	1.0	0.9314285714285715	0.11080411102665899	5	CLAM v2 5-fold
ALL_CLAM_n59	meth_8gene	58	29	29	0.906064209274673	0.8192330558858502	0.976218787158145	0.9428571428571428	0.8611111111111112	0.9166666666666667	0.8857142857142857	1.0	0.9212698412698412	0.04810178592339273	5	CLAM v2 5-fold
ALL_TCGA_THCA_master	rna_ht	176	107	69	0.9001760801842069	0.8496173642150887	0.9431125558715969	0.9318181818181819	0.8881118881118881	0.8809523809523809	0.8197278911564625	0.9863945578231292	0.9014009799724085	0.05552360407086281	5	stratified 5-fold (no image)
ALL_TCGA_THCA_master	rna_mapk	176	107	69	0.9574698631992414	0.9261614519842882	0.9834789381010429	0.9707792207792207	0.9685314685314687	0.9523809523809523	0.891156462585034	0.9965986394557823	0.9558893487464916	0.035331100259437885	5	stratified 5-fold (no image)
