sample	lineage	DM1_like	HT13_score
TCGA-AB-2803-03	acute myeloid leukemia	1.5797118672147863	-1.490381824214461
TCGA-AB-2805-03	acute myeloid leukemia	1.6358268114191767	0.4288855784759139
TCGA-AB-2806-03	acute myeloid leukemia	1.592364399520189	-0.2429189694458857
TCGA-AB-2807-03	acute myeloid leukemia	1.693841718080048	0.5626453856699372
TCGA-AB-2808-03	acute myeloid leukemia	1.7486516304966406	-0.2884040273538504
TCGA-AB-2810-03	acute myeloid leukemia	1.5593158336442248	-0.6377522668532161
TCGA-AB-2811-03	acute myeloid leukemia	1.629854327903968	0.08076422240193654
TCGA-AB-2812-03	acute myeloid leukemia	1.431945936952859	-1.2192531896287426
TCGA-AB-2813-03	acute myeloid leukemia	1.7165883840613618	0.01603888107489273
TCGA-AB-2814-03	acute myeloid leukemia	1.7890373008801197	-0.7434589345100951
TCGA-AB-2815-03	acute myeloid leukemia	1.7787793781826589	0.14582091227666646
TCGA-AB-2816-03	acute myeloid leukemia	1.443355120146988	0.48432077914253363
TCGA-AB-2817-03	acute myeloid leukemia	1.66277516084286	0.9849646881062859
TCGA-AB-2818-03	acute myeloid leukemia	1.8020878293652869	-0.11421544582083552
TCGA-AB-2819-03	acute myeloid leukemia	1.7307425501912537	0.7700574463276346
TCGA-AB-2820-03	acute myeloid leukemia	1.6538178502395129	0.21388087720046822
TCGA-AB-2821-03	acute myeloid leukemia	1.698089977549273	0.1360230763843726
TCGA-AB-2822-03	acute myeloid leukemia	1.4996671883056596	-0.18283158167981456
TCGA-AB-2823-03	acute myeloid leukemia	1.741208175514096	-0.8823909807327406
TCGA-AB-2824-03	acute myeloid leukemia	1.738267593920163	0.04361194966440267
TCGA-AB-2825-03	acute myeloid leukemia	1.5851309189692888	0.3158314431890958
TCGA-AB-2826-03	acute myeloid leukemia	1.713049654636457	0.07955506631244402
TCGA-AB-2828-03	acute myeloid leukemia	1.8222703054565856	-0.0564507126801342
TCGA-AB-2830-03	acute myeloid leukemia	1.696878639607964	0.7353875115496622
TCGA-AB-2832-03	acute myeloid leukemia	1.2582807943239018	0.9768257201626237
TCGA-AB-2833-03	acute myeloid leukemia	1.6126877211024535	-0.058035744507686005
TCGA-AB-2834-03	acute myeloid leukemia	1.678915458476937	-0.19223480472484614
TCGA-AB-2835-03	acute myeloid leukemia	1.6353150852230527	-0.2217471652409041
TCGA-AB-2836-03	acute myeloid leukemia	1.480888100615753	0.0922935235972635
TCGA-AB-2837-03	acute myeloid leukemia	1.4862149396237962	-0.14141371746649775
TCGA-AB-2838-03	acute myeloid leukemia	1.8536685347272963	0.23004968867609657
TCGA-AB-2839-03	acute myeloid leukemia	1.559602261410424	-0.4842728936144146
TCGA-AB-2840-03	acute myeloid leukemia	1.698412758909443	-0.4438383618210949
