label	main_var	n	events	covars	strata	cluster	HR	CI_low	CI_high	p	note
A1_main_DM2vNot_PFI_replicate	is_DM2	254	17	age_yr,sex_m,adv_stage			5.906038949733345	1.7892203961461393	19.49524840589752	0.0035590980070543464	
B1_stage_strata_DM2vNot_PFI	is_DM2	268	31	age_yr,sex_m	stage_canon		3.7481536506427964	1.3275394987477604	10.582476681167467	0.012596467114749299	
B2_T_strata_DM2vNot_PFI	is_DM2	268	31	age_yr,sex_m	t_canon		2.2029501736559505	0.7961084919585973	6.0958895887059175	0.12829078016087983	
B3_within_stage_I_DM2vNot_PFI	is_DM2	144	13	age_yr,sex_m			4.870631991506931	0.7970477856755143	29.76365585983656	0.08646673469453729	
B3_within_stage_II_DM2vNot_PFI	is_DM2	23	1	age_yr,sex_m							insufficient n/events
B3_within_stage_III_DM2vNot_PFI	is_DM2	66	11	age_yr,sex_m			4.677512181581031	1.1541769734519238	18.956469165558428	0.030711416976568155	
B3_within_stage_IV_DM2vNot_PFI	is_DM2	35	6	age_yr,sex_m							fit_failed: ConvergenceError: delta contains nan value(s). Convergence halted. Please see the following tips i
C1_T1only_DM2vNot_PFI	is_DM2	73	0	age_yr,sex_m,adv_stage							insufficient n/events
C2_T2to4_DM2vNot_PFI	is_DM2	180	17	age_yr,sex_m,adv_stage			4.914494941914283	1.4025925811916555	17.219726425175505	0.012817222187520393	
C3_interaction_DM2_x_T1	dm2_x_t1	253	17	age_yr,sex_m,adv_stage,is_DM2,t_small			0.3138666885052258	0.0575931486207231	1.710486412229073	0.1804133796665427	cell main_var=1 sparse (n=7, ev=0)
D_ETE_neg_DM2vNot_PFI	is_DM2	144	5	age_yr,sex_m,adv_stage			28.500075964127927	5.176870584785498	156.90064425180483	0.00011847784965785613	n_events<10 (CI non-deployable)
D_ETE_pos_DM2vNot_PFI	is_DM2	90	10	age_yr,sex_m,adv_stage			5.921141043800288	1.2509021693574738	28.027700422475803	0.024949065200219913	cell main_var=1 sparse (n=2, ev=1)
D_interaction_DM2_x_ETE	dm2_x_ETE	234	15	age_yr,sex_m,adv_stage,is_DM2,ete_pos			0.4127103301965068	0.019439473669079773	8.762059073741002	0.5702358129326728	cell main_var=1 sparse (n=2, ev=1)
D_N_N0_DM2vNot_PFI	is_DM2	112	7	age_yr,sex_m,adv_stage			10.332909500187263	1.3266904018310721	80.47772004056084	0.025754925017731915	n_events<10 (CI non-deployable)
D_N_N1_DM2vNot_PFI	is_DM2	122	8	age_yr,sex_m,adv_stage			1.1588120162637715e-05	7.895210213139397e-07	0.00017008353834613703	1.1095862662631611e-16	cell main_var=1 sparse (n=1, ev=0); n_events<10 (CI non-deployable); fit-pathology (extreme HR/CI - drop)
D_interaction_DM2_x_N	dm2_x_N	234	15	age_yr,sex_m,adv_stage,is_DM2,n_pos			4.5206426770023113e-07	2.672372652630248e-08	7.647215740297504e-06	4.3152053906374196e-24	cell main_var=1 sparse (n=1, ev=0); fit-pathology (extreme HR/CI - drop)
D_M_M0_DM2vNot_PFI	is_DM2	156	10	age_yr,sex_m,adv_stage			16.543143663851403	2.632015125193634	103.97949451855557	0.002773324374505497	
D_M_M1_DM2vNot_PFI	is_DM2	2	1	age_yr,sex_m,adv_stage							insufficient n/events
D_interaction_DM2_x_M	dm2_x_M	158	11	age_yr,sex_m,adv_stage,is_DM2,m_pos							fit_failed: ConvergenceError: delta contains nan value(s). Convergence halted. Please see the following tips i
D_multifocal_uni_DM2vNot_PFI	is_DM2	137	8	age_yr,sex_m,adv_stage			18.40366732581555	2.1397570752915924	158.28664615731472	0.007982220479015874	n_events<10 (CI non-deployable)
D_multifocal_multi_DM2vNot_PFI	is_DM2	113	9	age_yr,sex_m,adv_stage			2.0650462008053836	0.27882784948265543	15.294081345794757	0.47781857076495804	cell main_var=1 sparse (n=8, ev=1); n_events<10 (CI non-deployable)
D_interaction_DM2_x_multifocal	dm2_x_multifocal	250	17	age_yr,sex_m,adv_stage,is_DM2,multifocal			0.17852604340668765	0.013010384960089418	2.4497006254784544	0.19724083895159936	cell main_var=1 sparse (n=8, ev=1)
E_era_le2010_DM2vNot_PFI	is_DM2	130	11	age_yr,sex_m,adv_stage			7.955009692860753	1.2646288782848347	50.04011872584755	0.027092493295372132	
E_era_post2010_DM2vNot_PFI	is_DM2	124	6	age_yr,sex_m,adv_stage			5.864545977919663	1.1583776066727547	29.690577000984618	0.03254691644392986	n_events<10 (CI non-deployable)
E_interaction_DM2_x_post2010	dm2_x_era	254	17	age_yr,sex_m,adv_stage,is_DM2,era_post2010			1.718148313178004	0.16732141614382376	17.642891711715812	0.6487723187275243	
F1_main_DM1vDM2_PFI_replicate	is_DM1	104	8	age_yr,sex_m,adv_stage			0.21066139617558483	0.04405838907735267	1.0072593385276185	0.051068478968364944	n_events<10 (CI non-deployable)
F2_stage_strata_DM1vDM2_PFI	is_DM1	108	12	age_yr,sex_m	stage_canon		0.2638846046560963	0.06029962744277256	1.1548178243819418	0.07691919675538357	
F3_T_strata_DM1vDM2_PFI	is_DM1	109	12	age_yr,sex_m	t_canon		0.29435193277576793	0.08200619493424793	1.0565428672589927	0.06070878582879956	
F4_era_le2010_DM1vDM2_PFI	is_DM1	57	5	age_yr,sex_m,adv_stage			0.1024482173224973	0.005140803910648766	2.041633451689678	0.13558591291972938	n_events<10 (CI non-deployable)
F4_era_post2010_DM1vDM2_PFI	is_DM1	47	3	age_yr,sex_m,adv_stage			0.15988607443327887	0.01291162648317211	1.9798866417798955	0.1533072195518763	cell main_var=1 sparse (n=38, ev=1); n_events<10 (CI non-deployable)
F_interaction_DM1_x_post2010	dm1_x_era	104	8	age_yr,sex_m,adv_stage,is_DM1,era_post2010			0.7501179875703321	0.022669706342579008	24.82065655256089	0.8720558504164767	cell main_var=1 sparse (n=38, ev=1); n_events<10 (CI non-deployable)
G1_cluster_TSS_DM2vNot_PFI	is_DM2	254	17	age_yr,sex_m,adv_stage		tss	5.906038949733345	2.951033796523283	11.820025957297485	5.250279646948108e-07	
