combo	panels	n_features	pooled_auc	boot_mean_auc	boot_lo95	boot_hi95	fold1_auc	fold2_auc	fold3_auc	fold4_auc	fold5_auc	fold_mean	fold_std
ht+fa+cyto+tls	ht+fa+cyto+tls	48	0.9820512820512821	0.9819000000000001	0.9435897435897436	1.0	1.0	0.888888888888889	1.0	1.0	1.0	0.9777777777777779	0.04444444444444442
ht+fa	ht+fa	25	0.9743589743589745	0.9747	0.9256410256410257	1.0	1.0	0.888888888888889	1.0	1.0	0.9	0.9577777777777777	0.051830683509735985
mapk	mapk	9	0.9743589743589743	0.9741333333333333	0.9256410256410257	1.0	1.0	1.0	1.0	1.0	0.8	0.96	0.07999999999999999
fa	fa	12	0.9692307692307693	0.9697974358974359	0.9179487179487179	1.0	1.0	1.0	1.0	1.0	0.9	0.9800000000000001	0.039999999999999994
fa+cyto+tls	fa+cyto+tls	35	0.9692307692307693	0.9694564102564104	0.917948717948718	1.0	1.0	0.9444444444444445	1.0	1.0	0.9	0.968888888888889	0.04061259307221568
ht+fa+cyto	ht+fa+cyto	37	0.9666666666666668	0.967146153846154	0.9128205128205128	1.0	1.0	0.888888888888889	1.0	1.0	0.9	0.9577777777777777	0.051830683509735985
ht+cyto	ht+cyto	25	0.9358974358974359	0.9362615384615386	0.8102564102564103	1.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.9666666666666668	0.06666666666666667
ht	ht	13	0.9256410256410257	0.9263589743589746	0.7896153846153846	1.0	1.0	0.7777777777777779	1.0	1.0	1.0	0.9555555555555555	0.08888888888888884
ht+tls	ht+tls	24	0.9230769230769231	0.9229410256410259	0.7974358974358975	1.0	1.0	0.7777777777777779	1.0	0.95	1.0	0.9455555555555556	0.0860949805680467
tls	tls	11	0.917948717948718	0.9175179487179489	0.8153846153846154	0.9948717948717949	1.0	0.8333333333333334	1.0	0.7500000000000001	1.0	0.9166666666666667	0.10540925533894593
cyto	cyto	12	0.9025641025641026	0.9035794871794874	0.7897435897435898	0.9871794871794872	1.0	0.8333333333333334	0.9	1.0	1.0	0.9466666666666667	0.06863753427324665
