ModelID	HT_z_sum	FA_z_sum	DM1_score	StrippedCellLineName	OncotreeCode	OncotreePrimaryDisease
ACH-001350	14.717227165573098	-12.615476887312365	27.33270405288546	HTCC3	THAP	Anaplastic Thyroid Cancer
ACH-000456	12.229584824359524	-0.38968118420270415	12.619266008562228	BCPAP	THPD	Poorly Differentiated Thyroid Cancer
ACH-001356	13.669595771458743	2.014388143924889	11.655207627533855	MB1	THAP	Anaplastic Thyroid Cancer
ACH-003471	4.804885392257887	-4.730286957306971	9.535172349564858	CCLFTHYR0006T	THPA	Well-Differentiated Thyroid Cancer
ACH-003470	-1.6390155581420147	-7.850746385518029	6.211730827376014	CCLFTHYR0005T	THAP	Anaplastic Thyroid Cancer
ACH-002440	-4.884694871336452	-9.9986956641072	5.114000792770747	CCLFTHYR0008T	THPA	Well-Differentiated Thyroid Cancer
ACH-001384	-4.808893147176681	-5.876370917595139	1.0674777704184581	RO82W1	THFO	Well-Differentiated Thyroid Cancer
ACH-003472	-2.6745498022576624	-2.97058028581412	0.29603048355645756	CCLFTHYR0009T	THME	Medullary Thyroid Cancer
ACH-002041	-3.2941049017182538	-3.340071250776502	0.045966349058248035	HOTHC	THAP	Anaplastic Thyroid Cancer
ACH-000058	2.206585019777136	4.105072149201878	-1.8984871294247423	ML1	THFO	Well-Differentiated Thyroid Cancer
ACH-001307	-5.452833938797683	-3.001588178832255	-2.451245759965428	8505C	THAP	Anaplastic Thyroid Cancer
ACH-001306	-6.602166445553754	-3.8998890360061447	-2.7022774095476096	8305C	THAP	Anaplastic Thyroid Cancer
ACH-000897	-2.825385513828238	1.0498149969226138	-3.875200510750852	FTC238	THFO	Well-Differentiated Thyroid Cancer
ACH-000903	-1.1357140466052378	3.19925243656753	-4.334966483172768	FTC133	THFO	Well-Differentiated Thyroid Cancer
ACH-003468	-6.657669689922692	-2.168585652329273	-4.489084037593418	CCLFTHYR0003T	THAP	Anaplastic Thyroid Cancer
ACH-000716	5.329522821987103	10.319152454048522	-4.989629632061419	TT2609C02	THFO	Well-Differentiated Thyroid Cancer
ACH-000191	-2.436025054622173	3.7201246750873795	-6.156149729709552	BHT101	THAP	Anaplastic Thyroid Cancer
ACH-000174	-2.3147091120523045	3.8887975505055814	-6.203506662557886	CAL62	THAP	Anaplastic Thyroid Cancer
ACH-001528	-2.7325736126236824	4.354721717749005	-7.087295330372687	IHH4	THPA	Well-Differentiated Thyroid Cancer
ACH-003469	-7.739635685322089	0.10363913995835317	-7.843274825280442	CCLFTHYR0004T	THAP	Anaplastic Thyroid Cancer
ACH-001321	10.45811275916205	18.610218116534618	-8.152105357372568	TT	THME	Medullary Thyroid Cancer
ACH-001443	-8.217542374616619	5.476791019300334	-13.694333393916953	ASH3	THAP	Anaplastic Thyroid Cancer
